"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0010842","retina layer formation",19,2,0.05,1,0.00029,0.0012,"RDH13,TFAP2B"
"GO:0034308","primary alcohol metabolic process",72,2,0.19,4,0.00417,0.016,"ADH1C,RDH13"
"GO:0072505","divalent inorganic anion homeostasis",10,1,0.03,5,0.01336,0.0266,"TFAP2B"
"GO:0072506","trivalent inorganic anion homeostasis",10,1,0.03,6,0.01336,0.0266,"TFAP2B"
"GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress",10,1,0.03,7,0.01336,0.0266,"ATF6B"
"GO:0061983","meiosis II cell cycle process",10,1,0.03,8,0.01336,0.0266,"HORMAD2"
"GO:0072044","collecting duct development",10,1,0.03,9,0.01336,0.0266,"TFAP2B"
"GO:0033141","positive regulation of peptidyl-serine phosphorylation of STAT protein",10,1,0.03,10,0.01336,0.0266,"IFNA5"
"GO:0036500","ATF6-mediated unfolded protein response",10,1,0.03,11,0.01336,0.0266,"ATF6B"
"GO:0002523","leukocyte migration involved in inflammatory response",10,1,0.03,12,0.01336,0.0266,"S100A8"
"GO:0055062","phosphate ion homeostasis",10,1,0.03,13,0.01336,0.0266,"TFAP2B"
"GO:0007135","meiosis II",10,1,0.03,14,0.01336,0.0266,"HORMAD2"
"GO:0002002","regulation of angiotensin levels in blood",10,1,0.03,15,0.01336,0.0266,"MME"
"GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response",11,1,0.03,16,0.01468,0.0292,"ATF6B"
"GO:0072017","distal tubule development",11,1,0.03,17,0.01468,0.0292,"TFAP2B"
"GO:0010960","magnesium ion homeostasis",11,1,0.03,18,0.01468,0.0292,"TFAP2B"
"GO:1902514","regulation of calcium ion transmembrane transport via high voltage-gated calcium channel",11,1,0.03,19,0.01468,0.0292,"CACNG1"
"GO:0006069","ethanol oxidation",11,1,0.03,20,0.01468,0.0292,"ADH1C"
"GO:0072578","neurotransmitter-gated ion channel clustering",11,1,0.03,21,0.01468,0.0292,"SHISA7"
"GO:0033139","regulation of peptidyl-serine phosphorylation of STAT protein",12,1,0.03,23,0.01601,0.0318,"IFNA5"
"GO:0070486","leukocyte aggregation",12,1,0.03,24,0.01601,0.0318,"S100A8"
"GO:0090399","replicative senescence",12,1,0.03,25,0.01601,0.0318,"MME"
"GO:1901626","regulation of postsynaptic membrane organization",12,1,0.03,26,0.01601,0.0318,"SHISA7"
"GO:0017014","protein nitrosylation",13,1,0.03,27,0.01733,0.0344,"S100A8"
"GO:0018119","peptidyl-cysteine S-nitrosylation",13,1,0.03,28,0.01733,0.0344,"S100A8"
"GO:0009642","response to light intensity",13,1,0.03,29,0.01733,0.0344,"RDH13"
"GO:0046500","S-adenosylmethionine metabolic process",13,1,0.03,30,0.01733,0.0344,"MAT1A"
