"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0032602","chemokine production",77,4,0.4,3,0.02128,0.00072,"MEFV,S100A8,TNF,WNT5A"
"GO:0010469","regulation of signaling receptor activity",469,9,2.47,6,5.8e-05,8e-04,"HGF,IFNA5,IL11,METRNL,PLAU,SHISA7,TNF,UCN2,WNT5A"
"GO:0051798","positive regulation of hair follicle development",10,2,0.05,8,0.00061,0.0012,"TNF,WNT5A"
"GO:0042033","chemokine biosynthetic process",10,2,0.05,9,0.00061,0.0012,"TNF,WNT5A"
"GO:0033138","positive regulation of peptidyl-serine phosphorylation",90,4,0.47,12,0.00036,0.00129,"IFNA5,IL11,TNF,WNT5A"
"GO:0071345","cellular response to cytokine stimulus",967,13,5.08,14,0.0158,0.00158,"ACKR3,HGF,HLA-DRA,IFNA5,IL11,IL17RE,MME,NFIL3,NRP2,STAT4,STXBP2,TNF,WNT5A"
"GO:0043030","regulation of macrophage activation",48,3,0.25,15,0.00076,0.00205,"MFHAS1,TNF,WNT5A"
"GO:0060688","regulation of morphogenesis of a branching structure",51,3,0.27,17,0.00091,0.00244,"HGF,TNF,WNT5A"
"GO:1903828","negative regulation of cellular protein localization",109,4,0.57,19,0.03492,0.00261,"DCLK3,LMAN1,LRRC15,MFHAS1"
"GO:0002739","regulation of cytokine secretion involved in immune response",15,2,0.08,20,0.0014,0.00274,"TNF,WNT5A"
"GO:0010715","regulation of extracellular matrix disassembly",15,2,0.08,21,0.0014,0.00274,"DDR2,DPP4"
"GO:0030335","positive regulation of cell migration",457,8,2.4,22,0.00029,0.00278,"ACKR3,DDR2,HGF,LRRC15,NRP2,PLAU,TNF,WNT5A"
"GO:0007350","blastoderm segmentation",16,2,0.08,23,0.0016,0.00313,"NRP2,WNT5A"
"GO:0050728","negative regulation of inflammatory response",116,4,0.61,24,0.00093,0.00327,"HGF,MEFV,METRNL,MFHAS1"
"GO:0045669","positive regulation of osteoblast differentiation",57,3,0.3,25,0.00126,0.00335,"DDR2,HGF,TMEM119"
"GO:0048485","sympathetic nervous system development",17,2,0.09,27,0.0018,0.00353,"NRP2,TFAP2B"
"GO:0016082","synaptic vesicle priming",17,2,0.09,28,0.0018,0.00353,"ERC2,SV2A"
"GO:0002544","chronic inflammatory response",18,2,0.09,31,0.00202,0.00396,"S100A8,TNF"
"GO:1905331","negative regulation of morphogenesis of an epithelium",18,2,0.09,32,0.00202,0.00396,"TNF,WNT5A"
"GO:0045444","fat cell differentiation",201,5,1.06,36,0.03815,0.00416,"IL11,METRNL,TFAP2B,TNF,WNT5A"
"GO:1903827","regulation of cellular protein localization",492,8,2.59,37,0.0066,0.00434,"ABLIM3,DCLK3,LMAN1,LRRC15,MFHAS1,SHISA7,TNF,WNT5A"
"GO:0010842","retina layer formation",19,2,0.1,38,0.00226,0.00441,"RDH13,TFAP2B"
"GO:0055008","cardiac muscle tissue morphogenesis",67,3,0.35,41,0.00201,0.00528,"MYH6,TNNI3,WNT5A"
"GO:0046330","positive regulation of JNK cascade",133,4,0.7,42,0.00154,0.00531,"MFHAS1,RB1CC1,TNF,WNT5A"
"GO:0019430","removal of superoxide radicals",22,2,0.12,45,0.00303,0.00589,"SOD3,TNF"
"GO:0060445","branching involved in salivary gland morphogenesis",22,2,0.12,46,0.00303,0.00589,"HGF,TNF"
"GO:0032642","regulation of chemokine production",70,3,0.37,47,0.00228,0.00596,"MEFV,TNF,WNT5A"
"GO:0055075","potassium ion homeostasis",23,2,0.12,50,0.00331,0.00643,"KCNH2,TFAP2B"
"GO:0032958","inositol phosphate biosynthetic process",25,2,0.13,56,0.0039,0.00758,"IP6K3,IPMK"
"GO:0070528","protein kinase C signaling",25,2,0.13,57,0.0039,0.00758,"FIBIN,WNT5A"
"GO:0021884","forebrain neuron development",25,2,0.13,58,0.0039,0.00758,"NRP2,WNT5A"
"GO:0033137","negative regulation of peptidyl-serine phosphorylation",26,2,0.14,59,0.00422,0.00818,"DDIT4,HGF"
"GO:1901216","positive regulation of neuron death",80,3,0.42,60,0.00333,0.00862,"DDIT4,TFAP2B,WNT5A"
"GO:0019221","cytokine-mediated signaling pathway",678,9,3.56,65,0.00089,0.00923,"ACKR3,HGF,HLA-DRA,IFNA5,IL11,IL17RE,STAT4,TNF,WNT5A"
"GO:0003209","cardiac atrium morphogenesis",28,2,0.15,67,0.00488,0.00945,"MYH6,WNT5A"
"GO:1900181","negative regulation of protein localization to nucleus",28,2,0.15,68,0.00488,0.00945,"DCLK3,MFHAS1"
"GO:0014002","astrocyte development",32,2,0.17,72,0.00635,0.01223,"S100A8,TNF"
"GO:0110111","negative regulation of animal organ morphogenesis",32,2,0.17,73,0.00635,0.01223,"TNF,WNT5A"
"GO:0099175","regulation of postsynapse organization",92,3,0.48,75,0.00494,0.0126,"NRP2,SHISA7,WNT5A"
"GO:1901031","regulation of response to reactive oxygen species",34,2,0.18,80,0.00714,0.01374,"HGF,TNF"
"GO:0070266","necroptotic process",34,2,0.18,81,0.00714,0.01374,"IPMK,TNF"
"GO:2001237","negative regulation of extrinsic apoptotic signaling pathway",96,3,0.5,84,0.00556,0.01412,"HGF,RB1CC1,TNF"
"GO:0048846","axon extension involved in axon guidance",36,2,0.19,87,0.00798,0.01533,"NRP2,WNT5A"
"GO:1900744","regulation of p38MAPK cascade",37,2,0.19,90,0.00842,0.01615,"HGF,MFHAS1"
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage",101,3,0.53,94,0.0064,0.01616,"ACKR3,DDIT4,TNF"
"GO:0034341","response to interferon-gamma",185,4,0.97,96,0.00506,0.01641,"HLA-DRA,MEFV,STXBP2,WNT5A"
"GO:0030049","muscle filament sliding",39,2,0.2,97,0.00932,0.01785,"MYH6,TNNI3"
"GO:0071548","response to dexamethasone",39,2,0.2,98,0.00932,0.01785,"DDIT4,FIBIN"
"GO:0032715","negative regulation of interleukin-6 production",40,2,0.21,101,0.00979,0.01872,"HGF,TNF"
"GO:0001666","response to hypoxia",294,5,1.55,102,0.00481,0.01941,"DDIT4,DPP4,HILPDA,PLAU,SOD3"
"GO:0032757","positive regulation of interleukin-8 production",41,2,0.22,103,0.01027,0.01962,"TNF,WNT5A"
"GO:0050919","negative chemotaxis",41,2,0.22,104,0.01027,0.01962,"NRP2,WNT5A"
"GO:0033628","regulation of cell adhesion mediated by integrin",41,2,0.22,105,0.01027,0.01962,"DPP4,PLAU"
"GO:0010799","regulation of peptidyl-threonine phosphorylation",42,2,0.22,109,0.01076,0.02053,"DDIT4,WNT5A"
"GO:0007267","cell-cell signaling",1472,14,7.74,112,0.00545,0.02112,"BICC1,CTNND2,DPP4,ERC2,HGF,HILPDA,IL11,MYH6,PDE7B,SHISA7,SV2A,TFAP2B,TNF,WNT5A"
"GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process",200,4,1.05,113,0.00665,0.02118,"HGF,S100A8,TFAP2B,TNF"
"GO:0030183","B cell differentiation",112,3,0.59,114,0.0085,0.02122,"IFNA5,IL11,IRF2BP2"
"GO:0050729","positive regulation of inflammatory response",113,3,0.59,117,0.00871,0.02171,"S100A8,TNF,WNT5A"
"GO:0010883","regulation of lipid storage",44,2,0.23,120,0.01176,0.0224,"HILPDA,TNF"
"GO:1903214","regulation of protein targeting to mitochondrion",44,2,0.23,121,0.01176,0.0224,"ABLIM3,LMAN1"
"GO:0045599","negative regulation of fat cell differentiation",44,2,0.23,122,0.01176,0.0224,"TNF,WNT5A"
"GO:0045598","regulation of fat cell differentiation",115,3,0.6,123,0.00913,0.02273,"METRNL,TNF,WNT5A"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",207,4,1.09,129,0.00749,0.02367,"ACKR3,DDR2,MFHAS1,TNF"
"GO:0003231","cardiac ventricle development",118,3,0.62,133,0.0098,0.0243,"MYH6,TNNI3,WNT5A"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",46,2,0.24,134,0.01281,0.02435,"MYH6,TNNI3"
"GO:0001936","regulation of endothelial cell proliferation",119,3,0.63,136,0.01002,0.02483,"NRP2,TNF,WNT5A"
"GO:0046903","secretion",1504,14,7.91,137,0.03118,0.0249,"ABCC3,CRISPLD2,DPP4,ERC2,HGF,IL11,MME,PLAU,S100A8,STXBP2,SV2A,TFAP2B,TNF,WNT5A"
"GO:0060324","face development",48,2,0.25,138,0.01389,0.02636,"CRISPLD2,WNT5A"
"GO:0042108","positive regulation of cytokine biosynthetic process",49,2,0.26,139,0.01445,0.02739,"TNF,WNT5A"
"GO:0060048","cardiac muscle contraction",125,3,0.66,142,0.01145,0.02818,"KCNH2,MYH6,TNNI3"
"GO:0008284","positive regulation of cell proliferation",820,9,4.31,144,0.00328,0.02822,"DDR2,DPP4,HILPDA,IL11,NRP2,TFAP2B,TMEM119,TNF,WNT5A"
"GO:0032722","positive regulation of chemokine production",50,2,0.26,146,0.01501,0.02843,"TNF,WNT5A"
