"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,7,0.19,1,1.6e-10,7.2e-10,"ACTN3,MYBPC2,MYH4,MYL1,TNNC2,TNNI2,TNNT3"
"GO:0003009","skeletal muscle contraction",41,6,0.2,3,0.00016,4.6e-08,"ACTN3,ATP2A1,CASQ1,TNNC2,TNNI2,TNNT3"
"GO:0006937","regulation of muscle contraction",147,8,0.72,10,0.00015,6.1e-07,"ACTN3,ATP2A1,CASQ1,FLNA,NMUR2,TNNC2,TNNI2,TNNT3"
"GO:0014819","regulation of skeletal muscle contraction",13,3,0.06,14,1.7e-05,3.1e-05,"ACTN3,ATP2A1,CASQ1"
"GO:0006942","regulation of striated muscle contraction",83,5,0.41,15,0.02908,5.4e-05,"ACTN3,ATP2A1,CASQ1,FLNA,TNNT3"
"GO:0045214","sarcomere organization",43,4,0.21,16,2.5e-05,5.7e-05,"CASQ1,KRT19,MYBPC2,TNNT3"
"GO:0014894","response to denervation involved in regulation of muscle adaptation",10,2,0.05,26,0.00069,0.001,"ACTN3,CASQ1"
"GO:0042098","T cell proliferation",167,5,0.82,30,0.00053,0.0014,"CD151,CTPS1,IDO1,IL6ST,TMIGD2"
"GO:0010666","positive regulation of cardiac muscle cell apoptotic process",12,2,0.06,32,0.001,0.0015,"CXCR2,TIGAR"
"GO:0045820","negative regulation of glycolytic process",12,2,0.06,33,0.001,0.0015,"ACTN3,TIGAR"
"GO:2000179","positive regulation of neural precursor cell proliferation",48,3,0.24,36,0.00091,0.0017,"CTSZ,FLNA,VEGFC"
"GO:0006089","lactate metabolic process",13,2,0.06,37,0.00118,0.0018,"ACTN3,TIGAR"
"GO:2000378","negative regulation of reactive oxygen species metabolic process",50,3,0.25,40,0.00103,0.0019,"BCR,TFAP2A,TIGAR"
"GO:1903779","regulation of cardiac conduction",52,3,0.26,43,0.00115,0.0021,"ATP2A1,CASQ1,FLNA"
"GO:0002830","positive regulation of type 2 immune response",14,2,0.07,41,0.00137,0.0021,"IDO1,IL33"
"GO:0099132","ATP hydrolysis coupled cation transmembrane transport",58,3,0.28,47,0.00158,0.0029,"ABCB11,ATP13A2,ATP2A1"
"GO:0060048","cardiac muscle contraction",125,4,0.61,53,0.00154,0.0033,"FLNA,MYL1,TNNI2,TNNT3"
"GO:0050727","regulation of inflammatory response",321,6,1.57,56,0.00171,0.0049,"BCR,BIRC2,C5orf30,IDO1,IL33,IL6ST"
"GO:0034329","cell junction assembly",233,5,1.14,59,0.00232,0.0058,"ACTN3,CD151,FLNA,FLNC,FSCN1"
"GO:0002009","morphogenesis of an epithelium",458,7,2.25,68,0.02469,0.0072,"CD151,CTSZ,CXCR2,FLNA,SMURF2,TFAP2A,VEGFC"
"GO:0048729","tissue morphogenesis",579,8,2.84,70,0.01909,0.0075,"CD151,CTSZ,CXCR2,FLNA,MYBPC2,SMURF2,TFAP2A,VEGFC"
"GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",28,2,0.14,73,0.0055,0.0083,"HSPA1A,PMAIP1"
"GO:0006929","substrate-dependent cell migration",28,2,0.14,74,0.0055,0.0083,"CD2AP,VEGFC"
"GO:0042176","regulation of protein catabolic process",364,6,1.79,77,0.0032,0.009,"ATP13A2,FLNA,GIPC1,HSPA1A,IL33,SMURF2"
"GO:0002685","regulation of leukocyte migration",166,4,0.81,79,0.00429,0.009,"BCR,CXCR2,IL33,VEGFC"
"GO:0043114","regulation of vascular permeability",30,2,0.15,81,0.00629,0.0095,"BCR,CXCR2"
"GO:0044319","wound healing, spreading of cells",30,2,0.15,82,0.00629,0.0095,"CD151,FLNA"
"GO:0032103","positive regulation of response to external stimulus",266,5,1.3,86,0.0041,0.0099,"CXCR2,IDO1,IL33,IL6ST,VEGFC"
"GO:0006007","glucose catabolic process",31,2,0.15,87,0.00671,0.0101,"ACTN3,TIGAR"
"GO:0010821","regulation of mitochondrion organization",173,4,0.85,89,0.00496,0.0104,"ATP13A2,HSPA1A,PMAIP1,TIGAR"
"GO:0035115","embryonic forelimb morphogenesis",33,2,0.16,93,0.00758,0.0114,"CRABP2,TFAP2A"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",384,6,1.88,96,0.00416,0.0115,"BIRC2,CD2AP,GIPC1,HSPA1A,IL33,SMURF2"
"GO:0001819","positive regulation of cytokine production",387,6,1.9,98,0.00432,0.0119,"BIRC2,HSPA1A,IDO1,IL33,IL6ST,TMIGD2"
"GO:0070423","nucleotide-binding oligomerization domain containing signaling pathway",35,2,0.17,102,0.0085,0.0127,"BIRC2,HSPA1A"
"GO:0046717","acid secretion",101,3,0.5,104,0.00757,0.0134,"ABCB11,GIPC1,NMUR2"
"GO:0060429","epithelium development",1054,11,5.17,107,0.01642,0.0137,"CD151,CTSZ,CXCR2,FLNA,ID1,KRT19,KRTAP1-1,SMURF2,TFAP2A,TIGAR,VEGFC"
"GO:0002534","cytokine production involved in inflammatory response",37,2,0.18,111,0.00946,0.0142,"C5orf30,IDO1"
"GO:0010955","negative regulation of protein processing",37,2,0.18,112,0.00946,0.0142,"BIRC2,CTSZ"
"GO:0006874","cellular calcium ion homeostasis",407,6,2,118,0.0055,0.0149,"ATP13A2,ATP2A1,CASQ1,CXCR2,NMUR2,PVALB"
"GO:0006734","NADH metabolic process",38,2,0.19,116,0.00996,0.0149,"ACTN3,TIGAR"
"GO:0010907","positive regulation of glucose metabolic process",38,2,0.19,117,0.00996,0.0149,"ACTN3,PMAIP1"
"GO:0017015","regulation of transforming growth factor beta receptor signaling pathway",106,3,0.52,119,0.00864,0.0153,"GIPC1,HSPA1A,SMURF2"
"GO:0002686","negative regulation of leukocyte migration",39,2,0.19,122,0.01048,0.0157,"BCR,IL33"
"GO:1903146","regulation of autophagy of mitochondrion",39,2,0.19,123,0.01048,0.0157,"ATP13A2,TIGAR"
"GO:1904951","positive regulation of establishment of protein localization",414,6,2.03,127,0.00597,0.0161,"ATP13A2,FLNA,IL33,PMAIP1,SLC35D3,VEGFC"
"GO:1901028","regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",40,2,0.2,129,0.011,0.0164,"HSPA1A,PMAIP1"
"GO:0019722","calcium-mediated signaling",199,4,0.98,132,0.00808,0.0166,"ACTN3,CASQ1,CXCR2,NMUR2"
"GO:0046822","regulation of nucleocytoplasmic transport",110,3,0.54,133,0.00955,0.0169,"CABP1,FLNA,MX2"
"GO:0050729","positive regulation of inflammatory response",113,3,0.55,139,0.01028,0.0181,"IDO1,IL33,IL6ST"
"GO:0008637","apoptotic mitochondrial changes",114,3,0.56,140,0.01053,0.0185,"ATP2A1,HSPA1A,PMAIP1"
"GO:1900180","regulation of protein localization to nucleus",115,3,0.56,141,0.01078,0.019,"CABP1,CD2AP,FLNA"
"GO:0009888","tissue development",1719,15,8.43,143,0.01151,0.0193,"ACTN3,CASQ1,CD151,CRABP2,CTSZ,CXCR2,FLNA,ID1,KRT19,KRTAP1-1,MYBPC2,SMURF2,TFAP2A,TIGAR,VEGFC"
"GO:0051607","defense response to virus",209,4,1.03,145,0.00956,0.0195,"BIRC2,IL33,MX2,PMAIP1"
"GO:2000107","negative regulation of leukocyte apoptotic process",45,2,0.22,147,0.01378,0.0205,"CXCR2,IDO1"
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process",121,3,0.59,151,0.01236,0.0217,"GIPC1,HSPA1A,IL33"
"GO:0042177","negative regulation of protein catabolic process",122,3,0.6,154,0.01264,0.0221,"ATP13A2,FLNA,GIPC1"
"GO:0043525","positive regulation of neuron apoptotic process",47,2,0.23,155,0.01497,0.0223,"CTSZ,TFAP2A"
"GO:0120163","negative regulation of cold-induced thermogenesis",47,2,0.23,156,0.01497,0.0223,"ACTN3,ID1"
"GO:0043069","negative regulation of programmed cell death",854,9,4.19,162,0.00643,0.0239,"BIRC2,CXCR2,FLNA,HSPA1A,ID1,IDO1,IL6ST,TFAP2A,TIGAR"
"GO:0007566","embryo implantation",49,2,0.24,163,0.01621,0.0241,"IGFBP7,SMURF2"
"GO:0060425","lung morphogenesis",49,2,0.24,164,0.01621,0.0241,"CTSZ,ID1"
"GO:0097345","mitochondrial outer membrane permeabilization",50,2,0.25,167,0.01684,0.025,"HSPA1A,PMAIP1"
"GO:0033157","regulation of intracellular protein transport",228,4,1.12,170,0.01283,0.0258,"ATP13A2,CABP1,FLNA,SLC35D3"
"GO:0048016","inositol phosphate-mediated signaling",51,2,0.25,171,0.01748,0.026,"ACTN3,NMUR2"
"GO:0010823","negative regulation of mitochondrion organization",52,2,0.26,173,0.01814,0.0269,"HSPA1A,TIGAR"
"GO:1902110","positive regulation of mitochondrial membrane permeability involved in apoptotic process",52,2,0.26,174,0.01814,0.0269,"HSPA1A,PMAIP1"
"GO:0051050","positive regulation of transport",873,9,4.28,177,0.0074,0.027,"ATP13A2,BCR,CASQ1,CD151,FLNA,IL33,PMAIP1,SLC35D3,VEGFC"
"GO:0048872","homeostasis of number of cells",235,4,1.15,179,0.0142,0.0284,"BCR,CXCR2,HSPA1A,PMAIP1"
"GO:1902686","mitochondrial outer membrane permeabilization involved in programmed cell death",54,2,0.26,181,0.01947,0.0289,"HSPA1A,PMAIP1"
"GO:1903362","regulation of cellular protein catabolic process",238,4,1.17,184,0.01481,0.0296,"ATP13A2,GIPC1,HSPA1A,IL33"
"GO:0060627","regulation of vesicle-mediated transport",477,6,2.34,185,0.01156,0.0297,"ATP13A2,BCR,CD151,CD2AP,DNAJC6,GIPC1"
"GO:0001818","negative regulation of cytokine production",241,4,1.18,187,0.01544,0.0308,"C5orf30,CD2AP,IDO1,IL33"
"GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway",56,2,0.27,188,0.02085,0.0309,"BIRC2,HSPA1A"
"GO:0035794","positive regulation of mitochondrial membrane permeability",56,2,0.27,189,0.02085,0.0309,"HSPA1A,PMAIP1"
"GO:0045055","regulated exocytosis",754,8,3.7,191,0.00978,0.0314,"BCR,CTSZ,CXCR2,FLNA,GIPC1,HSPA1A,NEU1,VEGFC"
"GO:0009408","response to heat",140,3,0.69,192,0.01822,0.0315,"CASQ1,HSPA1A,IGFBP7"
"GO:1902108","regulation of mitochondrial membrane permeability involved in apoptotic process",57,2,0.28,194,0.02155,0.0319,"HSPA1A,PMAIP1"
"GO:1905710","positive regulation of membrane permeability",57,2,0.28,195,0.02155,0.0319,"HSPA1A,PMAIP1"
"GO:0042129","regulation of T cell proliferation",142,3,0.7,198,0.01891,0.0327,"IDO1,IL6ST,TMIGD2"
"GO:0030100","regulation of endocytosis",246,4,1.21,199,0.01653,0.0329,"BCR,CD151,CD2AP,DNAJC6"
"GO:0001667","ameboidal-type cell migration",363,5,1.78,200,0.0146,0.033,"C5orf30,GIPC1,ID1,SMURF2,VEGFC"
"GO:0051017","actin filament bundle assembly",143,3,0.7,201,0.01926,0.0333,"FLNA,FSCN1,ID1"
"GO:1903827","regulation of cellular protein localization",492,6,2.41,202,0.01331,0.0338,"ATP13A2,CABP1,CD2AP,FLNA,PMAIP1,SLC35D3"
"GO:0048747","muscle fiber development",59,2,0.29,204,0.02299,0.034,"FLNC,MYBPC2"
"GO:0090307","mitotic spindle assembly",60,2,0.29,205,0.02372,0.035,"FLNA,HSPA1A"
"GO:0050918","positive chemotaxis",60,2,0.29,206,0.02372,0.035,"DEFB4A,VEGFC"
"GO:0061572","actin filament bundle organization",146,3,0.72,209,0.02034,0.0351,"FLNA,FSCN1,ID1"
"GO:2000058","regulation of ubiquitin-dependent protein catabolic process",147,3,0.72,210,0.0207,0.0357,"GIPC1,HSPA1A,IL33"
"GO:0032233","positive regulation of actin filament bundle assembly",61,2,0.3,212,0.02447,0.0361,"FLNA,ID1"
"GO:0051302","regulation of cell division",149,3,0.73,214,0.02144,0.0369,"GIPC1,KLHL21,VEGFC"
"GO:0031647","regulation of protein stability",256,4,1.26,216,0.01884,0.0372,"FLNA,GIPC1,HSPA1A,ID1"
"GO:0042306","regulation of protein import into nucleus",62,2,0.3,217,0.02522,0.0372,"CABP1,FLNA"
"GO:0015980","energy derivation by oxidation of organic compounds",257,4,1.26,219,0.01909,0.0376,"ACTN3,COQ10B,IL6ST,TIGAR"
"GO:0034504","protein localization to nucleus",258,4,1.27,221,0.01933,0.0381,"CABP1,CD2AP,FLNA,RGPD2"
"GO:0006606","protein import into nucleus",151,3,0.74,222,0.0222,0.0382,"CABP1,FLNA,RGPD2"
"GO:0051222","positive regulation of protein transport",380,5,1.86,225,0.01746,0.039,"ATP13A2,FLNA,IL33,SLC35D3,VEGFC"
"GO:0044089","positive regulation of cellular component biogenesis",511,6,2.51,227,0.01578,0.0396,"ATP13A2,FLNA,FSCN1,HSPA1A,ID1,PMAIP1"
"GO:0051094","positive regulation of developmental process",1242,11,6.09,229,0.00936,0.0399,"ACTN3,CRABP2,CXCR2,FLNA,HSPA1A,IDO1,IL6ST,SMURF2,TFAP2A,TMIGD2,VEGFC"
"GO:0007015","actin filament organization",383,5,1.88,231,0.018,0.0401,"CD2AP,FLNA,FSCN1,ID1,MYBPC2"
"GO:0045766","positive regulation of angiogenesis",154,3,0.76,230,0.02336,0.0401,"CXCR2,TMIGD2,VEGFC"
"GO:1904589","regulation of protein import",65,2,0.32,233,0.02753,0.0405,"CABP1,FLNA"
"GO:0002275","myeloid cell activation involved in immune response",516,6,2.53,234,0.01647,0.0412,"BCR,CTSZ,CXCR2,HSPA1A,IL33,NEU1"
"GO:0033555","multicellular organismal response to stress",66,2,0.32,236,0.02832,0.0417,"IDO1,NMUR2"
"GO:0022603","regulation of anatomical structure morphogenesis",946,9,4.64,237,0.01215,0.0419,"BCR,CRABP2,CXCR2,FLNA,ID1,SMURF2,TFAP2A,TMIGD2,VEGFC"
"GO:0045765","regulation of angiogenesis",267,4,1.31,238,0.02161,0.0423,"CXCR2,ID1,TMIGD2,VEGFC"
"GO:0046902","regulation of mitochondrial membrane permeability",67,2,0.33,242,0.02911,0.0428,"HSPA1A,PMAIP1"
"GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway",70,2,0.34,253,0.03156,0.0463,"HSPA1A,SMURF2"
"GO:0043455","regulation of secondary metabolic process",10,1,0.05,256,0.03902,0.048,"TIGAR"
"GO:0072173","metanephric tubule morphogenesis",10,1,0.05,257,0.03902,0.048,"CXCR2"
"GO:0042482","positive regulation of odontogenesis",10,1,0.05,258,0.03902,0.048,"TFAP2A"
"GO:0042436","indole-containing compound catabolic process",10,1,0.05,259,0.03902,0.048,"IDO1"
"GO:0032908","regulation of transforming growth factor beta1 production",10,1,0.05,260,0.03902,0.048,"CD2AP"
"GO:0014891","striated muscle atrophy",10,1,0.05,261,0.03902,0.048,"ACTN3"
"GO:0006569","tryptophan catabolic process",10,1,0.05,262,0.03902,0.048,"IDO1"
"GO:0016102","diterpenoid biosynthetic process",10,1,0.05,263,0.03902,0.048,"CRABP2"
