"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0055075","potassium ion homeostasis",23,3,0.07,1,1.6e-05,5.3e-05,"ATP4A,KCNH2,TFAP2B"
"GO:0048485","sympathetic nervous system development",17,2,0.05,2,0.00061,0.0013,"NRP2,TFAP2B"
"GO:0048739","cardiac muscle fiber development",17,2,0.05,3,0.00061,0.0013,"MYH6,VEGFA"
"GO:0010842","retina layer formation",19,2,0.06,4,0.00076,0.0017,"RDH13,TFAP2B"
"GO:0070528","protein kinase C signaling",25,2,0.08,5,0.00132,0.0029,"FIBIN,VEGFA"
"GO:0010595","positive regulation of endothelial cell migration",94,3,0.3,6,0.00109,0.0034,"FOXP1,NRP2,VEGFA"
"GO:0140115","export across plasma membrane",28,2,0.09,7,0.00166,0.0036,"ATP4A,KCNH2"
"GO:0042462","eye photoreceptor cell development",31,2,0.1,9,0.00203,0.0044,"RDH13,VEGFA"
"GO:0030224","monocyte differentiation",33,2,0.11,10,0.0023,0.005,"FOXP1,VEGFA"
"GO:0038084","vascular endothelial growth factor signaling pathway",34,2,0.11,12,0.00244,0.0053,"NRP2,VEGFA"
"GO:0048846","axon extension involved in axon guidance",36,2,0.12,14,0.00273,0.006,"NRP2,VEGFA"
"GO:0055078","sodium ion homeostasis",38,2,0.12,17,0.00304,0.0066,"ATP4A,TFAP2B"
"GO:0030049","muscle filament sliding",39,2,0.13,20,0.0032,0.007,"MYH6,TNNI3"
"GO:0060048","cardiac muscle contraction",125,3,0.4,23,0.00246,0.0076,"KCNH2,MYH6,TNNI3"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",46,2,0.15,30,0.00443,0.0096,"MYH6,TNNI3"
"GO:0002274","myeloid leukocyte activation",605,6,1.94,35,0.00173,0.0127,"ENPP3,FOXP1,MME,PRG2,QPCT,SLC7A2"
"GO:0008217","regulation of blood pressure",154,3,0.49,36,0.00443,0.0133,"MME,MYH6,TNNI3"
"GO:0048844","artery morphogenesis",59,2,0.19,40,0.00719,0.0154,"TFAP2B,VEGFA"
"GO:0002366","leukocyte activation involved in immune response",654,6,2.1,44,0.00257,0.018,"ENPP3,FOXP1,IFNA5,MME,PRG2,QPCT"
"GO:0003151","outflow tract morphogenesis",72,2,0.23,49,0.01056,0.0224,"NRP2,VEGFA"
"GO:0001570","vasculogenesis",73,2,0.23,53,0.01084,0.023,"TNNI3,VEGFA"
"GO:0043462","regulation of ATPase activity",75,2,0.24,55,0.01142,0.0242,"MYH6,TNNI3"
"GO:0042116","macrophage activation",75,2,0.24,56,0.01142,0.0242,"FOXP1,SLC7A2"
"GO:0008016","regulation of heart contraction",195,3,0.63,57,0.0085,0.0247,"KCNH2,MYH6,TNNI3"
"GO:0003073","regulation of systemic arterial blood pressure",77,2,0.25,60,0.01201,0.0254,"MME,TNNI3"
"GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",79,2,0.25,62,0.01261,0.0267,"TFAP2B,VEGFA"
"GO:0007215","glutamate receptor signaling pathway",84,2,0.27,66,0.01417,0.0299,"GRM3,SHISA7"
"GO:2000117","negative regulation of cysteine-type endopeptidase activity",85,2,0.27,67,0.01449,0.0305,"TFAP2B,VEGFA"
"GO:0002286","T cell activation involved in immune response",85,2,0.27,68,0.01449,0.0305,"FOXP1,IFNA5"
"GO:0048010","vascular endothelial growth factor receptor signaling pathway",86,2,0.28,69,0.01482,0.0312,"NRP2,VEGFA"
"GO:0150065","regulation of deacetylase activity",10,1,0.03,71,0.02141,0.0317,"VEGFA"
"GO:0072044","collecting duct development",10,1,0.03,72,0.02141,0.0317,"TFAP2B"
"GO:0033004","negative regulation of mast cell activation",10,1,0.03,73,0.02141,0.0317,"ENPP3"
"GO:0021561","facial nerve development",10,1,0.03,74,0.02141,0.0317,"NRP2"
"GO:0021610","facial nerve morphogenesis",10,1,0.03,75,0.02141,0.0317,"NRP2"
"GO:0055062","phosphate ion homeostasis",10,1,0.03,76,0.02141,0.0317,"TFAP2B"
"GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle",10,1,0.03,77,0.02141,0.0317,"ANAPC11"
"GO:0043129","surfactant homeostasis",10,1,0.03,78,0.02141,0.0317,"VEGFA"
"GO:0072505","divalent inorganic anion homeostasis",10,1,0.03,79,0.02141,0.0317,"TFAP2B"
"GO:0072506","trivalent inorganic anion homeostasis",10,1,0.03,80,0.02141,0.0317,"TFAP2B"
"GO:0042118","endothelial cell activation",10,1,0.03,81,0.02141,0.0317,"FOXP1"
"GO:0033141","positive regulation of peptidyl-serine phosphorylation of STAT protein",10,1,0.03,82,0.02141,0.0317,"IFNA5"
"GO:0002002","regulation of angiotensin levels in blood",10,1,0.03,83,0.02141,0.0317,"MME"
"GO:0072080","nephron tubule development",89,2,0.29,84,0.01581,0.0332,"TFAP2B,VEGFA"
