"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,5,0.19,1,2.5e-07,1.1e-06,"ACTN3,MYH4,TNNC2,TNNI2,TNNT3"
"GO:0003009","skeletal muscle contraction",41,5,0.2,3,0.00012,1.5e-06,"ACTN3,ATP2A1,TNNC2,TNNI2,TNNT3"
"GO:0090257","regulation of muscle system process",212,6,1.02,8,0.00491,0.00054,"ACTN3,ATP2A1,IL6ST,TNNC2,TNNI2,TNNT3"
"GO:0006937","regulation of muscle contraction",147,5,0.7,9,0.0111,7e-04,"ACTN3,ATP2A1,TNNC2,TNNI2,TNNT3"
"GO:0071363","cellular response to growth factor stimulus",623,10,2.98,10,0.01071,0.00077,"ACAP2,BMP2,ENG,FLRT2,HSPA1A,ID1,PGF,POLR2L,SMURF2,WNT10A"
"GO:0070848","response to growth factor",650,10,3.11,14,0.01386,0.00106,"ACAP2,BMP2,ENG,FLRT2,HSPA1A,ID1,PGF,POLR2L,SMURF2,WNT10A"
"GO:0045446","endothelial cell differentiation",97,4,0.46,16,0.02244,0.00121,"ANXA2,ATOH8,ENG,ID1"
"GO:0031581","hemidesmosome assembly",12,2,0.06,17,0.00081,0.00145,"CD151,LAMC1"
"GO:0002009","morphogenesis of an epithelium",458,8,2.19,18,0.00358,0.00156,"BMP2,CD151,CFL1,ENG,FKBPL,PGF,SMURF2,WNT10A"
"GO:0007167","enzyme linked receptor protein signaling pathway",934,12,4.47,19,0.00816,0.00157,"ACTG1,ATOH8,BMP2,ENG,FLRT2,HSPA1A,ID1,IL6ST,PGF,PIK3R2,POLR2L,SMURF2"
"GO:0042487","regulation of odontogenesis of dentin-containing tooth",13,2,0.06,20,0.00095,0.00171,"BMP2,WNT10A"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.06,21,0.00095,0.00171,"ACTN3,ATP2A1"
"GO:0048711","positive regulation of astrocyte differentiation",13,2,0.06,22,0.00095,0.00171,"BMP2,IL6ST"
"GO:0003158","endothelium development",111,4,0.53,23,0.03189,0.00198,"ANXA2,ATOH8,ENG,ID1"
"GO:0044794","positive regulation by host of viral process",15,2,0.07,24,0.00127,0.00228,"ANXA2,CFL1"
"GO:0006874","cellular calcium ion homeostasis",407,7,1.95,26,0.00059,0.00335,"ANXA2,ATP2A1,NPFF,PVALB,SLC30A1,VAPB,YWHAE"
"GO:0030509","BMP signaling pathway",136,4,0.65,29,0.0014,0.00413,"BMP2,ENG,ID1,SMURF2"
"GO:0060047","heart contraction",226,5,1.08,33,0.00125,0.00459,"ATP2A1,NPFF,TNNI2,TNNT3,YWHAE"
"GO:0031647","regulation of protein stability",256,5,1.23,48,0.00216,0.0077,"BMP2,FKBPL,HSPA1A,ID1,NCLN"
"GO:0001569","branching involved in blood vessel morphogenesis",28,2,0.13,49,0.00445,0.0079,"ENG,FKBPL"
"GO:0045601","regulation of endothelial cell differentiation",30,2,0.14,51,0.00509,0.00904,"ATOH8,ID1"
"GO:0061036","positive regulation of cartilage development",30,2,0.14,52,0.00509,0.00904,"ANXA2,BMP2"
"GO:0050679","positive regulation of epithelial cell proliferation",172,4,0.82,53,0.00329,0.00937,"BMP2,ID1,LAMC1,PGF"
"GO:0060317","cardiac epithelial to mesenchymal transition",31,2,0.15,54,0.00543,0.00963,"BMP2,ENG"
"GO:0032963","collagen metabolic process",93,3,0.45,57,0.00445,0.01008,"ENG,ID1,P3H2"
"GO:0003203","endocardial cushion morphogenesis",32,2,0.15,58,0.00578,0.01024,"BMP2,ENG"
"GO:0007219","Notch signaling pathway",177,4,0.85,59,0.00364,0.01033,"BMP2,IL6ST,PSENEN,SLC35C1"
"GO:2000826","regulation of heart morphogenesis",34,2,0.16,61,0.00651,0.01151,"BMP2,ENG"
"GO:0006900","vesicle budding from membrane",100,3,0.48,65,0.00544,0.01227,"ANXA2,TRAPPC2L,VAPB"
"GO:0017015","regulation of transforming growth factor beta receptor signaling pathway",106,3,0.51,72,0.0064,0.01434,"ENG,HSPA1A,SMURF2"
"GO:0051094","positive regulation of developmental process",1242,12,5.95,74,0.0191,0.01484,"ACTN3,ANXA2,ATOH8,BMP2,CRABP2,ENG,FLRT2,HLA-G,HSPA1A,IL6ST,PGF,SMURF2"
"GO:0045667","regulation of osteoblast differentiation",108,3,0.52,75,0.00674,0.01507,"BMP2,ID1,IL6ST"
"GO:1901028","regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",40,2,0.19,78,0.00893,0.01571,"HSPA1A,YWHAE"
"GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation",42,2,0.2,81,0.00981,0.01723,"BMP2,ENG"
"GO:0045214","sarcomere organization",43,2,0.21,84,0.01026,0.01802,"ACTG1,TNNT3"
"GO:0031648","protein destabilization",43,2,0.21,85,0.01026,0.01802,"BMP2,ID1"
"GO:0001936","regulation of endothelial cell proliferation",119,3,0.57,86,0.00879,0.01948,"ATOH8,BMP2,PGF"
"GO:1900034","regulation of cellular response to heat",45,2,0.22,88,0.0112,0.01963,"HSPA1A,YWHAE"
"GO:0035722","interleukin-12-mediated signaling pathway",45,2,0.22,89,0.0112,0.01963,"ANXA2,CFL1"
"GO:0010718","positive regulation of epithelial to mesenchymal transition",46,2,0.22,93,0.01168,0.02046,"BMP2,ENG"
"GO:0048646","anatomical structure formation involved in morphogenesis",998,10,4.78,95,0.01774,0.02055,"ACTG1,ANXA2,ATOH8,BMP2,CFL1,ENG,FKBPL,ID1,PGF,TNNT3"
"GO:0007155","cell adhesion",1303,12,6.24,96,0.0019,0.02088,"ACTG1,ACTN3,ANXA2,BMP2,CD151,ENG,EPDR1,FLRT2,HLA-G,ID1,IL6ST,LAMC1"
"GO:0071349","cellular response to interleukin-12",47,2,0.23,97,0.01218,0.02131,"ANXA2,CFL1"
"GO:0120163","negative regulation of cold-induced thermogenesis",47,2,0.23,98,0.01218,0.02131,"ACTN3,ID1"
"GO:0070671","response to interleukin-12",48,2,0.23,101,0.01268,0.02217,"ANXA2,CFL1"
"GO:1990090","cellular response to nerve growth factor stimulus",49,2,0.23,104,0.01319,0.02304,"ACAP2,ID1"
"GO:0060688","regulation of morphogenesis of a branching structure",51,2,0.24,107,0.01423,0.02483,"FKBPL,PGF"
"GO:1990089","response to nerve growth factor",52,2,0.25,111,0.01477,0.02574,"ACAP2,ID1"
