"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0042487","regulation of odontogenesis of dentin-containing tooth",13,2,0.08,1,0.00041,0.0025,"BMP2,WNT10A"
"GO:1900745","positive regulation of p38MAPK cascade",25,2,0.15,3,0.00154,0.0093,"BMP2,GDF6"
"GO:0048754","branching morphogenesis of an epithelial tube",143,4,0.84,5,0.01604,0.0099,"BMP2,CTSZ,DDR1,PGF"
"GO:0061036","positive regulation of cartilage development",30,2,0.18,6,0.00222,0.0132,"BMP2,GDF6"
"GO:0032735","positive regulation of interleukin-12 production",31,2,0.18,7,0.00237,0.0141,"HLA-G,LTB"
"GO:0030501","positive regulation of bone mineralization",34,2,0.2,11,0.00285,0.0168,"BMP2,FAM20C"
"GO:0061138","morphogenesis of a branching epithelium",174,4,1.02,13,0.02834,0.019,"BMP2,CTSZ,DDR1,PGF"
"GO:0001763","morphogenesis of a branching structure",188,4,1.1,16,0.03482,0.0244,"BMP2,CTSZ,DDR1,PGF"
"GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation",42,2,0.25,17,0.00432,0.025,"BMP2,GDF6"
"GO:0060563","neuroepithelial cell differentiation",49,2,0.29,20,0.00584,0.0332,"BMP2,FAM20C"
"GO:0006968","cellular defense response",50,2,0.29,22,0.00607,0.0345,"HLA-G,NCR1"
"GO:0001658","branching involved in ureteric bud morphogenesis",56,2,0.33,25,0.00757,0.0424,"BMP2,PGF"
"GO:0045669","positive regulation of osteoblast differentiation",57,2,0.33,27,0.00783,0.0438,"BMP2,FAM20C"
"GO:0060395","SMAD protein signal transduction",61,2,0.36,29,0.00893,0.0495,"BMP2,GDF6"
