"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0010842","retina layer formation",19,2,0.04,1,0.00012,8e-04,"RDH13,TFAP2B"
"GO:0036500","ATF6-mediated unfolded protein response",10,1,0.02,5,0.00873,0.022,"ATF6B"
"GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress",10,1,0.02,6,0.00873,0.022,"ATF6B"
"GO:0055062","phosphate ion homeostasis",10,1,0.02,7,0.00873,0.022,"TFAP2B"
"GO:0033141","positive regulation of peptidyl-serine phosphorylation of STAT protein",10,1,0.02,8,0.00873,0.022,"IFNA5"
"GO:0072044","collecting duct development",10,1,0.02,9,0.00873,0.022,"TFAP2B"
"GO:0002002","regulation of angiotensin levels in blood",10,1,0.02,10,0.00873,0.022,"MME"
"GO:0002523","leukocyte migration involved in inflammatory response",10,1,0.02,11,0.00873,0.022,"S100A8"
"GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response",11,1,0.02,14,0.0096,0.0242,"ATF6B"
"GO:0072017","distal tubule development",11,1,0.02,15,0.0096,0.0242,"TFAP2B"
"GO:0072578","neurotransmitter-gated ion channel clustering",11,1,0.02,16,0.0096,0.0242,"SHISA7"
"GO:0010960","magnesium ion homeostasis",11,1,0.02,17,0.0096,0.0242,"TFAP2B"
"GO:1901626","regulation of postsynaptic membrane organization",12,1,0.03,18,0.01047,0.0263,"SHISA7"
"GO:0070486","leukocyte aggregation",12,1,0.03,19,0.01047,0.0263,"S100A8"
"GO:0090399","replicative senescence",12,1,0.03,20,0.01047,0.0263,"MME"
"GO:0009642","response to light intensity",13,1,0.03,22,0.01133,0.0285,"RDH13"
"GO:0017014","protein nitrosylation",13,1,0.03,23,0.01133,0.0285,"S100A8"
"GO:0048172","regulation of short-term neuronal synaptic plasticity",13,1,0.03,24,0.01133,0.0285,"SHISA7"
"GO:0046500","S-adenosylmethionine metabolic process",13,1,0.03,25,0.01133,0.0285,"MAT1A"
"GO:0051238","sequestering of metal ion",13,1,0.03,26,0.01133,0.0285,"S100A8"
"GO:0018119","peptidyl-cysteine S-nitrosylation",13,1,0.03,27,0.01133,0.0285,"S100A8"
"GO:0045974","regulation of translation, ncRNA-mediated",14,1,0.03,28,0.0122,0.0306,"AGO3"
"GO:0040033","negative regulation of translation, ncRNA-mediated",14,1,0.03,29,0.0122,0.0306,"AGO3"
"GO:0000098","sulfur amino acid catabolic process",14,1,0.03,30,0.0122,0.0306,"MAT1A"
"GO:0035810","positive regulation of urine volume",14,1,0.03,31,0.0122,0.0306,"TFAP2B"
"GO:0035278","miRNA mediated inhibition of translation",14,1,0.03,32,0.0122,0.0306,"AGO3"
"GO:0048070","regulation of developmental pigmentation",15,1,0.03,33,0.01307,0.0328,"HPS4"
"GO:0031054","pre-miRNA processing",15,1,0.03,34,0.01307,0.0328,"AGO3"
"GO:0048485","sympathetic nervous system development",17,1,0.04,39,0.0148,0.0371,"TFAP2B"
"GO:1900273","positive regulation of long-term synaptic potentiation",17,1,0.04,40,0.0148,0.0371,"SHISA7"
"GO:0006555","methionine metabolic process",17,1,0.04,41,0.0148,0.0371,"MAT1A"
"GO:0010224","response to UV-B",18,1,0.04,42,0.01566,0.0392,"MME"
"GO:0002544","chronic inflammatory response",18,1,0.04,43,0.01566,0.0392,"S100A8"
"GO:0097242","amyloid-beta clearance",19,1,0.04,44,0.01652,0.0414,"MME"
"GO:1901685","glutathione derivative metabolic process",19,1,0.04,45,0.01652,0.0414,"GSTT2B"
"GO:1901687","glutathione derivative biosynthetic process",19,1,0.04,46,0.01652,0.0414,"GSTT2B"
"GO:0009068","aspartate family amino acid catabolic process",19,1,0.04,47,0.01652,0.0414,"MAT1A"
"GO:0035809","regulation of urine volume",19,1,0.04,48,0.01652,0.0414,"TFAP2B"
"GO:0002323","natural killer cell activation involved in immune response",20,1,0.04,49,0.01739,0.0435,"IFNA5"
"GO:0033688","regulation of osteoblast proliferation",21,1,0.05,50,0.01825,0.0456,"TMEM119"
"GO:0030318","melanocyte differentiation",21,1,0.05,51,0.01825,0.0456,"HPS4"
"GO:1903010","regulation of bone development",22,1,0.05,52,0.01911,0.0477,"TMEM119"
"GO:0010226","response to lithium ion",22,1,0.05,53,0.01911,0.0477,"TFAP2B"
"GO:2000311","regulation of AMPA receptor activity",22,1,0.05,54,0.01911,0.0477,"SHISA7"
"GO:0055075","potassium ion homeostasis",23,1,0.05,57,0.01997,0.0498,"TFAP2B"
