"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0006941","striated muscle contraction",159,6,0.58,1,0.03759,2.3e-05,"DTNA,GRK2,KCNH2,MYBPC3,MYH6,TNNI3"
"GO:0060048","cardiac muscle contraction",125,5,0.45,2,2.4e-06,8.9e-05,"GRK2,KCNH2,MYBPC3,MYH6,TNNI3"
"GO:0030049","muscle filament sliding",39,3,0.14,3,4.3e-05,0.00038,"MYBPC3,MYH6,TNNI3"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",46,3,0.17,5,7e-05,0.00061,"MYBPC3,MYH6,TNNI3"
"GO:0048739","cardiac muscle fiber development",17,2,0.06,12,4e-04,0.00169,"MYBPC3,MYH6"
"GO:0043462","regulation of ATPase activity",75,3,0.27,15,3e-04,0.00254,"MYBPC3,MYH6,TNNI3"
"GO:0060445","branching involved in salivary gland morphogenesis",22,2,0.08,17,0.00067,0.00284,"HGF,TNF"
"GO:0006942","regulation of striated muscle contraction",83,3,0.3,19,0.00041,0.00338,"GRK2,MYBPC3,TNNI3"
"GO:0002026","regulation of the force of heart contraction",28,2,0.1,21,0.00109,0.00459,"GRK2,MYH6"
"GO:0008016","regulation of heart contraction",195,4,0.71,24,0.03037,0.00544,"GRK2,KCNH2,MYH6,TNNI3"
"GO:1901031","regulation of response to reactive oxygen species",34,2,0.12,25,0.00161,0.00672,"HGF,TNF"
"GO:1900744","regulation of p38MAPK cascade",37,2,0.13,28,0.0019,0.00792,"GDF6,HGF"
"GO:0033209","tumor necrosis factor-mediated signaling pathway",116,3,0.42,30,0.00108,0.00857,"CDIP1,LTB,TNF"
"GO:0032715","negative regulation of interleukin-6 production",40,2,0.14,35,0.00222,0.00921,"HGF,TNF"
"GO:0045214","sarcomere organization",43,2,0.16,39,0.00256,0.01059,"MYBPC3,MYH6"
"GO:0042108","positive regulation of cytokine biosynthetic process",49,2,0.18,42,0.00332,0.0136,"LTB,TNF"
"GO:0070830","bicellular tight junction assembly",51,2,0.18,43,0.00359,0.01468,"PATJ,TNF"
"GO:0060688","regulation of morphogenesis of a branching structure",51,2,0.18,44,0.00359,0.01468,"HGF,TNF"
"GO:0045669","positive regulation of osteoblast differentiation",57,2,0.21,49,0.00446,0.01812,"FAM20C,HGF"
"GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling",64,2,0.23,56,0.00559,0.02252,"HGF,TNF"
"GO:0010469","regulation of signaling receptor activity",469,5,1.7,61,0.00122,0.02724,"GDF6,HGF,LTB,TNF,WNT10A"
"GO:0045682","regulation of epidermis development",72,2,0.26,63,0.00703,0.02804,"CDSN,TNF"
"GO:1900407","regulation of cellular response to oxidative stress",73,2,0.26,65,0.00722,0.02876,"HGF,TNF"
"GO:0042475","odontogenesis of dentin-containing tooth",74,2,0.27,66,0.00741,0.02949,"FAM20C,WNT10A"
"GO:0035690","cellular response to drug",330,4,1.19,68,0.0025,0.03155,"GRK2,HGF,KCNH2,TNF"
"GO:2000027","regulation of animal organ morphogenesis",192,3,0.7,70,0.00451,0.03239,"HGF,TNF,WNT10A"
"GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors",79,2,0.29,72,0.00841,0.03326,"HGF,TNF"
"GO:0001942","hair follicle development",80,2,0.29,74,0.00862,0.03403,"TNF,WNT10A"
"GO:0019722","calcium-mediated signaling",199,3,0.72,75,0.00498,0.03546,"CALML6,TNF,TNNI3"
"GO:0015851","nucleobase transport",10,1,0.04,81,0.01739,0.03564,"SLC28A1"
"GO:0031652","positive regulation of heat generation",10,1,0.04,82,0.01739,0.03564,"TNF"
"GO:0046325","negative regulation of glucose import",10,1,0.04,83,0.01739,0.03564,"TNF"
"GO:0042368","vitamin D biosynthetic process",10,1,0.04,84,0.01739,0.03564,"TNF"
"GO:0044146","negative regulation of growth of symbiont involved in interaction with host",10,1,0.04,85,0.01739,0.03564,"TNF"
"GO:0044130","negative regulation of growth of symbiont in host",10,1,0.04,86,0.01739,0.03564,"TNF"
"GO:0050755","chemokine metabolic process",10,1,0.04,87,0.01739,0.03564,"TNF"
"GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway",10,1,0.04,88,0.01739,0.03564,"DDR1"
"GO:2000121","regulation of removal of superoxide radicals",10,1,0.04,89,0.01739,0.03564,"TNF"
"GO:0072531","pyrimidine-containing compound transmembrane transport",10,1,0.04,90,0.01739,0.03564,"SLC28A1"
"GO:0045414","regulation of interleukin-8 biosynthetic process",10,1,0.04,91,0.01739,0.03564,"TNF"
"GO:0042635","positive regulation of hair cycle",10,1,0.04,92,0.01739,0.03564,"TNF"
"GO:0045605","negative regulation of epidermal cell differentiation",10,1,0.04,93,0.01739,0.03564,"CDSN"
"GO:0033605","positive regulation of catecholamine secretion",10,1,0.04,94,0.01739,0.03564,"GRK2"
"GO:0051798","positive regulation of hair follicle development",10,1,0.04,95,0.01739,0.03564,"TNF"
"GO:0042033","chemokine biosynthetic process",10,1,0.04,96,0.01739,0.03564,"TNF"
"GO:1901888","regulation of cell junction assembly",85,2,0.31,97,0.00968,0.03801,"LIMCH1,TNF"
"GO:0042228","interleukin-8 biosynthetic process",11,1,0.04,99,0.01911,0.03913,"TNF"
"GO:0030241","skeletal muscle myosin thick filament assembly",11,1,0.04,100,0.01911,0.03913,"MYBPC3"
"GO:0002923","regulation of humoral immune response mediated by circulating immunoglobulin",11,1,0.04,101,0.01911,0.03913,"TNF"
"GO:0010421","hydrogen peroxide-mediated programmed cell death",11,1,0.04,102,0.01911,0.03913,"HGF"
"GO:0003334","keratinocyte development",11,1,0.04,103,0.01911,0.03913,"CDSN"
"GO:0044126","regulation of growth of symbiont in host",11,1,0.04,104,0.01911,0.03913,"TNF"
"GO:0044144","modulation of growth of symbiont involved in interaction with host",11,1,0.04,105,0.01911,0.03913,"TNF"
"GO:0000185","activation of MAPKKK activity",11,1,0.04,106,0.01911,0.03913,"TNF"
"GO:0072567","chemokine (C-X-C motif) ligand 2 production",11,1,0.04,107,0.01911,0.03913,"TNF"
"GO:0071803","positive regulation of podosome assembly",11,1,0.04,108,0.01911,0.03913,"TNF"
"GO:0030656","regulation of vitamin metabolic process",11,1,0.04,109,0.01911,0.03913,"TNF"
"GO:0097468","programmed cell death in response to reactive oxygen species",11,1,0.04,110,0.01911,0.03913,"HGF"
"GO:0071688","striated muscle myosin thick filament assembly",11,1,0.04,111,0.01911,0.03913,"MYBPC3"
"GO:0002027","regulation of heart rate",89,2,0.32,112,0.01057,0.04131,"KCNH2,MYH6"
"GO:0030316","osteoclast differentiation",90,2,0.33,114,0.0108,0.04215,"FAM20C,TNF"
"GO:0007512","adult heart development",12,1,0.04,116,0.02083,0.04261,"MYH6"
"GO:0031650","regulation of heat generation",12,1,0.04,117,0.02083,0.04261,"TNF"
"GO:0031643","positive regulation of myelination",12,1,0.04,118,0.02083,0.04261,"HGF"
"GO:1903140","regulation of establishment of endothelial barrier",12,1,0.04,119,0.02083,0.04261,"TNF"
"GO:1901550","regulation of endothelial cell development",12,1,0.04,120,0.02083,0.04261,"TNF"
"GO:0031034","myosin filament assembly",12,1,0.04,121,0.02083,0.04261,"MYBPC3"
"GO:0090197","positive regulation of chemokine secretion",13,1,0.05,125,0.02255,0.04608,"TNF"
"GO:0044110","growth involved in symbiotic interaction",13,1,0.05,126,0.02255,0.04608,"TNF"
"GO:0044116","growth of symbiont involved in interaction with host",13,1,0.05,127,0.02255,0.04608,"TNF"
"GO:0044117","growth of symbiont in host",13,1,0.05,128,0.02255,0.04608,"TNF"
"GO:0042362","fat-soluble vitamin biosynthetic process",13,1,0.05,129,0.02255,0.04608,"TNF"
"GO:0031033","myosin filament organization",13,1,0.05,130,0.02255,0.04608,"MYBPC3"
"GO:0038065","collagen-activated signaling pathway",13,1,0.05,131,0.02255,0.04608,"DDR1"
"GO:0042487","regulation of odontogenesis of dentin-containing tooth",13,1,0.05,132,0.02255,0.04608,"WNT10A"
"GO:0045683","negative regulation of epidermis development",13,1,0.05,133,0.02255,0.04608,"CDSN"
"GO:0032352","positive regulation of hormone metabolic process",13,1,0.05,134,0.02255,0.04608,"TNF"
"GO:2001237","negative regulation of extrinsic apoptotic signaling pathway",96,2,0.35,135,0.01222,0.04734,"HGF,TNF"
"GO:0030240","skeletal muscle thin filament assembly",14,1,0.05,139,0.02426,0.04954,"MYBPC3"
"GO:0150078","positive regulation of neuroinflammatory response",14,1,0.05,140,0.02426,0.04954,"TNF"
"GO:0002922","positive regulation of humoral immune response",14,1,0.05,141,0.02426,0.04954,"TNF"
"GO:0090196","regulation of chemokine secretion",14,1,0.05,142,0.02426,0.04954,"TNF"
"GO:0090153","regulation of sphingolipid biosynthetic process",14,1,0.05,143,0.02426,0.04954,"TNF"
"GO:0048143","astrocyte activation",14,1,0.05,144,0.02426,0.04954,"TNF"
"GO:2000303","regulation of ceramide biosynthetic process",14,1,0.05,145,0.02426,0.04954,"TNF"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion",14,1,0.05,146,0.02426,0.04954,"TNF"
"GO:2000010","positive regulation of protein localization to cell surface",14,1,0.05,147,0.02426,0.04954,"TNF"
"GO:1905038","regulation of membrane lipid metabolic process",14,1,0.05,148,0.02426,0.04954,"TNF"
"GO:1903978","regulation of microglial cell activation",14,1,0.05,149,0.02426,0.04954,"TNF"
"GO:0051044","positive regulation of membrane protein ectodomain proteolysis",14,1,0.05,150,0.02426,0.04954,"TNF"
