"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,7,0.08,1,1.5e-13,7.4e-13,"ACTN3,MYBPC2,MYH4,MYL1,TNNC2,TNNI2,TNNT3"
"GO:0003009","skeletal muscle contraction",41,6,0.08,3,7.8e-06,1.4e-10,"ACTN3,ATP2A1,CASQ1,TNNC2,TNNI2,TNNT3"
"GO:0006936","muscle contraction",330,10,0.64,4,0.10809,3.9e-10,"ACTN3,ATP2A1,CASQ1,MYBPC2,MYH1,MYH4,MYL1,TNNC2,TNNI2,TNNT3"
"GO:0006937","regulation of muscle contraction",147,6,0.28,11,0.00084,3.3e-07,"ACTN3,ATP2A1,CASQ1,TNNC2,TNNI2,TNNT3"
"GO:0014819","regulation of skeletal muscle contraction",13,3,0.03,12,9.9e-07,1.8e-06,"ACTN3,ATP2A1,CASQ1"
"GO:0030239","myofibril assembly",64,4,0.12,15,0.02912,6.7e-06,"CASQ1,MYBPC2,MYOZ1,TNNT3"
"GO:0006942","regulation of striated muscle contraction",83,4,0.16,16,0.09377,1.9e-05,"ACTN3,ATP2A1,CASQ1,TNNT3"
"GO:0010927","cellular component assembly involved in morphogenesis",100,4,0.19,17,0.07715,3.9e-05,"CASQ1,MYBPC2,MYOZ1,TNNT3"
"GO:0045214","sarcomere organization",43,3,0.08,20,4.1e-05,7.6e-05,"CASQ1,MYBPC2,TNNT3"
"GO:0014894","response to denervation involved in regulation of muscle adaptation",10,2,0.02,22,0.00011,0.00016,"ACTN3,CASQ1"
"GO:0060048","cardiac muscle contraction",125,3,0.24,34,0.00098,0.00177,"MYL1,TNNI2,TNNT3"
"GO:1903779","regulation of cardiac conduction",52,2,0.1,36,0.00302,0.0045,"ATP2A1,CASQ1"
"GO:0099132","ATP hydrolysis coupled cation transmembrane transport",58,2,0.11,38,0.00375,0.00557,"ABCB11,ATP2A1"
"GO:0019722","calcium-mediated signaling",199,3,0.38,39,0.00368,0.00653,"ACTN3,CASQ1,CXCR2"
"GO:0006874","cellular calcium ion homeostasis",407,4,0.78,40,0.00358,0.00746,"ATP2A1,CASQ1,CXCR2,PVALB"
"GO:0007135","meiosis II",10,1,0.02,48,0.01566,0.01911,"HORMAD2"
"GO:0072173","metanephric tubule morphogenesis",10,1,0.02,49,0.01566,0.01911,"CXCR2"
"GO:0051561","positive regulation of mitochondrial calcium ion concentration",10,1,0.02,50,0.01566,0.01911,"ATP2A1"
"GO:0061983","meiosis II cell cycle process",10,1,0.02,51,0.01566,0.01911,"HORMAD2"
"GO:0014891","striated muscle atrophy",10,1,0.02,52,0.01566,0.01911,"ACTN3"
"GO:0051657","maintenance of organelle location",11,1,0.02,53,0.01721,0.021,"ATP2A1"
"GO:0071688","striated muscle myosin thick filament assembly",11,1,0.02,54,0.01721,0.021,"MYBPC2"
"GO:0030241","skeletal muscle myosin thick filament assembly",11,1,0.02,55,0.01721,0.021,"MYBPC2"
"GO:0051480","regulation of cytosolic calcium ion concentration",316,3,0.61,56,0.01312,0.02258,"CASQ1,CXCR2,PVALB"
"GO:0031034","myosin filament assembly",12,1,0.02,57,0.01877,0.02289,"MYBPC2"
"GO:0045820","negative regulation of glycolytic process",12,1,0.02,58,0.01877,0.02289,"ACTN3"
"GO:0010663","positive regulation of striated muscle cell apoptotic process",12,1,0.02,59,0.01877,0.02289,"CXCR2"
"GO:0010666","positive regulation of cardiac muscle cell apoptotic process",12,1,0.02,60,0.01877,0.02289,"CXCR2"
"GO:0031033","myosin filament organization",13,1,0.03,63,0.02031,0.02478,"MYBPC2"
"GO:0070863","positive regulation of protein exit from endoplasmic reticulum",13,1,0.03,64,0.02031,0.02478,"SLC35D3"
"GO:0014889","muscle atrophy",13,1,0.03,65,0.02031,0.02478,"ACTN3"
"GO:0045989","positive regulation of striated muscle contraction",13,1,0.03,66,0.02031,0.02478,"ATP2A1"
"GO:0070885","negative regulation of calcineurin-NFAT signaling cascade",13,1,0.03,67,0.02031,0.02478,"ACTN3"
"GO:2001256","regulation of store-operated calcium entry",13,1,0.03,68,0.02031,0.02478,"CASQ1"
"GO:0051198","negative regulation of coenzyme metabolic process",13,1,0.03,69,0.02031,0.02478,"ACTN3"
"GO:0030812","negative regulation of nucleotide catabolic process",13,1,0.03,70,0.02031,0.02478,"ACTN3"
"GO:0006089","lactate metabolic process",13,1,0.03,71,0.02031,0.02478,"ACTN3"
"GO:0106057","negative regulation of calcineurin-mediated signaling",13,1,0.03,72,0.02031,0.02478,"ACTN3"
"GO:0030240","skeletal muscle thin filament assembly",14,1,0.03,75,0.02186,0.02666,"MYBPC2"
"GO:0014733","regulation of skeletal muscle adaptation",14,1,0.03,76,0.02186,0.02666,"ACTN3"
"GO:0014706","striated muscle tissue development",341,3,0.66,77,0.01608,0.02749,"ACTN3,CASQ1,MYBPC2"
"GO:0001780","neutrophil homeostasis",15,1,0.03,78,0.0234,0.02853,"CXCR2"
"GO:0033033","negative regulation of myeloid cell apoptotic process",15,1,0.03,79,0.0234,0.02853,"CXCR2"
"GO:2001170","negative regulation of ATP biosynthetic process",15,1,0.03,80,0.0234,0.02853,"ACTN3"
"GO:0014866","skeletal myofibril assembly",16,1,0.03,82,0.02495,0.03041,"MYBPC2"
"GO:0060537","muscle tissue development",355,3,0.68,83,0.01788,0.03047,"ACTN3,CASQ1,MYBPC2"
"GO:1900372","negative regulation of purine nucleotide biosynthetic process",17,1,0.03,85,0.02648,0.03228,"ACTN3"
"GO:0048739","cardiac muscle fiber development",17,1,0.03,86,0.02648,0.03228,"MYBPC2"
"GO:0030809","negative regulation of nucleotide biosynthetic process",17,1,0.03,87,0.02648,0.03228,"ACTN3"
"GO:0007517","muscle organ development",366,3,0.71,88,0.01938,0.03293,"ACTN3,CASQ1,MYBPC2"
"GO:0002438","acute inflammatory response to antigenic stimulus",18,1,0.03,89,0.02802,0.03415,"CXCR2"
"GO:0002115","store-operated calcium entry",18,1,0.03,90,0.02802,0.03415,"CASQ1"
"GO:0007519","skeletal muscle tissue development",152,2,0.29,91,0.02377,0.03454,"ACTN3,CASQ1"
"GO:0002407","dendritic cell chemotaxis",19,1,0.04,93,0.02956,0.03601,"CXCR2"
"GO:0051197","positive regulation of coenzyme metabolic process",19,1,0.04,94,0.02956,0.03601,"ACTN3"
"GO:0030813","positive regulation of nucleotide catabolic process",19,1,0.04,95,0.02956,0.03601,"ACTN3"
"GO:0035455","response to interferon-alpha",20,1,0.04,97,0.03109,0.03787,"MX2"
"GO:0051195","negative regulation of cofactor metabolic process",20,1,0.04,98,0.03109,0.03787,"ACTN3"
"GO:0060538","skeletal muscle organ development",161,2,0.31,99,0.02644,0.03835,"ACTN3,CASQ1"
"GO:0006925","inflammatory cell apoptotic process",21,1,0.04,102,0.03262,0.03973,"CXCR2"
"GO:0032469","endoplasmic reticulum calcium ion homeostasis",22,1,0.04,104,0.03414,0.04158,"ATP2A1"
"GO:0072170","metanephric tubule development",22,1,0.04,105,0.03414,0.04158,"CXCR2"
"GO:0002082","regulation of oxidative phosphorylation",22,1,0.04,106,0.03414,0.04158,"ACTN3"
"GO:0036336","dendritic cell migration",22,1,0.04,107,0.03414,0.04158,"CXCR2"
"GO:0090023","positive regulation of neutrophil chemotaxis",22,1,0.04,108,0.03414,0.04158,"CXCR2"
"GO:1903579","negative regulation of ATP metabolic process",23,1,0.04,110,0.03567,0.04343,"ACTN3"
"GO:0051560","mitochondrial calcium ion homeostasis",23,1,0.04,111,0.03567,0.04343,"ATP2A1"
"GO:0015721","bile acid and bile salt transport",24,1,0.05,112,0.03719,0.04528,"ABCB11"
"GO:0051194","positive regulation of cofactor metabolic process",24,1,0.05,113,0.03719,0.04528,"ACTN3"
"GO:0071624","positive regulation of granulocyte chemotaxis",24,1,0.05,114,0.03719,0.04528,"CXCR2"
"GO:0048643","positive regulation of skeletal muscle tissue development",24,1,0.05,115,0.03719,0.04528,"ACTN3"
"GO:0043457","regulation of cellular respiration",24,1,0.05,116,0.03719,0.04528,"ACTN3"
"GO:0070861","regulation of protein exit from endoplasmic reticulum",25,1,0.05,118,0.03871,0.04712,"SLC35D3"
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",25,1,0.05,119,0.03871,0.04712,"CASQ1"
"GO:1902624","positive regulation of neutrophil migration",25,1,0.05,120,0.03871,0.04712,"CXCR2"
"GO:0043501","skeletal muscle adaptation",25,1,0.05,121,0.03871,0.04712,"ACTN3"
"GO:1900543","negative regulation of purine nucleotide metabolic process",25,1,0.05,122,0.03871,0.04712,"ACTN3"
"GO:0015012","heparan sulfate proteoglycan biosynthetic process",25,1,0.05,123,0.03871,0.04712,"HS6ST3"
"GO:0072207","metanephric epithelium development",25,1,0.05,124,0.03871,0.04712,"CXCR2"
"GO:0045980","negative regulation of nucleotide metabolic process",26,1,0.05,126,0.04023,0.04896,"ACTN3"
"GO:0055003","cardiac myofibril assembly",26,1,0.05,127,0.04023,0.04896,"MYBPC2"
"GO:0090075","relaxation of muscle",26,1,0.05,128,0.04023,0.04896,"ATP2A1"
"GO:0010661","positive regulation of muscle cell apoptotic process",26,1,0.05,129,0.04023,0.04896,"CXCR2"
