"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,7,0.09,1,5.8e-13,3.8e-12,"ACTN3,MYBPC2,MYH4,MYL1,TNNC2,TNNI2,TNNT3"
"GO:0003009","skeletal muscle contraction",41,6,0.1,3,1.4e-05,5.4e-10,"ACTN3,ATP2A1,CASQ1,TNNC2,TNNI2,TNNT3"
"GO:0006937","regulation of muscle contraction",147,6,0.35,11,0.00148,1.3e-06,"ACTN3,ATP2A1,CASQ1,TNNC2,TNNI2,TNNT3"
"GO:0014819","regulation of skeletal muscle contraction",13,3,0.03,12,1.7e-06,3.6e-06,"ACTN3,ATP2A1,CASQ1"
"GO:0030239","myofibril assembly",64,4,0.15,14,0.03508,1.6e-05,"CASQ1,MYBPC2,MYOZ1,TNNT3"
"GO:0006942","regulation of striated muscle contraction",83,4,0.2,16,0.11219,4.5e-05,"ACTN3,ATP2A1,CASQ1,TNNT3"
"GO:0010927","cellular component assembly involved in morphogenesis",100,4,0.24,17,0.09247,9.4e-05,"CASQ1,MYBPC2,MYOZ1,TNNT3"
"GO:0045214","sarcomere organization",43,3,0.1,19,7e-05,0.00015,"CASQ1,MYBPC2,TNNT3"
"GO:0014894","response to denervation involved in regulation of muscle adaptation",10,2,0.02,22,0.00015,0.00025,"ACTN3,CASQ1"
"GO:0070296","sarcoplasmic reticulum calcium ion transport",32,2,0.08,33,0.00162,0.00265,"CACNG1,CASQ1"
"GO:0060048","cardiac muscle contraction",125,3,0.3,35,0.00161,0.00331,"MYL1,TNNI2,TNNT3"
"GO:1903779","regulation of cardiac conduction",52,2,0.12,36,0.00423,0.00688,"ATP2A1,CASQ1"
"GO:0099132","ATP hydrolysis coupled cation transmembrane transport",58,2,0.14,38,0.00524,0.0085,"ABCB11,ATP2A1"
"GO:0019722","calcium-mediated signaling",199,3,0.48,40,0.00599,0.01192,"ACTN3,CASQ1,CXCR2"
