"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,7,0.31,1,1e-09,2.1e-08,"ACTN3,MYBPC2,MYH4,MYL1,TNNC2,TNNI2,TNNT3"
"GO:0003009","skeletal muscle contraction",41,6,0.33,3,0.00035,8e-07,"ACTN3,ATP2A1,CASQ1,TNNC2,TNNI2,TNNT3"
"GO:0006937","regulation of muscle contraction",147,8,1.17,9,0.00054,2.3e-05,"ACTN3,ATP2A1,CASQ1,FLNA,NMUR2,TNNC2,TNNI2,TNNT3"
"GO:0014819","regulation of skeletal muscle contraction",13,3,0.1,13,3.6e-05,0.00013,"ACTN3,ATP2A1,CASQ1"
"GO:0045214","sarcomere organization",43,4,0.34,14,6.9e-05,0.00037,"CASQ1,KRT19,MYBPC2,TNNT3"
"GO:0006942","regulation of striated muscle contraction",83,5,0.66,16,0.04739,0.00052,"ACTN3,ATP2A1,CASQ1,FLNA,TNNT3"
"GO:0042098","T cell proliferation",167,6,1.33,19,0.00674,0.00218,"CD151,CTPS1,HLA-G,IDO1,IL6ST,TMIGD2"
"GO:0034329","cell junction assembly",233,7,1.85,20,0.00513,0.00261,"ACTN3,CD151,CTNND2,FLNA,FLNC,FSCN1,LAMC1"
"GO:0014894","response to denervation involved in regulation of muscle adaptation",10,2,0.08,21,0.00114,0.0027,"ACTN3,CASQ1"
"GO:0002517","T cell tolerance induction",11,2,0.09,25,0.00139,0.00329,"HLA-G,IDO1"
"GO:0010666","positive regulation of cardiac muscle cell apoptotic process",12,2,0.1,27,0.00167,0.00392,"CXCR2,TIGAR"
"GO:0031581","hemidesmosome assembly",12,2,0.1,28,0.00167,0.00392,"CD151,LAMC1"
"GO:0045820","negative regulation of glycolytic process",12,2,0.1,29,0.00167,0.00392,"ACTN3,TIGAR"
"GO:0006089","lactate metabolic process",13,2,0.1,31,0.00196,0.00461,"ACTN3,TIGAR"
"GO:0002830","positive regulation of type 2 immune response",14,2,0.11,34,0.00228,0.00535,"IDO1,IL33"
"GO:0002643","regulation of tolerance induction",15,2,0.12,38,0.00263,0.00615,"HLA-G,IDO1"
"GO:2000179","positive regulation of neural precursor cell proliferation",48,3,0.38,40,0.00192,0.00653,"CTSZ,FLNA,VEGFC"
"GO:2000378","negative regulation of reactive oxygen species metabolic process",50,3,0.4,42,0.00216,0.00732,"BCR,TFAP2A,TIGAR"
"GO:0006968","cellular defense response",50,3,0.4,43,0.00216,0.00732,"CXCR2,HLA-G,NCR1"
"GO:0048016","inositol phosphate-mediated signaling",51,3,0.41,44,0.00229,0.00773,"ACTN3,INPP5A,NMUR2"
"GO:1903779","regulation of cardiac conduction",52,3,0.41,48,0.00242,0.00816,"ATP2A1,CASQ1,FLNA"
"GO:0034587","piRNA metabolic process",18,2,0.14,51,0.00379,0.00882,"TDRD12,TDRD9"
"GO:0043046","DNA methylation involved in gamete generation",18,2,0.14,52,0.00379,0.00882,"TDRD12,TDRD9"
"GO:0010676","positive regulation of cellular carbohydrate metabolic process",56,3,0.44,54,0.00299,0.01,"ACTN3,PMAIP1,TIGAR"
"GO:0099132","ATP hydrolysis coupled cation transmembrane transport",58,3,0.46,57,0.0033,0.011,"ABCB11,ATP13A2,ATP2A1"
"GO:0050727","regulation of inflammatory response",321,7,2.55,63,0.00132,0.01427,"BCR,BIRC2,C5orf30,ENPP3,IDO1,IL33,IL6ST"
"GO:0050777","negative regulation of immune response",122,4,0.97,64,0.00361,0.01627,"BCR,ENPP3,HLA-G,IL33"
"GO:0060048","cardiac muscle contraction",125,4,0.99,66,0.00394,0.01764,"FLNA,MYL1,TNNI2,TNNT3"
"GO:0070664","negative regulation of leukocyte proliferation",72,3,0.57,70,0.00606,0.01963,"ENPP3,HLA-G,IDO1"
"GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",28,2,0.22,72,0.00905,0.02069,"HSPA1A,PMAIP1"
"GO:0006929","substrate-dependent cell migration",28,2,0.22,73,0.00905,0.02069,"CD2AP,VEGFC"
"GO:0006928","movement of cell or subcellular component",1872,23,14.87,75,0.03659,0.02231,"ACTN3,BCR,C5orf30,CD151,CD2AP,CXCR2,DEFB4A,ENAH,FLNA,FSCN1,GIPC1,ID1,IL33,LAMC1,MYBPC2,MYH4,MYL1,ROPN1B,SMURF2,TNNC2,TNNI2,TNNT3,VEGFC"
"GO:0043114","regulation of vascular permeability",30,2,0.24,76,0.01035,0.02356,"BCR,CXCR2"
"GO:0090505","epiboly involved in wound healing",30,2,0.24,77,0.01035,0.02356,"CD151,FLNA"
"GO:0044319","wound healing, spreading of cells",30,2,0.24,78,0.01035,0.02356,"CD151,FLNA"
"GO:0009199","ribonucleoside triphosphate metabolic process",278,6,2.21,80,0.04508,0.02369,"ACTN3,CTPS1,ENPP3,HSPA1A,MYH4,TIGAR"
"GO:0044706","multi-multicellular organism process",207,5,1.64,82,0.00428,0.02482,"CRHBP,IDO1,IGFBP7,NRK,SMURF2"
"GO:0006007","glucose catabolic process",31,2,0.25,84,0.01102,0.02506,"ACTN3,TIGAR"
"GO:0032735","positive regulation of interleukin-12 production",31,2,0.25,85,0.01102,0.02506,"HLA-G,IDO1"
"GO:0090504","epiboly",31,2,0.25,86,0.01102,0.02506,"CD151,FLNA"
"GO:0042129","regulation of T cell proliferation",142,4,1.13,89,0.00617,0.02668,"HLA-G,IDO1,IL6ST,TMIGD2"
"GO:0035115","embryonic forelimb morphogenesis",33,2,0.26,91,0.01244,0.02816,"CRABP2,TFAP2A"
"GO:0001776","leukocyte homeostasis",83,3,0.66,94,0.00897,0.02841,"CXCR2,PMAIP1,TNFRSF17"
"GO:0070423","nucleotide-binding oligomerization domain containing signaling pathway",35,2,0.28,95,0.01392,0.03141,"BIRC2,HSPA1A"
"GO:0002695","negative regulation of leukocyte activation",150,4,1.19,97,0.00747,0.03174,"BCR,ENPP3,HLA-G,IDO1"
"GO:0035872","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",36,2,0.29,99,0.01469,0.03309,"BIRC2,HSPA1A"
"GO:1903318","negative regulation of protein maturation",37,2,0.29,100,0.01548,0.0348,"BIRC2,CTSZ"
"GO:0002534","cytokine production involved in inflammatory response",37,2,0.29,101,0.01548,0.0348,"C5orf30,IDO1"
"GO:0010955","negative regulation of protein processing",37,2,0.29,102,0.01548,0.0348,"BIRC2,CTSZ"
"GO:0001819","positive regulation of cytokine production",387,7,3.07,104,0.00377,0.03496,"BIRC2,HLA-G,HSPA1A,IDO1,IL33,IL6ST,TMIGD2"
"GO:0006734","NADH metabolic process",38,2,0.3,106,0.01628,0.03655,"ACTN3,TIGAR"
"GO:0010907","positive regulation of glucose metabolic process",38,2,0.3,107,0.01628,0.03655,"ACTN3,PMAIP1"
"GO:0002686","negative regulation of leukocyte migration",39,2,0.31,108,0.01711,0.03832,"BCR,IL33"
"GO:1903146","regulation of autophagy of mitochondrion",39,2,0.31,109,0.01711,0.03832,"ATP13A2,TIGAR"
"GO:0031532","actin cytoskeleton reorganization",94,3,0.75,110,0.01256,0.03895,"CD2AP,FLNA,NRK"
"GO:0035136","forelimb morphogenesis",40,2,0.32,113,0.01795,0.04014,"CRABP2,TFAP2A"
"GO:1901028","regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",40,2,0.32,114,0.01795,0.04014,"HSPA1A,PMAIP1"
"GO:0002685","regulation of leukocyte migration",166,4,1.32,119,0.01058,0.04345,"BCR,CXCR2,IL33,VEGFC"
"GO:0007140","male meiotic nuclear division",43,2,0.34,121,0.02057,0.04576,"TDRD12,TDRD9"
"GO:0046717","acid secretion",101,3,0.8,122,0.01522,0.04654,"ABCB11,GIPC1,NMUR2"
"GO:0010906","regulation of glucose metabolic process",103,3,0.82,127,0.01604,0.04884,"ACTN3,PMAIP1,TIGAR"
"GO:0010821","regulation of mitochondrion organization",173,4,1.37,130,0.01216,0.04924,"ATP13A2,HSPA1A,PMAIP1,TIGAR"
"GO:0071248","cellular response to metal ion",173,4,1.37,131,0.01216,0.04924,"ATP13A2,CRHBP,TFAP2A,TIGAR"
"GO:2000107","negative regulation of leukocyte apoptotic process",45,2,0.36,132,0.02241,0.04966,"CXCR2,IDO1"
