"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0045669","positive regulation of osteoblast differentiation",57,4,0.28,2,6e-05,0.00017,"DDR2,HGF,SMAD1,TMEM119"
"GO:0010469","regulation of signaling receptor activity",469,8,2.27,8,0.00034,0.00195,"HGF,IFNA5,IL11,METRNL,PLAU,SHISA7,UCN2,WNT5A"
"GO:0010715","regulation of extracellular matrix disassembly",15,2,0.07,10,0.0014,0.00234,"DDR2,DPP4"
"GO:0071345","cellular response to cytokine stimulus",967,12,4.69,9,0.01678,0.00234,"ACKR3,HGF,HLA-DRA,IFNA5,IL11,IL17RE,MME,NFIL3,NRP2,STAT4,STXBP2,WNT5A"
"GO:0050728","negative regulation of inflammatory response",116,4,0.56,12,0.00093,0.00244,"HGF,MEFV,METRNL,MFHAS1"
"GO:0007350","blastoderm segmentation",16,2,0.08,13,0.0016,0.00267,"NRP2,WNT5A"
"GO:0048485","sympathetic nervous system development",17,2,0.08,17,0.0018,0.00301,"NRP2,TFAP2B"
"GO:0016082","synaptic vesicle priming",17,2,0.08,18,0.0018,0.00301,"ERC2,SV2A"
"GO:0010842","retina layer formation",19,2,0.09,19,0.00226,0.00376,"RDH13,TFAP2B"
"GO:0055008","cardiac muscle tissue morphogenesis",67,3,0.32,20,0.00201,0.00421,"MYH6,TNNI3,WNT5A"
"GO:0030509","BMP signaling pathway",136,4,0.66,21,0.00167,0.00431,"MYH6,SMAD1,TFAP2B,WNT5A"
"GO:0055075","potassium ion homeostasis",23,2,0.11,24,0.00331,0.0055,"KCNH2,TFAP2B"
"GO:0032602","chemokine production",77,3,0.37,28,0.00299,0.00621,"MEFV,S100A8,WNT5A"
"GO:0032958","inositol phosphate biosynthetic process",25,2,0.12,29,0.0039,0.00648,"IP6K3,IPMK"
"GO:0070528","protein kinase C signaling",25,2,0.12,30,0.0039,0.00648,"FIBIN,WNT5A"
"GO:0021884","forebrain neuron development",25,2,0.12,31,0.0039,0.00648,"NRP2,WNT5A"
"GO:1901216","positive regulation of neuron death",80,3,0.39,32,0.00333,0.0069,"DDIT4,TFAP2B,WNT5A"
"GO:0033137","negative regulation of peptidyl-serine phosphorylation",26,2,0.13,34,0.00422,0.007,"DDIT4,HGF"
"GO:0003209","cardiac atrium morphogenesis",28,2,0.14,37,0.00488,0.00809,"MYH6,WNT5A"
"GO:1900181","negative regulation of protein localization to nucleus",28,2,0.14,38,0.00488,0.00809,"DCLK3,MFHAS1"
