"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0055075","potassium ion homeostasis",23,2,0.05,1,0.00059,0.0012,"ATP4A,KCNH2"
"GO:0015721","bile acid and bile salt transport",24,2,0.05,2,0.00065,0.0013,"ABCB11,SLCO1B1"
"GO:0140115","export across plasma membrane",28,2,0.06,3,0.00088,0.0017,"ATP4A,KCNH2"
"GO:0015718","monocarboxylic acid transport",148,3,0.33,4,0.16648,0.0043,"ABCB11,NMUR2,SLCO1B1"
"GO:0099132","ATP hydrolysis coupled cation transmembrane transport",58,2,0.13,5,0.00375,0.0073,"ABCB11,ATP4A"
"GO:0046717","acid secretion",101,2,0.22,6,0.01099,0.0211,"ABCB11,NMUR2"
"GO:0033004","negative regulation of mast cell activation",10,1,0.02,7,0.01566,0.022,"ENPP3"
"GO:0030007","cellular potassium ion homeostasis",11,1,0.02,8,0.01721,0.0242,"ATP4A"
"GO:0046479","glycosphingolipid catabolic process",11,1,0.02,9,0.01721,0.0242,"NEU1"
"GO:0035435","phosphate ion transmembrane transport",12,1,0.03,10,0.01877,0.0263,"ADAMTS8"
"GO:0009143","nucleoside triphosphate catabolic process",12,1,0.03,11,0.01877,0.0263,"ENPP3"
"GO:0010248","establishment or maintenance of transmembrane electrochemical gradient",12,1,0.03,12,0.01877,0.0263,"ATP4A"
"GO:0009313","oligosaccharide catabolic process",12,1,0.03,13,0.01877,0.0263,"NEU1"
"GO:0036376","sodium ion export across plasma membrane",12,1,0.03,14,0.01877,0.0263,"ATP4A"
"GO:0019377","glycolipid catabolic process",12,1,0.03,15,0.01877,0.0263,"NEU1"
"GO:0032429","regulation of phospholipase A2 activity",12,1,0.03,16,0.01877,0.0263,"NMUR2"
"GO:0007342","fusion of sperm to egg plasma membrane involved in single fertilization",12,1,0.03,17,0.01877,0.0263,"ROPN1B"
"GO:0070863","positive regulation of protein exit from endoplasmic reticulum",13,1,0.03,20,0.02031,0.0285,"SLC35D3"
"GO:0007216","G protein-coupled glutamate receptor signaling pathway",14,1,0.03,21,0.02186,0.0306,"GRM3"
"GO:0046514","ceramide catabolic process",14,1,0.03,22,0.02186,0.0306,"NEU1"
"GO:0043252","sodium-independent organic anion transport",14,1,0.03,23,0.02186,0.0306,"SLCO1B1"
"GO:0006883","cellular sodium ion homeostasis",14,1,0.03,24,0.02186,0.0306,"ATP4A"
"GO:0098915","membrane repolarization during ventricular cardiac muscle cell action potential",15,1,0.03,26,0.0234,0.0328,"KCNH2"
"GO:0001573","ganglioside metabolic process",15,1,0.03,27,0.0234,0.0328,"NEU1"
"GO:0045026","plasma membrane fusion",15,1,0.03,28,0.0234,0.0328,"ROPN1B"
"GO:0071435","potassium ion export",15,1,0.03,29,0.0234,0.0328,"KCNH2"
"GO:0097623","potassium ion export across plasma membrane",15,1,0.03,30,0.0234,0.0328,"KCNH2"
"GO:0035725","sodium ion transmembrane transport",129,2,0.29,31,0.01748,0.0332,"ABCB11,ATP4A"
"GO:0007625","grooming behavior",16,1,0.04,34,0.02495,0.0349,"NMUR2"
"GO:0007194","negative regulation of adenylate cyclase activity",17,1,0.04,35,0.02648,0.0371,"GRM3"
"GO:0031280","negative regulation of cyclase activity",19,1,0.04,36,0.02956,0.0414,"GRM3"
"GO:0046337","phosphatidylethanolamine metabolic process",19,1,0.04,37,0.02956,0.0414,"HRASLS5"
"GO:0002021","response to dietary excess",20,1,0.04,38,0.03109,0.0435,"NMUR2"
"GO:0051350","negative regulation of lyase activity",21,1,0.05,40,0.03262,0.0456,"GRM3"
"GO:0086013","membrane repolarization during cardiac muscle cell action potential",22,1,0.05,41,0.03414,0.0477,"KCNH2"
"GO:0048240","sperm capacitation",22,1,0.05,42,0.03414,0.0477,"ROPN1B"
"GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization",22,1,0.05,43,0.03414,0.0477,"KCNH2"
"GO:0042104","positive regulation of activated T cell proliferation",23,1,0.05,44,0.03567,0.0498,"TMIGD2"
"GO:1901380","negative regulation of potassium ion transmembrane transport",23,1,0.05,45,0.03567,0.0498,"KCNH2"
"GO:0030149","sphingolipid catabolic process",23,1,0.05,46,0.03567,0.0498,"NEU1"
