"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0051238","sequestering of metal ion",13,2,0.02,1,0.00011,0.00024,"FTH1,S100A8"
"GO:0018198","peptidyl-cysteine modification",45,2,0.08,2,0.00137,0.00299,"S100A8,ZDHHC11"
"GO:0046916","cellular transition metal ion homeostasis",103,2,0.19,3,0.00699,0.01488,"FTH1,S100A8"
"GO:2001198","regulation of dendritic cell differentiation",10,1,0.02,4,0.0122,0.01796,"HLA-G"
"GO:0002523","leukocyte migration involved in inflammatory response",10,1,0.02,5,0.0122,0.01796,"S100A8"
"GO:0015671","oxygen transport",11,1,0.02,6,0.01341,0.01974,"HBQ1"
"GO:0044650","adhesion of symbiont to host cell",11,1,0.02,7,0.01341,0.01974,"LRRC15"
"GO:0032096","negative regulation of response to food",11,1,0.02,8,0.01341,0.01974,"NPFF"
"GO:0032099","negative regulation of appetite",11,1,0.02,9,0.01341,0.01974,"NPFF"
"GO:0002517","T cell tolerance induction",11,1,0.02,10,0.01341,0.01974,"HLA-G"
"GO:0002475","antigen processing and presentation via MHC class Ib",12,1,0.02,11,0.01462,0.02152,"HLA-G"
"GO:0045591","positive regulation of regulatory T cell differentiation",12,1,0.02,12,0.01462,0.02152,"HLA-G"
"GO:0070486","leukocyte aggregation",12,1,0.02,13,0.01462,0.02152,"S100A8"
"GO:0061684","chaperone-mediated autophagy",12,1,0.02,14,0.01462,0.02152,"EEF1A2"
"GO:0017014","protein nitrosylation",13,1,0.02,16,0.01583,0.02329,"S100A8"
"GO:0044406","adhesion of symbiont to host",13,1,0.02,17,0.01583,0.02329,"LRRC15"
"GO:0032105","negative regulation of response to extracellular stimulus",13,1,0.02,18,0.01583,0.02329,"NPFF"
"GO:0032108","negative regulation of response to nutrient levels",13,1,0.02,19,0.01583,0.02329,"NPFF"
"GO:0042487","regulation of odontogenesis of dentin-containing tooth",13,1,0.02,20,0.01583,0.02329,"WNT10A"
"GO:0018119","peptidyl-cysteine S-nitrosylation",13,1,0.02,21,0.01583,0.02329,"S100A8"
"GO:0002526","acute inflammatory response",133,2,0.24,22,0.01142,0.02404,"NPFF,S100A8"
"GO:1900029","positive regulation of ruffle assembly",14,1,0.03,23,0.01704,0.02506,"FAM98A"
"GO:0097286","iron ion import",14,1,0.03,24,0.01704,0.02506,"FTH1"
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",14,1,0.03,25,0.01704,0.02506,"HLA-G"
"GO:0015669","gas transport",15,1,0.03,26,0.01825,0.02683,"HBQ1"
"GO:0002643","regulation of tolerance induction",15,1,0.03,27,0.01825,0.02683,"HLA-G"
"GO:0032095","regulation of response to food",16,1,0.03,28,0.01945,0.02859,"NPFF"
"GO:0032098","regulation of appetite",16,1,0.03,29,0.01945,0.02859,"NPFF"
"GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors",16,1,0.03,30,0.01945,0.02859,"ZSWIM2"
"GO:0060547","negative regulation of necrotic cell death",16,1,0.03,31,0.01945,0.02859,"FTH1"
"GO:0019883","antigen processing and presentation of endogenous antigen",17,1,0.03,32,0.02066,0.03035,"HLA-G"
"GO:0090171","chondrocyte morphogenesis",17,1,0.03,33,0.02066,0.03035,"MATN2"
"GO:0003429","growth plate cartilage chondrocyte morphogenesis",17,1,0.03,34,0.02066,0.03035,"MATN2"
"GO:0003414","chondrocyte morphogenesis involved in endochondral bone morphogenesis",17,1,0.03,35,0.02066,0.03035,"MATN2"
"GO:0002438","acute inflammatory response to antigenic stimulus",18,1,0.03,36,0.02186,0.03211,"NPFF"
"GO:0003422","growth plate cartilage morphogenesis",18,1,0.03,37,0.02186,0.03211,"MATN2"
"GO:0002544","chronic inflammatory response",18,1,0.03,38,0.02186,0.03211,"S100A8"
"GO:0043586","tongue development",19,1,0.03,39,0.02306,0.03386,"WNT10A"
"GO:1901685","glutathione derivative metabolic process",19,1,0.03,40,0.02306,0.03386,"GSTT2B"
"GO:1901687","glutathione derivative biosynthetic process",19,1,0.03,41,0.02306,0.03386,"GSTT2B"
"GO:2001235","positive regulation of apoptotic signaling pathway",164,2,0.3,42,0.01699,0.03536,"S100A8,ZSWIM2"
"GO:0044872","lipoprotein localization",20,1,0.04,43,0.02426,0.03561,"CTAGE9"
"GO:0042953","lipoprotein transport",20,1,0.04,44,0.02426,0.03561,"CTAGE9"
"GO:0045822","negative regulation of heart contraction",21,1,0.04,45,0.02546,0.03736,"NPFF"
"GO:0018230","peptidyl-L-cysteine S-palmitoylation",22,1,0.04,46,0.02665,0.03911,"ZDHHC11"
"GO:0018231","peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine",22,1,0.04,47,0.02665,0.03911,"ZDHHC11"
"GO:1903077","negative regulation of protein localization to plasma membrane",22,1,0.04,48,0.02665,0.03911,"LRRC15"
"GO:0001916","positive regulation of T cell mediated cytotoxicity",22,1,0.04,49,0.02665,0.03911,"HLA-G"
"GO:0032104","regulation of response to extracellular stimulus",22,1,0.04,50,0.02665,0.03911,"NPFF"
"GO:0032107","regulation of response to nutrient levels",22,1,0.04,51,0.02665,0.03911,"NPFF"
"GO:0003433","chondrocyte development involved in endochondral bone morphogenesis",22,1,0.04,52,0.02665,0.03911,"MATN2"
"GO:0031069","hair follicle morphogenesis",22,1,0.04,53,0.02665,0.03911,"WNT10A"
"GO:0042481","regulation of odontogenesis",23,1,0.04,54,0.02785,0.04085,"WNT10A"
"GO:0003418","growth plate cartilage chondrocyte differentiation",23,1,0.04,55,0.02785,0.04085,"MATN2"
"GO:0002507","tolerance induction",23,1,0.04,56,0.02785,0.04085,"HLA-G"
"GO:1904376","negative regulation of protein localization to cell periphery",24,1,0.04,57,0.02904,0.04259,"LRRC15"
"GO:0050832","defense response to fungus",25,1,0.05,58,0.03024,0.04432,"S100A8"
"GO:0035459","cargo loading into vesicle",25,1,0.05,59,0.03024,0.04432,"CTAGE9"
"GO:0048730","epidermis morphogenesis",25,1,0.05,60,0.03024,0.04432,"WNT10A"
"GO:0032958","inositol phosphate biosynthetic process",25,1,0.05,61,0.03024,0.04432,"IP6K3"
"GO:0002479","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",26,1,0.05,62,0.03143,0.04606,"HLA-G"
"GO:0010939","regulation of necrotic cell death",26,1,0.05,63,0.03143,0.04606,"FTH1"
"GO:0045589","regulation of regulatory T cell differentiation",26,1,0.05,64,0.03143,0.04606,"HLA-G"
"GO:0060536","cartilage morphogenesis",27,1,0.05,65,0.03262,0.04779,"MATN2"
"GO:0014072","response to isoquinoline alkaloid",28,1,0.05,66,0.03381,0.04951,"NPFF"
"GO:0043278","response to morphine",28,1,0.05,67,0.03381,0.04951,"NPFF"
"GO:1900027","regulation of ruffle assembly",28,1,0.05,68,0.03381,0.04951,"FAM98A"
"GO:0045066","regulatory T cell differentiation",28,1,0.05,69,0.03381,0.04951,"HLA-G"
"GO:0048147","negative regulation of fibroblast proliferation",28,1,0.05,70,0.03381,0.04951,"FTH1"
"GO:0003413","chondrocyte differentiation involved in endochondral bone morphogenesis",28,1,0.05,71,0.03381,0.04951,"MATN2"
"GO:0042744","hydrogen peroxide catabolic process",28,1,0.05,72,0.03381,0.04951,"HBQ1"
"GO:0001569","branching involved in blood vessel morphogenesis",28,1,0.05,73,0.03381,0.04951,"FKBPL"
