"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,6,0.31,1,4.1e-08,6.2e-07,"ACTN3,MYH4,MYL1,TNNC2,TNNI2,TNNT3"
"GO:0003009","skeletal muscle contraction",41,5,0.33,3,0.00035,1.8e-05,"ACTN3,ATP2A1,TNNC2,TNNI2,TNNT3"
"GO:0015671","oxygen transport",11,2,0.09,9,0.00136,0.0033,"CYGB,HBQ1"
"GO:0031581","hemidesmosome assembly",12,2,0.1,10,0.00163,0.004,"CD151,LAMC1"
"GO:0035821","modification of morphology or physiology of other organism",131,5,1.05,11,0.02007,0.0041,"ANXA2,CFL1,DEFB4A,HIST1H2BK,VAPB"
"GO:0070661","leukocyte proliferation",255,7,2.04,12,0.00599,0.0045,"AHR,CD151,ENPP3,HLA-G,IGF2,IL6ST,TMIGD2"
"GO:0042487","regulation of odontogenesis of dentin-containing tooth",13,2,0.1,13,0.00192,0.0047,"BMP2,WNT10A"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.1,14,0.00192,0.0047,"ACTN3,ATP2A1"
"GO:0048711","positive regulation of astrocyte differentiation",13,2,0.1,15,0.00192,0.0047,"BMP2,IL6ST"
"GO:0070663","regulation of leukocyte proliferation",199,6,1.59,17,0.01151,0.0053,"AHR,ENPP3,HLA-G,IGF2,IL6ST,TMIGD2"
"GO:1900029","positive regulation of ruffle assembly",14,2,0.11,18,0.00223,0.0054,"FAM98A,PLEKHM1"
"GO:0044794","positive regulation by host of viral process",15,2,0.12,20,0.00257,0.0062,"ANXA2,CFL1"
"GO:0032963","collagen metabolic process",93,4,0.74,23,0.00129,0.0066,"CYGB,ENG,ID1,P3H2"
"GO:0006937","regulation of muscle contraction",147,5,1.18,22,0.02913,0.0066,"ACTN3,ATP2A1,TNNC2,TNNI2,TNNT3"
"GO:0090257","regulation of muscle system process",212,6,1.7,24,0.01731,0.0072,"ACTN3,ATP2A1,IL6ST,TNNC2,TNNI2,TNNT3"
"GO:0006968","cellular defense response",50,3,0.4,25,0.00209,0.0075,"CXCR2,HLA-G,NCR1"
"GO:0045446","endothelial cell differentiation",97,4,0.78,26,0.0015,0.0077,"ANXA2,ATOH8,ENG,ID1"
"GO:0002438","acute inflammatory response to antigenic stimulus",18,2,0.14,27,0.0037,0.0089,"CXCR2,NPFF"
"GO:0034587","piRNA metabolic process",18,2,0.14,28,0.0037,0.0089,"TDRD12,TDRD9"
"GO:0043046","DNA methylation involved in gamete generation",18,2,0.14,29,0.0037,0.0089,"TDRD12,TDRD9"
"GO:0060047","heart contraction",226,6,1.81,30,0.00103,0.0097,"ATP2A1,MYL1,NPFF,TNNI2,TNNT3,YWHAE"
"GO:0042098","T cell proliferation",167,5,1.34,31,0.03502,0.0111,"CD151,HLA-G,IGF2,IL6ST,TMIGD2"
"GO:0002009","morphogenesis of an epithelium",458,9,3.66,33,0.00556,0.0114,"BMP2,CD151,CFL1,CXCR2,ENG,FKBPL,PGF,SMURF2,WNT10A"
"GO:0046651","lymphocyte proliferation",240,6,1.92,35,0.023,0.0128,"AHR,CD151,HLA-G,IGF2,IL6ST,TMIGD2"
"GO:0032943","mononuclear cell proliferation",242,6,1.94,36,0.02369,0.0133,"AHR,CD151,HLA-G,IGF2,IL6ST,TMIGD2"
"GO:0042104","positive regulation of activated T cell proliferation",23,2,0.18,38,0.00602,0.0144,"IGF2,TMIGD2"
"GO:0006874","cellular calcium ion homeostasis",407,8,3.26,41,0.00108,0.0167,"ANXA2,ATP2A1,CXCR2,NPFF,PVALB,SLC30A1,VAPB,YWHAE"
"GO:0007167","enzyme linked receptor protein signaling pathway",934,14,7.47,43,0.00542,0.0175,"ACTG1,ATOH8,ATP6V1G2,BMP2,ENG,FLRT2,HSPA1A,ID1,IGF2,IL6ST,PGF,PIK3R2,POLR2L,SMURF2"
"GO:0001906","cell killing",124,4,0.99,44,0.00367,0.0176,"DEFB4A,HIST1H2BK,HLA-G,NCR1"
"GO:0044057","regulation of system process",493,9,3.94,45,0.00986,0.0177,"ACTN3,ATP2A1,CRHBP,IL6ST,NPFF,TNNC2,TNNI2,TNNT3,YWHAE"
"GO:0001569","branching involved in blood vessel morphogenesis",28,2,0.22,50,0.00885,0.021,"ENG,FKBPL"
"GO:0010762","regulation of fibroblast migration",28,2,0.22,51,0.00885,0.021,"C5orf30,CYGB"
"GO:0001649","osteoblast differentiation",199,5,1.59,53,0.00345,0.022,"BMP2,ID1,IGF2,IL6ST,RRBP1"
"GO:0072073","kidney epithelium development",134,4,1.07,54,0.00484,0.0227,"BMP2,CXCR2,PGF,SIM1"
"GO:0030509","BMP signaling pathway",136,4,1.09,55,0.0051,0.0238,"BMP2,ENG,ID1,SMURF2"
"GO:0045601","regulation of endothelial cell differentiation",30,2,0.24,56,0.01012,0.0239,"ATOH8,ID1"
"GO:0061036","positive regulation of cartilage development",30,2,0.24,57,0.01012,0.0239,"ANXA2,BMP2"
"GO:0060317","cardiac epithelial to mesenchymal transition",31,2,0.25,59,0.01079,0.0254,"BMP2,ENG"
"GO:0003203","endocardial cushion morphogenesis",32,2,0.26,60,0.01147,0.027,"BMP2,ENG"
"GO:0032965","regulation of collagen biosynthetic process",34,2,0.27,65,0.01289,0.0302,"CYGB,ENG"
