"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,3,0.12,1,6.2e-05,0.00024,"MYH6,TNNI3,TNNT2"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",46,3,0.14,4,1e-04,0.00039,"MYH6,TNNI3,TNNT2"
"GO:0060048","cardiac muscle contraction",125,4,0.39,8,0.00011,6e-04,"KCNH2,MYH6,TNNI3,TNNT2"
"GO:0032780","negative regulation of ATPase activity",16,2,0.05,12,0.00045,0.0011,"TNNI3,TNNT2"
"GO:0048485","sympathetic nervous system development",17,2,0.05,15,0.00051,0.00124,"NRP2,TFAP2B"
"GO:0048739","cardiac muscle fiber development",17,2,0.05,16,0.00051,0.00124,"MYH6,VEGFA"
"GO:0010842","retina layer formation",19,2,0.06,21,0.00064,0.00155,"RDH13,TFAP2B"
"GO:0055075","potassium ion homeostasis",23,2,0.07,26,0.00094,0.00228,"KCNH2,TFAP2B"
"GO:0070528","protein kinase C signaling",25,2,0.08,27,0.00112,0.00269,"FIBIN,VEGFA"
"GO:0010595","positive regulation of endothelial cell migration",94,3,0.29,28,0.00085,0.00308,"FOXP1,NRP2,VEGFA"
"GO:0008016","regulation of heart contraction",195,4,0.6,29,0.00058,0.00309,"KCNH2,MYH6,TNNI3,TNNT2"
"GO:0042462","eye photoreceptor cell development",31,2,0.1,33,0.00172,0.00413,"RDH13,VEGFA"
"GO:0030224","monocyte differentiation",33,2,0.1,35,0.00194,0.00467,"FOXP1,VEGFA"
"GO:0038084","vascular endothelial growth factor signaling pathway",34,2,0.11,39,0.00206,0.00495,"NRP2,VEGFA"
"GO:0048846","axon extension involved in axon guidance",36,2,0.11,41,0.00231,0.00554,"NRP2,VEGFA"
"GO:0003009","skeletal muscle contraction",41,2,0.13,48,0.00299,0.00714,"TNNI3,TNNT2"
"GO:0045214","sarcomere organization",43,2,0.13,52,0.00328,0.00783,"MYH6,TNNT2"
"GO:0008217","regulation of blood pressure",154,3,0.48,64,0.00348,0.01204,"MME,MYH6,TNNI3"
"GO:0060420","regulation of heart growth",59,2,0.18,68,0.0061,0.01437,"CTDP1,MYH6"
"GO:0048844","artery morphogenesis",59,2,0.18,69,0.0061,0.01437,"TFAP2B,VEGFA"
"GO:0009888","tissue development",1719,11,5.32,71,0.02233,0.01473,"CTDP1,CTSK,FAM83H,FOXP1,MYH6,NRP2,TFAP2B,TMEM119,TNNI3,TNNT2,VEGFA"
"GO:0003151","outflow tract morphogenesis",72,2,0.22,79,0.00897,0.02093,"NRP2,VEGFA"
"GO:0001570","vasculogenesis",73,2,0.23,80,0.00921,0.02148,"TNNI3,VEGFA"
"GO:0042116","macrophage activation",75,2,0.23,82,0.0097,0.02259,"FOXP1,SLC7A2"
"GO:0003300","cardiac muscle hypertrophy",76,2,0.24,83,0.00995,0.02315,"CTDP1,MYH6"
"GO:0003073","regulation of systemic arterial blood pressure",77,2,0.24,84,0.0102,0.02373,"MME,TNNI3"
"GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",79,2,0.24,86,0.01072,0.02488,"TFAP2B,VEGFA"
"GO:0090257","regulation of muscle system process",212,3,0.66,93,0.00844,0.02787,"CTDP1,TNNI3,TNNT2"
"GO:2000117","negative regulation of cysteine-type endopeptidase activity",85,2,0.26,94,0.01233,0.0285,"TFAP2B,VEGFA"
"GO:0002286","T cell activation involved in immune response",85,2,0.26,95,0.01233,0.0285,"FOXP1,IFNA5"
"GO:0048010","vascular endothelial growth factor receptor signaling pathway",86,2,0.27,96,0.0126,0.02912,"NRP2,VEGFA"
"GO:0150065","regulation of deacetylase activity",10,1,0.03,98,0.01969,0.03053,"VEGFA"
"GO:0072044","collecting duct development",10,1,0.03,99,0.01969,0.03053,"TFAP2B"
"GO:0021561","facial nerve development",10,1,0.03,100,0.01969,0.03053,"NRP2"
"GO:0021610","facial nerve morphogenesis",10,1,0.03,101,0.01969,0.03053,"NRP2"
"GO:0055062","phosphate ion homeostasis",10,1,0.03,102,0.01969,0.03053,"TFAP2B"
"GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle",10,1,0.03,103,0.01969,0.03053,"ANAPC11"
"GO:0043129","surfactant homeostasis",10,1,0.03,104,0.01969,0.03053,"VEGFA"
"GO:0072505","divalent inorganic anion homeostasis",10,1,0.03,105,0.01969,0.03053,"TFAP2B"
"GO:0072506","trivalent inorganic anion homeostasis",10,1,0.03,106,0.01969,0.03053,"TFAP2B"
"GO:0042118","endothelial cell activation",10,1,0.03,107,0.01969,0.03053,"FOXP1"
"GO:0033141","positive regulation of peptidyl-serine phosphorylation of STAT protein",10,1,0.03,108,0.01969,0.03053,"IFNA5"
"GO:0002002","regulation of angiotensin levels in blood",10,1,0.03,109,0.01969,0.03053,"MME"
"GO:0072080","nephron tubule development",89,2,0.28,110,0.01345,0.03102,"TFAP2B,VEGFA"
"GO:0001938","positive regulation of endothelial cell proliferation",89,2,0.28,111,0.01345,0.03102,"NRP2,VEGFA"
"GO:0002027","regulation of heart rate",89,2,0.28,112,0.01345,0.03102,"KCNH2,MYH6"
"GO:0033138","positive regulation of peptidyl-serine phosphorylation",90,2,0.28,114,0.01374,0.03166,"IFNA5,VEGFA"
