"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0051238","sequestering of metal ion",13,2,0.05,1,0.00026,0.00095,"FTH1,S100A8"
"GO:0002544","chronic inflammatory response",18,2,0.06,2,0.00051,0.00184,"S100A8,TNF"
"GO:0014002","astrocyte development",32,2,0.11,3,0.00162,0.00578,"S100A8,TNF"
"GO:0002437","inflammatory response to antigenic stimulus",38,2,0.14,5,0.00228,0.00808,"NPFF,TNF"
"GO:0050777","negative regulation of immune response",122,3,0.43,8,0.00151,0.00941,"HLA-G,TNF,TRIM27"
"GO:0018198","peptidyl-cysteine modification",45,2,0.16,9,0.00319,0.0112,"S100A8,ZDHHC11"
"GO:0002526","acute inflammatory response",133,3,0.47,10,0.00193,0.01188,"NPFF,S100A8,TNF"
"GO:0070265","necrotic cell death",49,2,0.17,11,0.00377,0.01319,"FTH1,TNF"
"GO:0070830","bicellular tight junction assembly",51,2,0.18,12,0.00407,0.01423,"PATJ,TNF"
"GO:0060688","regulation of morphogenesis of a branching structure",51,2,0.18,13,0.00407,0.01423,"FKBPL,TNF"
"GO:0002819","regulation of adaptive immune response",145,3,0.52,15,0.00246,0.01497,"HLA-G,TNF,TRIM27"
"GO:0050710","negative regulation of cytokine secretion",56,2,0.2,18,0.00489,0.017,"TNF,TRIM27"
"GO:0006826","iron ion transport",58,2,0.21,19,0.00524,0.01816,"ATP6V1G2,FTH1"
"GO:0044272","sulfur compound biosynthetic process",178,3,0.63,25,0.00439,0.02561,"ELOVL7,GSTT2B,MAT1A"
"GO:1903901","negative regulation of viral life cycle",72,2,0.26,26,0.00797,0.0272,"TNF,TRIM27"
"GO:0002703","regulation of leukocyte mediated immunity",183,3,0.65,27,0.00474,0.02749,"HLA-G,STXBP2,TNF"
"GO:0032602","chemokine production",77,2,0.27,29,0.00907,0.03079,"S100A8,TNF"
"GO:0002699","positive regulation of immune effector process",192,3,0.68,30,0.00542,0.03108,"HLA-G,STXBP2,TNF"
