"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0099132","ATP hydrolysis coupled cation transmembrane transport",58,2,0.11,1,0.0021,0.0049,"ABCB11,ATP4A"
"GO:0046717","acid secretion",101,2,0.18,2,0.0061,0.0143,"ABCB11,NMUR2"
"GO:0030007","cellular potassium ion homeostasis",11,1,0.02,3,0.0128,0.0197,"ATP4A"
"GO:0031223","auditory behavior",11,1,0.02,4,0.0128,0.0197,"CNTNAP2"
"GO:0046479","glycosphingolipid catabolic process",11,1,0.02,5,0.0128,0.0197,"NEU1"
"GO:0045161","neuronal ion channel clustering",12,1,0.02,6,0.0139,0.0215,"CNTNAP2"
"GO:0032429","regulation of phospholipase A2 activity",12,1,0.02,7,0.0139,0.0215,"NMUR2"
"GO:0019377","glycolipid catabolic process",12,1,0.02,8,0.0139,0.0215,"NEU1"
"GO:0036376","sodium ion export across plasma membrane",12,1,0.02,9,0.0139,0.0215,"ATP4A"
"GO:0035435","phosphate ion transmembrane transport",12,1,0.02,10,0.0139,0.0215,"ADAMTS8"
"GO:0009313","oligosaccharide catabolic process",12,1,0.02,11,0.0139,0.0215,"NEU1"
"GO:0010248","establishment or maintenance of transmembrane electrochemical gradient",12,1,0.02,12,0.0139,0.0215,"ATP4A"
"GO:0035725","sodium ion transmembrane transport",129,2,0.23,13,0.0098,0.0227,"ABCB11,ATP4A"
"GO:0007638","mechanosensory behavior",13,1,0.02,14,0.0151,0.0233,"CNTNAP2"
"GO:0070863","positive regulation of protein exit from endoplasmic reticulum",13,1,0.02,15,0.0151,0.0233,"SLC35D3"
"GO:0021794","thalamus development",13,1,0.02,16,0.0151,0.0233,"CNTNAP2"
"GO:0046514","ceramide catabolic process",14,1,0.03,17,0.0162,0.0251,"NEU1"
"GO:0006883","cellular sodium ion homeostasis",14,1,0.03,18,0.0162,0.0251,"ATP4A"
"GO:0001573","ganglioside metabolic process",15,1,0.03,19,0.0174,0.0268,"NEU1"
"GO:0007625","grooming behavior",16,1,0.03,20,0.0185,0.0286,"NMUR2"
"GO:0071625","vocalization behavior",16,1,0.03,21,0.0185,0.0286,"CNTNAP2"
"GO:0015718","monocarboxylic acid transport",148,2,0.27,22,0.0127,0.0293,"ABCB11,NMUR2"
"GO:0046337","phosphatidylethanolamine metabolic process",19,1,0.03,23,0.022,0.0339,"HRASLS5"
"GO:0021756","striatum development",19,1,0.03,24,0.022,0.0339,"CNTNAP2"
"GO:0002021","response to dietary excess",20,1,0.04,25,0.0231,0.0356,"NMUR2"
"GO:0010996","response to auditory stimulus",21,1,0.04,26,0.0243,0.0374,"CNTNAP2"
"GO:0055075","potassium ion homeostasis",23,1,0.04,27,0.0265,0.0408,"ATP4A"
"GO:0030149","sphingolipid catabolic process",23,1,0.04,28,0.0265,0.0408,"NEU1"
"GO:0042104","positive regulation of activated T cell proliferation",23,1,0.04,29,0.0265,0.0408,"TMIGD2"
"GO:0021544","subpallium development",24,1,0.04,30,0.0277,0.0426,"CNTNAP2"
"GO:0015721","bile acid and bile salt transport",24,1,0.04,31,0.0277,0.0426,"ABCB11"
"GO:0006817","phosphate ion transport",24,1,0.04,32,0.0277,0.0426,"ADAMTS8"
"GO:1903963","arachidonate transport",25,1,0.05,33,0.0288,0.0443,"NMUR2"
"GO:0070861","regulation of protein exit from endoplasmic reticulum",25,1,0.05,34,0.0288,0.0443,"SLC35D3"
"GO:0006309","apoptotic DNA fragmentation",25,1,0.05,35,0.0288,0.0443,"EXOG"
"GO:0050482","arachidonic acid secretion",25,1,0.05,36,0.0288,0.0443,"NMUR2"
"GO:0048265","response to pain",26,1,0.05,37,0.03,0.0461,"NMUR2"
"GO:0046466","membrane lipid catabolic process",26,1,0.05,38,0.03,0.0461,"NEU1"
"GO:0140115","export across plasma membrane",28,1,0.05,39,0.0322,0.0495,"ATP4A"
