"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste",25,2,0.07,1,0.00031,0.002,"AZGP1,TAS2R19"
"GO:0050710","negative regulation of cytokine secretion",56,2,0.15,5,0.00155,0.0099,"GHSR,PPP1R11"
"GO:0019226","transmission of nerve impulse",65,2,0.17,6,0.00209,0.0132,"CACNA1I,GHSR"
"GO:0022600","digestive system process",84,2,0.23,7,0.00345,0.0214,"GHSR,SERPINA3"
"GO:0060456","positive regulation of digestive system process",10,1,0.03,9,0.01046,0.0265,"GHSR"
"GO:0007135","meiosis II",10,1,0.03,10,0.01046,0.0265,"HORMAD2"
"GO:0060123","regulation of growth hormone secretion",10,1,0.03,11,0.01046,0.0265,"GHSR"
"GO:0031987","locomotion involved in locomotory behavior",10,1,0.03,12,0.01046,0.0265,"GHSR"
"GO:2000253","positive regulation of feeding behavior",10,1,0.03,13,0.01046,0.0265,"GHSR"
"GO:0061983","meiosis II cell cycle process",10,1,0.03,14,0.01046,0.0265,"HORMAD2"
"GO:0032096","negative regulation of response to food",11,1,0.03,15,0.0115,0.0292,"GHSR"
"GO:0071888","macrophage apoptotic process",11,1,0.03,16,0.0115,0.0292,"GHSR"
"GO:0032099","negative regulation of appetite",11,1,0.03,17,0.0115,0.0292,"GHSR"
"GO:1900402","regulation of carbohydrate metabolic process by regulation of transcription from RNA polymerase II promoter",11,1,0.03,18,0.0115,0.0292,"SUPT20HL2"
"GO:0048521","negative regulation of behavior",12,1,0.03,19,0.01254,0.0318,"GHSR"
"GO:0014061","regulation of norepinephrine secretion",12,1,0.03,20,0.01254,0.0318,"GHSR"
"GO:0014831","gastro-intestinal system smooth muscle contraction",12,1,0.03,21,0.01254,0.0318,"GHSR"
"GO:0033604","negative regulation of catecholamine secretion",12,1,0.03,22,0.01254,0.0318,"GHSR"
"GO:0106074","aminoacyl-tRNA metabolism involved in translational fidelity",12,1,0.03,23,0.01254,0.0318,"VARS2"
"GO:0030252","growth hormone secretion",13,1,0.03,24,0.01358,0.0344,"GHSR"
"GO:0032105","negative regulation of response to extracellular stimulus",13,1,0.03,25,0.01358,0.0344,"GHSR"
"GO:0032108","negative regulation of response to nutrient levels",13,1,0.03,26,0.01358,0.0344,"GHSR"
"GO:0071027","nuclear RNA surveillance",13,1,0.03,27,0.01358,0.0344,"DXO"
"GO:0071028","nuclear mRNA surveillance",13,1,0.03,28,0.01358,0.0344,"DXO"
"GO:0045722","positive regulation of gluconeogenesis",13,1,0.03,29,0.01358,0.0344,"SUPT20HL2"
"GO:0048243","norepinephrine secretion",13,1,0.03,30,0.01358,0.0344,"GHSR"
"GO:0045408","regulation of interleukin-6 biosynthetic process",13,1,0.03,31,0.01358,0.0344,"GHSR"
"GO:0051969","regulation of transmission of nerve impulse",14,1,0.04,32,0.01462,0.037,"GHSR"
"GO:1905564","positive regulation of vascular endothelial cell proliferation",14,1,0.04,33,0.01462,0.037,"GHSR"
"GO:2000726","negative regulation of cardiac muscle cell differentiation",15,1,0.04,36,0.01565,0.0395,"CTDP1"
"GO:1902683","regulation of receptor localization to synapse",15,1,0.04,37,0.01565,0.0395,"GHSR"
"GO:0042226","interleukin-6 biosynthetic process",15,1,0.04,38,0.01565,0.0395,"GHSR"
"GO:0032098","regulation of appetite",15,1,0.04,39,0.01565,0.0395,"GHSR"
"GO:0033033","negative regulation of myeloid cell apoptotic process",15,1,0.04,40,0.01565,0.0395,"GHSR"
"GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane",15,1,0.04,41,0.01565,0.0395,"GHSR"
"GO:0071025","RNA surveillance",15,1,0.04,42,0.01565,0.0395,"DXO"
"GO:0099633","protein localization to postsynaptic specialization membrane",15,1,0.04,43,0.01565,0.0395,"GHSR"
