"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0051781","positive regulation of cell division",72,2,0.11,1,0.0018,0.0053,"OR2A4,PGF"
"GO:0032621","interleukin-18 production",10,1,0.02,2,0.0087,0.0151,"TLR9"
"GO:0045414","regulation of interleukin-8 biosynthetic process",10,1,0.02,3,0.0087,0.0151,"TLR9"
"GO:0045078","positive regulation of interferon-gamma biosynthetic process",11,1,0.02,4,0.0096,0.0166,"TLR9"
"GO:0045351","type I interferon biosynthetic process",11,1,0.02,5,0.0096,0.0166,"TLR9"
"GO:0090657","telomeric loop disassembly",11,1,0.02,6,0.0096,0.0166,"SLX1A"
"GO:2001223","negative regulation of neuron migration",12,1,0.02,8,0.0105,0.0181,"ADGRG1"
"GO:0021819","layer formation in cerebral cortex",12,1,0.02,9,0.0105,0.0181,"ADGRG1"
"GO:0002551","mast cell chemotaxis",12,1,0.02,10,0.0105,0.0181,"PGF"
"GO:0072520","seminiferous tubule development",12,1,0.02,11,0.0105,0.0181,"ADGRG1"
"GO:0034332","adherens junction organization",139,2,0.21,12,0.0064,0.0187,"CADM2,LIMCH1"
"GO:0021978","telencephalon regionalization",13,1,0.02,13,0.0113,0.0196,"ADGRG1"
"GO:0097531","mast cell migration",13,1,0.02,14,0.0113,0.0196,"PGF"
"GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process",13,1,0.02,15,0.0113,0.0196,"TLR9"
"GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production",13,1,0.02,16,0.0113,0.0196,"TLR9"
"GO:0050930","induction of positive chemotaxis",13,1,0.02,17,0.0113,0.0196,"PGF"
"GO:0032645","regulation of granulocyte macrophage colony-stimulating factor production",14,1,0.02,19,0.0122,0.021,"TLR9"
"GO:0097094","craniofacial suture morphogenesis",14,1,0.02,20,0.0122,0.021,"MMP16"
"GO:0090656","t-circle formation",15,1,0.02,21,0.0131,0.0225,"SLX1A"
"GO:0090737","telomere maintenance via telomere trimming",15,1,0.02,22,0.0131,0.0225,"SLX1A"
"GO:0035988","chondrocyte proliferation",15,1,0.02,23,0.0131,0.0225,"MMP16"
"GO:0032604","granulocyte macrophage colony-stimulating factor production",15,1,0.02,24,0.0131,0.0225,"TLR9"
"GO:0006004","fucose metabolic process",15,1,0.02,25,0.0131,0.0225,"FPGT"
"GO:0001325","formation of extrachromosomal circular DNA",15,1,0.02,26,0.0131,0.0225,"SLX1A"
"GO:0032780","negative regulation of ATPase activity",16,1,0.02,28,0.0139,0.024,"TLR9"
"GO:0051767","nitric-oxide synthase biosynthetic process",17,1,0.03,30,0.0148,0.0255,"TLR9"
"GO:0051769","regulation of nitric-oxide synthase biosynthetic process",17,1,0.03,31,0.0148,0.0255,"TLR9"
"GO:0032717","negative regulation of interleukin-8 production",17,1,0.03,32,0.0148,0.0255,"TLR9"
"GO:0007252","I-kappaB phosphorylation",18,1,0.03,33,0.0157,0.027,"TLR9"
"GO:0030277","maintenance of gastrointestinal epithelium",18,1,0.03,34,0.0157,0.027,"TLR9"
"GO:0034162","toll-like receptor 9 signaling pathway",20,1,0.03,35,0.0174,0.0299,"TLR9"
"GO:0022030","telencephalon glial cell migration",20,1,0.03,36,0.0174,0.0299,"ADGRG1"
"GO:0021801","cerebral cortex radial glia guided migration",20,1,0.03,37,0.0174,0.0299,"ADGRG1"
"GO:0031032","actomyosin structure organization",181,2,0.27,38,0.0107,0.0306,"KRT19,LIMCH1"
"GO:0034123","positive regulation of toll-like receptor signaling pathway",21,1,0.03,39,0.0182,0.0314,"TLR9"
"GO:0021871","forebrain regionalization",21,1,0.03,40,0.0182,0.0314,"ADGRG1"
"GO:0032727","positive regulation of interferon-alpha production",22,1,0.03,41,0.0191,0.0329,"TLR9"
"GO:0050927","positive regulation of positive chemotaxis",24,1,0.04,42,0.0208,0.0358,"PGF"
"GO:0010669","epithelial structure maintenance",24,1,0.04,43,0.0208,0.0358,"TLR9"
"GO:0060706","cell differentiation involved in embryonic placenta development",25,1,0.04,44,0.0217,0.0373,"KRT19"
"GO:0070528","protein kinase C signaling",25,1,0.04,45,0.0217,0.0373,"ADGRG1"
"GO:0015012","heparan sulfate proteoglycan biosynthetic process",25,1,0.04,46,0.0217,0.0373,"NDST4"
"GO:0050926","regulation of positive chemotaxis",25,1,0.04,47,0.0217,0.0373,"PGF"
"GO:0001958","endochondral ossification",26,1,0.04,48,0.0225,0.0388,"MMP16"
"GO:0036075","replacement ossification",26,1,0.04,49,0.0225,0.0388,"MMP16"
"GO:0045577","regulation of B cell differentiation",26,1,0.04,50,0.0225,0.0388,"TLR9"
"GO:0000729","DNA double-strand break processing",26,1,0.04,51,0.0225,0.0388,"SLX1A"
"GO:1904357","negative regulation of telomere maintenance via telomere lengthening",27,1,0.04,52,0.0234,0.0402,"SLX1A"
"GO:0032647","regulation of interferon-alpha production",27,1,0.04,53,0.0234,0.0402,"TLR9"
"GO:0021799","cerebral cortex radially oriented cell migration",27,1,0.04,54,0.0234,0.0402,"ADGRG1"
"GO:0035025","positive regulation of Rho protein signal transduction",27,1,0.04,55,0.0234,0.0402,"ADGRG1"
"GO:0032607","interferon-alpha production",28,1,0.04,56,0.0242,0.0417,"TLR9"
"GO:0032467","positive regulation of cytokinesis",29,1,0.04,57,0.0251,0.0431,"OR2A4"
"GO:0032733","positive regulation of interleukin-10 production",29,1,0.04,58,0.0251,0.0431,"TLR9"
"GO:0032728","positive regulation of interferon-beta production",31,1,0.05,59,0.0268,0.046,"TLR9"
"GO:0032735","positive regulation of interleukin-12 production",31,1,0.05,60,0.0268,0.046,"TLR9"
"GO:0030201","heparan sulfate proteoglycan metabolic process",31,1,0.05,61,0.0268,0.046,"NDST4"
"GO:0010573","vascular endothelial growth factor production",33,1,0.05,62,0.0285,0.0489,"ADGRG1"
"GO:1901020","negative regulation of calcium ion transmembrane transporter activity",33,1,0.05,63,0.0285,0.0489,"TLR9"
