"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,4,0.1,2,6.9e-07,2.9e-06,"ACTA1,MYH2,MYH4,MYH7"
"GO:0032099","negative regulation of appetite",11,2,0.03,7,0.00017,0.00035,"GHSR,NPFF"
"GO:0060135","maternal process involved in female pregnancy",59,3,0.15,10,0.00016,0.00046,"GHSR,NPFF,PGR"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.03,11,0.00024,0.00049,"ATP2A1,MYH7"
"GO:0070293","renal absorption",16,2,0.04,15,0.00037,0.00076,"KLHL3,SLC9A3R1"
"GO:0014821","phasic smooth muscle contraction",17,2,0.04,17,0.00042,0.00086,"GDNF,GHSR"
"GO:0043501","skeletal muscle adaptation",25,2,0.06,20,0.00093,0.00186,"ACTA1,MYH7"
"GO:0048729","tissue morphogenesis",583,6,1.5,24,0.01057,0.00356,"ACTA1,GDNF,KLHL3,MYH7,PGR,SLC9A3R1"
"GO:0046676","negative regulation of insulin secretion",37,2,0.1,25,0.00203,0.00406,"GHSR,NPFF"
"GO:0045933","positive regulation of muscle contraction",42,2,0.11,27,0.00261,0.0052,"ATP2A1,GHSR"
"GO:0050433","regulation of catecholamine secretion",49,2,0.13,34,0.00354,0.00702,"GDNF,GHSR"
"GO:0099173","postsynapse organization",156,3,0.4,36,0.00276,0.00747,"DOCK10,GDNF,GHSR"
"GO:0032501","multicellular organismal process",6503,25,16.7,41,0.00643,0.00846,"ACTA1,ARID4A,ATP2A1,BARX1,BHLHE22,DOCK10,GDNF,GHSR,HIF3A,KLHL3,KNG1,METRNL,MME,MYH1,MYH2,MYH4,MYH7,NPFF,ODF3,PGR,PIK3R6,PPP1R11,SERPINA3,SLC9A3R1,ULK2"
"GO:0050710","negative regulation of cytokine secretion",56,2,0.14,44,0.00459,0.00909,"GHSR,PPP1R11"
"GO:0043550","regulation of lipid kinase activity",59,2,0.15,46,0.00509,0.01005,"EEF1A2,PIK3R6"
"GO:0008016","regulation of heart contraction",195,3,0.5,53,0.00516,0.01366,"ATP2A1,MYH7,NPFF"
"GO:0002064","epithelial cell development",196,3,0.5,54,0.00524,0.01385,"ARID4A,PGR,SLC9A3R1"
"GO:0072078","nephron tubule morphogenesis",70,2,0.18,55,0.00709,0.01394,"GDNF,KLHL3"
"GO:0035239","tube morphogenesis",779,6,2,56,0.03078,0.01402,"GDNF,GHSR,HIF3A,KLHL3,PGR,PIK3R6"
"GO:0065008","regulation of biological quality",3637,16,9.34,58,0.00691,0.01521,"ARID4A,ATP2A1,DOCK10,GDNF,GHSR,KLHL3,KNG1,METRNL,MME,MYH7,NPFF,PIK3R6,SERPINA3,SLC9A3R1,ULK2,USP40"
"GO:0022600","digestive system process",84,2,0.22,65,0.01008,0.01967,"GHSR,SERPINA3"
"GO:0009628","response to abiotic stimulus",1086,7,2.79,66,0.00277,0.01975,"ACTA1,CASP8AP2,EEF1A2,HIF3A,METRNL,MME,SORD"
"GO:0002027","regulation of heart rate",88,2,0.23,72,0.01101,0.02146,"MYH7,NPFF"
"GO:0019233","sensory perception of pain",89,2,0.23,74,0.01126,0.02192,"MME,NPFF"
"GO:0021510","spinal cord development",89,2,0.23,75,0.01126,0.02192,"GDNF,NPFF"
"GO:0006954","inflammatory response",638,5,1.64,80,0.00537,0.02313,"GHSR,KNG1,METRNL,NPFF,SERPINA3"
"GO:0051934","catecholamine uptake involved in synaptic transmission",10,1,0.03,82,0.01795,0.0254,"GDNF"
"GO:0034770","histone H4-K20 methylation",10,1,0.03,83,0.01795,0.0254,"ARID4A"
"GO:0051561","positive regulation of mitochondrial calcium ion concentration",10,1,0.03,84,0.01795,0.0254,"ATP2A1"
"GO:0051583","dopamine uptake involved in synaptic transmission",10,1,0.03,85,0.01795,0.0254,"GDNF"
"GO:0060456","positive regulation of digestive system process",10,1,0.03,86,0.01795,0.0254,"GHSR"
"GO:0031987","locomotion involved in locomotory behavior",10,1,0.03,87,0.01795,0.0254,"GHSR"
"GO:0002002","regulation of angiotensin levels in blood",10,1,0.03,88,0.01795,0.0254,"MME"
"GO:0060123","regulation of growth hormone secretion",10,1,0.03,89,0.01795,0.0254,"GHSR"
"GO:2000253","positive regulation of feeding behavior",10,1,0.03,90,0.01795,0.0254,"GHSR"
"GO:0071888","macrophage apoptotic process",11,1,0.03,93,0.01973,0.0279,"GHSR"
"GO:0051657","maintenance of organelle location",11,1,0.03,94,0.01973,0.0279,"ATP2A1"
"GO:0060088","auditory receptor cell stereocilium organization",11,1,0.03,95,0.01973,0.0279,"SLC9A3R1"
"GO:0033605","positive regulation of catecholamine secretion",11,1,0.03,96,0.01973,0.0279,"GDNF"
"GO:2000650","negative regulation of sodium ion transmembrane transporter activity",11,1,0.03,97,0.01973,0.0279,"SLC9A3R1"
"GO:0048484","enteric nervous system development",11,1,0.03,98,0.01973,0.0279,"GDNF"
