"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030593","neutrophil chemotaxis",86,11,0.56,1,1.5e-12,9.2e-12,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,IL1B,S100A8,S100A9"
"GO:0006959","humoral immune response",181,14,1.18,2,0.0109,1.3e-11,"C3,CFH,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGB,S100A8,S100A9,TNFRSF21,VTN"
"GO:0019730","antimicrobial humoral response",75,10,0.49,4,0.01083,5.5e-11,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGB,S100A8,S100A9"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",44,8,0.29,7,1e-10,3.8e-10,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,S100A9"
"GO:0006954","inflammatory response",638,19,4.17,9,0.00012,3e-08,"APOA1,C3,CCL8,CFH,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,ICAM1,IGFBP4,IL1B,S100A8,S100A9,SERPINC1,TLR9,VTN"
"GO:0070098","chemokine-mediated signaling pathway",76,8,0.5,10,9.2e-09,3.4e-08,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9"
"GO:0002237","response to molecule of bacterial origin",310,13,2.03,14,0.00456,1.2e-07,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,ICAM1,IL1B,PCK1,PENK,S100A8,TLR9"
"GO:0032496","response to lipopolysaccharide",297,12,1.94,17,0.02264,5.6e-07,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,ICAM1,IL1B,PCK1,PENK,S100A8"
"GO:0071347","cellular response to interleukin-1",120,8,0.78,18,3.4e-07,1.2e-06,"ADAMTS7,CCL8,CXCL8,FGB,FGG,ICAM1,IL1B,PCK1"
"GO:0071222","cellular response to lipopolysaccharide",178,9,1.16,20,6.3e-07,2.5e-06,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,ICAM1,IL1B"
"GO:0010469","regulation of signaling receptor activity",462,13,3.02,26,1.6e-06,1e-05,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGF2,IL1B,LYNX1,PENK,PTHLH"
"GO:0031639","plasminogen activation",23,4,0.15,31,0.00103,1.4e-05,"CTSZ,FGB,FGG,SERPINE2"
"GO:0042060","wound healing",505,13,3.3,35,0.00495,2.6e-05,"DCBLD2,FGB,FGF2,FGG,HBB,HBG2,HNF4A,IGFBP1,S100A8,SERPINC1,SERPINE2,TGFBR2,VTN"
"GO:0031667","response to nutrient levels",445,12,2.91,36,0.0083,3.4e-05,"APOA1,CXCL10,G6PC,ICAM1,IGFBP2,IL1B,PCK1,PENK,PON1,SERPINC1,SLC22A3,TGFBR2"
"GO:0001558","regulation of cell growth",394,11,2.58,43,0.00035,5.4e-05,"DCBLD2,HNF4A,IGFBP1,IGFBP2,IGFBP4,IGFBP7,ISLR2,RGS4,S100A8,S100A9,SERPINE2"
"GO:0070486","leukocyte aggregation",12,3,0.08,44,3.5e-05,5.7e-05,"IL1B,S100A8,S100A9"
"GO:0061045","negative regulation of wound healing",69,5,0.45,48,0.00386,8.8e-05,"FGB,FGF2,FGG,SERPINE2,VTN"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion",15,3,0.1,52,7.2e-05,0.00012,"FGB,FGG,IL1B"
"GO:0008283","cell proliferation",1851,26,12.1,54,0.0081,0.00012,"APOA1,CAV2,CCL8,CTSZ,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,FGF2,HNF4A,ID4,IGFBP2,IGFBP4,IGFBP7,IL1B,MMP16,PENK,PTHLH,RBP4,SERPINE2,TGFBR2,TLR9,TNFRSF21,VTN"
"GO:0030193","regulation of blood coagulation",75,5,0.49,55,0.00509,0.00013,"FGB,FGG,SERPINC1,SERPINE2,VTN"
"GO:0032602","chemokine production",77,5,0.5,58,0.00059,0.00015,"CXCL6,IL1B,S100A8,S100A9,TLR9"
"GO:0007267","cell-cell signaling",1471,22,9.62,67,0.00037,0.00019,"C3,CCL8,CXCL10,CXCL11,CXCL5,CXCL6,CXCL9,FGB,FGF2,FGG,HNF4A,IGFBP1,IGFBP2,IGFBP4,IL1B,LYNX1,PENK,PTHLH,RBP4,RGS4,S100A9,SERPINE2"
"GO:2000257","regulation of protein activation cascade",44,4,0.29,68,0.00538,0.00019,"C3,CFH,SERPINC1,VTN"
"GO:0002438","acute inflammatory response to antigenic stimulus",19,3,0.12,71,0.00015,0.00024,"C3,ICAM1,SERPINC1"
"GO:0051241","negative regulation of multicellular organismal process",1088,18,7.11,69,0.00788,0.00024,"ADAMTS7,APOA1,CD2AP,CTSZ,CXCL10,FGB,FGF2,FGG,ID4,IL1B,PTHLH,RBP4,RGS4,SERPINE2,TGFBR2,TLR9,TNFRSF21,VTN"
"GO:0045017","glycerolipid biosynthetic process",258,8,1.69,76,0.00214,0.00029,"APOA1,C3,FGF2,LPCAT1,PCK1,PIGA,PIGW,TLR9"
"GO:0032103","positive regulation of response to external stimulus",262,8,1.71,78,0.00198,0.00032,"C3,CXCL10,CXCL8,FGF2,IL1B,S100A8,S100A9,TLR9"
"GO:0030195","negative regulation of blood coagulation",51,4,0.33,79,0.01992,0.00034,"FGB,FGG,SERPINE2,VTN"
"GO:1900047","negative regulation of hemostasis",51,4,0.33,80,0.01992,0.00034,"FGB,FGG,SERPINE2,VTN"
"GO:0007584","response to nutrient",205,7,1.34,85,0.00014,4e-04,"APOA1,CXCL10,IGFBP2,IL1B,PENK,SERPINC1,TGFBR2"
"GO:0050819","negative regulation of coagulation",53,4,0.35,83,0.02183,4e-04,"FGB,FGG,SERPINE2,VTN"
"GO:0007186","G protein-coupled receptor signaling pathway",947,16,6.19,87,0.01106,0.00043,"APOA1,ARHGEF4,C3,CAV2,CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,OR10K2,PENK,PTHLH,RGS4"
"GO:0055021","regulation of cardiac muscle tissue growth",54,4,0.35,86,0.02184,0.00043,"FGF2,RBP4,RGS4,TGFBR2"
"GO:0070527","platelet aggregation",56,4,0.37,90,0.02484,0.00049,"FGB,FGG,HBB,SERPINE2"
"GO:0043687","post-translational protein modification",352,9,2.3,91,0.00015,0.00051,"APOA1,C3,CP,FGG,IGFBP1,IGFBP4,IGFBP7,PENK,SERPINC1"
"GO:0071356","cellular response to tumor necrosis factor",214,7,1.4,93,0.00019,0.00051,"ADAMTS7,APOA1,CCL8,CXCL8,ICAM1,PCK1,TNFRSF21"
"GO:0043950","positive regulation of cAMP-mediated signaling",25,3,0.16,97,0.00035,0.00056,"CXCL10,CXCL11,CXCL9"
"GO:0019216","regulation of lipid metabolic process",360,9,2.35,98,0.0188,0.00059,"APOA1,C3,FGF2,HMGCS2,HNF4A,IGFBP7,IL1B,LPCAT1,TNFRSF21"
"GO:2000352","negative regulation of endothelial cell apoptotic process",27,3,0.18,106,0.00044,0.00071,"FGB,FGG,ICAM1"
"GO:0072378","blood coagulation, fibrin clot formation",27,3,0.18,107,0.00044,0.00071,"FGB,FGG,SERPINC1"
"GO:0045907","positive regulation of vasoconstriction",27,3,0.18,108,0.00044,0.00071,"FGB,FGG,ICAM1"
"GO:0042744","hydrogen peroxide catabolic process",28,3,0.18,112,0.00049,0.00079,"HBB,HBG2,PRDX6"
"GO:0050729","positive regulation of inflammatory response",113,5,0.74,120,0.01339,0.00088,"C3,IL1B,S100A8,S100A9,TLR9"
"GO:0008285","negative regulation of cell proliferation",634,12,4.15,121,0.002,9e-04,"CAV2,CCL8,CXCL1,CXCL8,HNF4A,IGFBP7,IL1B,PTHLH,RBP4,SERPINE2,TGFBR2,TNFRSF21"
"GO:0006816","calcium ion transport",384,9,2.51,123,0.01095,0.00094,"ATP2C2,CCL8,CXCL10,CXCL11,CXCL9,FGF2,ICAM1,RGS4,TLR9"
"GO:0043627","response to estrogen",68,4,0.44,125,0.00055,0.00102,"APOA1,IGFBP2,KRT19,TGFBR2"
"GO:0042119","neutrophil activation",470,10,3.07,126,0.00144,0.00102,"C3,CTSZ,CXCL1,CXCL6,CXCL8,HBB,LPCAT1,PRDX6,S100A8,S100A9"
"GO:0045471","response to ethanol",122,5,0.8,134,0.00059,0.00123,"ICAM1,PENK,RBP4,RGS4,S100A8"
"GO:0002224","toll-like receptor signaling pathway",123,5,0.8,135,0.00061,0.00128,"FGB,FGG,S100A8,S100A9,TLR9"
"GO:0042063","gliogenesis",251,7,1.64,136,0.00768,0.00131,"ID4,IL1B,PENK,S100A8,SERPINE2,TNFRSF21,VTN"
"GO:1900026","positive regulation of substrate adhesion-dependent cell spreading",34,3,0.22,140,0.00087,0.0014,"APOA1,FGB,FGG"
"GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors",34,3,0.22,141,0.00087,0.0014,"FGB,FGG,ICAM1"
"GO:0045429","positive regulation of nitric oxide biosynthetic process",35,3,0.23,148,0.00095,0.00153,"HBB,ICAM1,IL1B"
"GO:0040017","positive regulation of locomotion",501,10,3.28,153,0.01818,0.00165,"CAV2,CCL8,CXCL10,CXCL8,FAM83H,FGF2,ICAM1,IL1B,TGFBR2,VTN"
"GO:0070741","response to interleukin-6",36,3,0.24,154,0.00103,0.00166,"FGG,ICAM1,PCK1"
"GO:0030198","extracellular matrix organization",337,8,2.2,156,0.00057,0.00167,"COL25A1,FGB,FGF2,FGG,ICAM1,MFAP5,MMP16,VTN"
