"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,4,0.17,1,7.7e-06,2.5e-05,"ACTA1,MYH2,MYH7,NEB"
"GO:0048596","embryonic camera-type eye morphogenesis",25,3,0.11,3,7.2e-05,0.00017,"ARID1A,KDM2B,ZEB1"
"GO:0040029","regulation of gene expression, epigenetic",274,6,1.2,6,0.0538,0.00127,"ARID1A,DGCR8,DOT1L,H2AFY,MTA1,POLR1B"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.06,7,8e-04,0.00143,"ATP2A1,MYH7"
"GO:0045815","positive regulation of gene expression, epigenetic",58,3,0.25,9,9e-04,0.00209,"ARID1A,H2AFY,POLR1B"
"GO:2000114","regulation of establishment of cell polarity",21,2,0.09,12,0.0021,0.00376,"FLOT2,KANK1"
"GO:0007162","negative regulation of cell adhesion",247,5,1.08,13,0.0013,0.00455,"KANK1,KNG1,RUNX3,SEMA5A,TBCD"
"GO:0043501","skeletal muscle adaptation",25,2,0.11,15,0.003,0.00532,"ACTA1,MYH7"
"GO:0009649","entrainment of circadian clock",26,2,0.11,17,0.0032,0.00574,"ARNTL2,MTA1"
"GO:0010390","histone monoubiquitination",29,2,0.13,18,0.004,0.00711,"KDM2B,UHRF1"
"GO:0009303","rRNA transcription",30,2,0.13,19,0.0043,0.0076,"H2AFY,POLR1B"
"GO:0051954","positive regulation of amine transport",31,2,0.14,21,0.0046,0.0081,"GDNF,NTSR1"
"GO:0000122","negative regulation of transcription by RNA polymerase II",802,9,3.51,22,0.0011,0.00817,"ARID1A,H2AFY,KDM2B,MTA1,NFE2L3,RIPPLY1,RUNX3,UHRF1,ZEB1"
"GO:0010771","negative regulation of cell morphogenesis involved in differentiation",96,3,0.42,24,0.0038,0.00861,"KANK1,SEMA5A,ULK2"
"GO:0071526","semaphorin-plexin signaling pathway",40,2,0.18,30,0.0076,0.01325,"GDNF,SEMA5A"
"GO:0045814","negative regulation of gene expression, epigenetic",114,3,0.5,31,0.0062,0.0137,"ARID1A,DOT1L,H2AFY"
"GO:0001504","neurotransmitter uptake",41,2,0.18,32,0.0079,0.01389,"GDNF,NTSR1"
"GO:0001838","embryonic epithelial tube formation",120,3,0.53,37,0.0071,0.0157,"ARID1A,GDNF,KDM2B"
"GO:0030856","regulation of epithelial cell differentiation",125,3,0.55,41,0.0079,0.0175,"GDNF,H2AFY,ZEB1"
"GO:0045580","regulation of T cell differentiation",126,3,0.55,42,0.0081,0.01787,"PIK3R6,RUNX3,ZEB1"
"GO:0007566","embryo implantation",48,2,0.21,44,0.0108,0.01874,"ARID1A,POLR1B"
"GO:1902475","L-alpha-amino acid transmembrane transport",51,2,0.22,46,0.0121,0.021,"NTSR1,SLC25A29"
"GO:0001755","neural crest cell migration",53,2,0.23,51,0.013,0.02257,"GDNF,SEMA5A"
"GO:0030858","positive regulation of epithelial cell differentiation",55,2,0.24,53,0.014,0.02419,"GDNF,H2AFY"
"GO:0010977","negative regulation of neuron projection development",147,3,0.64,57,0.0123,0.02669,"KANK1,SEMA5A,ULK2"
"GO:0050918","positive chemotaxis",59,2,0.26,59,0.0159,0.02756,"GDNF,SEMA5A"
"GO:0010812","negative regulation of cell-substrate adhesion",59,2,0.26,60,0.0159,0.02756,"KANK1,TBCD"
"GO:0048646","anatomical structure formation involved in morphogenesis",1000,9,4.38,62,0.0549,0.0301,"ACTA1,ARHGAP22,ARID1A,GDNF,KDM2B,NEB,PIK3R6,RIPPLY1,SEMA5A"
"GO:0006360","transcription by RNA polymerase I",62,2,0.27,63,0.0175,0.0302,"H2AFY,POLR1B"
"GO:0051865","protein autoubiquitination",63,2,0.28,64,0.018,0.03111,"MTA1,UHRF1"
"GO:0015807","L-amino acid transport",64,2,0.28,65,0.0186,0.03202,"NTSR1,SLC25A29"
"GO:0030239","myofibril assembly",65,2,0.28,66,0.0191,0.03294,"ACTA1,NEB"
