"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030593","neutrophil chemotaxis",86,12,0.89,1,3.1e-11,8e-11,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,IL1B,S100A8,S100A9,TGFB2"
"GO:0009617","response to bacterium",516,25,5.33,4,0.00116,1.3e-10,"ACOD1,BMP2,C15orf48,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,CYP2E1,DCN,FGB,GBP5,ICAM1,IL1B,IL6,MGST1,PENK,PTGES,PTGFR,S100A8,S100A9,SNX3"
"GO:0019730","antimicrobial humoral response",75,11,0.77,8,0.00273,2.9e-10,"ACOD1,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGB,S100A8,S100A9"
"GO:0006954","inflammatory response",638,27,6.59,9,2.2e-06,4.5e-10,"ACOD1,APOA1,B4GALT1,BIRC2,BMP2,CCL8,CEBPB,CFH,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FPR1,GBP5,HIF1A,ICAM1,IGFBP4,IL1B,IL6,PTGES,PTGFR,S100A8,S100A9,SERPINC1"
"GO:0032496","response to lipopolysaccharide",297,18,3.07,14,0.00069,1.9e-09,"ACOD1,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,DCN,ICAM1,IL1B,IL6,MGST1,PENK,PTGES,PTGFR,S100A8"
"GO:0030198","extracellular matrix organization",337,19,3.48,15,2.5e-06,2.1e-09,"ADAMTS2,B4GALT1,COL25A1,COL3A1,COL8A1,CSGALNACT1,CYP1B1,DCN,FGB,FGF2,FGG,FLRT2,HAS1,ICAM1,LUM,MFAP5,MMP16,P4HA1,TGFB2"
"GO:0008283","cell proliferation",1851,46,19.13,21,0.00424,1e-08,"APOA1,B4GALT1,BIRC2,BMP2,CALR,CCL8,CEBPB,COL8A1,CSGALNACT1,CTSZ,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CYP1B1,EYA1,FGF2,FGF7,GPAM,HIF1A,ID2,ID4,IGFBP4,IL1B,IL6,LGR4,MEF2D,MMP16,PDGFC,PENK,PGF,PICALM,PTGES,PTGFR,PTPRJ,RASSF10,RBP4,ROS1,SDR16C5,SERPINE2,SSR1,SSTR3,TGFB2,TWIST1"
"GO:0010469","regulation of signaling receptor activity",462,21,4.77,23,3e-09,1.3e-08,"BMP2,CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGF2,FGF7,GDF1,IL1B,IL32,IL6,LYNX1,LYPD1,PDGFC,PENK,PGF,TGFB2"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",44,8,0.45,24,7.5e-09,1.4e-08,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,S100A9"
"GO:0070098","chemokine-mediated signaling pathway",76,9,0.79,26,4.2e-08,8.6e-08,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,HIF1A"
"GO:0071222","cellular response to lipopolysaccharide",178,12,1.84,36,1.4e-07,3.3e-07,"ACOD1,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,ICAM1,IL1B,IL6"
"GO:0071347","cellular response to interleukin-1",120,10,1.24,40,2.2e-07,4.7e-07,"ACOD1,CCL8,CEBPB,CXCL8,FGB,FGG,HIF1A,ICAM1,IL1B,IL6"
