"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0045078","positive regulation of interferon-gamma biosynthetic process",11,2,0.02,1,0.00012,0.00025,"CD276,TLR9"
"GO:0010573","vascular endothelial growth factor production",33,2,0.07,4,0.00114,0.0023,"ADGRG1,CYP1B1"
"GO:0051781","positive regulation of cell division",72,2,0.16,7,0.0053,0.01055,"OR2A4,PGF"
"GO:0032088","negative regulation of NF-kappaB transcription factor activity",76,2,0.16,8,0.00589,0.0117,"CYP1B1,TLR9"
"GO:0070268","cornification",86,2,0.19,10,0.00749,0.01481,"KRT19,KRT3"
"GO:0030336","negative regulation of cell migration",247,3,0.53,12,0.00603,0.01604,"ADGRG1,CYP1B1,LIMCH1"
"GO:0045414","regulation of interleukin-8 biosynthetic process",10,1,0.02,17,0.01508,0.0214,"TLR9"
"GO:0032621","interleukin-18 production",10,1,0.02,18,0.01508,0.0214,"TLR9"
"GO:0033629","negative regulation of cell adhesion mediated by integrin",11,1,0.02,19,0.01657,0.02351,"CYP1B1"
"GO:0045351","type I interferon biosynthetic process",11,1,0.02,20,0.01657,0.02351,"TLR9"
"GO:0061299","retina vasculature morphogenesis in camera-type eye",11,1,0.02,21,0.01657,0.02351,"CYP1B1"
"GO:0042228","interleukin-8 biosynthetic process",11,1,0.02,22,0.01657,0.02351,"TLR9"
"GO:0090657","telomeric loop disassembly",11,1,0.02,23,0.01657,0.02351,"SLX1A"
"GO:2001223","negative regulation of neuron migration",12,1,0.03,25,0.01807,0.02562,"ADGRG1"
"GO:0021819","layer formation in cerebral cortex",12,1,0.03,26,0.01807,0.02562,"ADGRG1"
"GO:0002551","mast cell chemotaxis",12,1,0.03,27,0.01807,0.02562,"PGF"
"GO:0042574","retinal metabolic process",12,1,0.03,28,0.01807,0.02562,"CYP1B1"
"GO:0072520","seminiferous tubule development",12,1,0.03,29,0.01807,0.02562,"ADGRG1"
"GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production",13,1,0.03,31,0.01956,0.02773,"TLR9"
"GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process",13,1,0.03,32,0.01956,0.02773,"TLR9"
"GO:0097531","mast cell migration",13,1,0.03,33,0.01956,0.02773,"PGF"
"GO:0050930","induction of positive chemotaxis",13,1,0.03,34,0.01956,0.02773,"PGF"
"GO:0021978","telencephalon regionalization",13,1,0.03,35,0.01956,0.02773,"ADGRG1"
"GO:0050671","positive regulation of lymphocyte proliferation",121,2,0.26,37,0.0144,0.02806,"CD276,TLR9"
"GO:0032946","positive regulation of mononuclear cell proliferation",122,2,0.26,38,0.01462,0.02849,"CD276,TLR9"
"GO:0070665","positive regulation of leukocyte proliferation",124,2,0.27,39,0.01508,0.02935,"CD276,TLR9"
"GO:0097094","craniofacial suture morphogenesis",14,1,0.03,40,0.02105,0.02983,"MMP16"
"GO:0043252","sodium-independent organic anion transport",14,1,0.03,41,0.02105,0.02983,"SLCO1C1"
"GO:0032645","regulation of granulocyte macrophage colony-stimulating factor production",14,1,0.03,42,0.02105,0.02983,"TLR9"
"GO:0032604","granulocyte macrophage colony-stimulating factor production",15,1,0.03,43,0.02254,0.03193,"TLR9"
"GO:0090737","telomere maintenance via telomere trimming",15,1,0.03,44,0.02254,0.03193,"SLX1A"
"GO:0090136","epithelial cell-cell adhesion",15,1,0.03,45,0.02254,0.03193,"CYP1B1"
"GO:0035988","chondrocyte proliferation",15,1,0.03,46,0.02254,0.03193,"MMP16"
"GO:0006004","fucose metabolic process",15,1,0.03,47,0.02254,0.03193,"FPGT"
"GO:0001325","formation of extrachromosomal circular DNA",15,1,0.03,48,0.02254,0.03193,"SLX1A"
"GO:0090656","t-circle formation",15,1,0.03,49,0.02254,0.03193,"SLX1A"
"GO:0032780","negative regulation of ATPase activity",16,1,0.03,50,0.02402,0.03402,"TLR9"
"GO:0032717","negative regulation of interleukin-8 production",17,1,0.04,51,0.0255,0.03611,"TLR9"
"GO:0051767","nitric-oxide synthase biosynthetic process",17,1,0.04,52,0.0255,0.03611,"TLR9"
"GO:0051769","regulation of nitric-oxide synthase biosynthetic process",17,1,0.04,53,0.0255,0.03611,"TLR9"
"GO:0034587","piRNA metabolic process",17,1,0.04,54,0.0255,0.03611,"TDRD12"
"GO:0043046","DNA methylation involved in gamete generation",17,1,0.04,55,0.0255,0.03611,"TDRD12"
"GO:0034332","adherens junction organization",139,2,0.3,56,0.01871,0.03618,"CADM2,LIMCH1"
"GO:0007252","I-kappaB phosphorylation",18,1,0.04,57,0.02698,0.03819,"TLR9"
"GO:0030277","maintenance of gastrointestinal epithelium",18,1,0.04,58,0.02698,0.03819,"TLR9"
"GO:0061298","retina vasculature development in camera-type eye",18,1,0.04,59,0.02698,0.03819,"CYP1B1"
"GO:0019373","epoxygenase P450 pathway",19,1,0.04,62,0.02846,0.04027,"CYP1B1"
"GO:0034162","toll-like receptor 9 signaling pathway",20,1,0.04,63,0.02994,0.04235,"TLR9"
"GO:0021801","cerebral cortex radial glia guided migration",20,1,0.04,64,0.02994,0.04235,"ADGRG1"
"GO:0022030","telencephalon glial cell migration",20,1,0.04,65,0.02994,0.04235,"ADGRG1"
"GO:0034123","positive regulation of toll-like receptor signaling pathway",21,1,0.05,66,0.03141,0.04442,"TLR9"
"GO:0021871","forebrain regionalization",21,1,0.05,67,0.03141,0.04442,"ADGRG1"
"GO:0030155","regulation of cell adhesion",624,4,1.35,68,0.01378,0.04457,"ADGRG1,CD276,CYP1B1,LIMCH1"
"GO:0045766","positive regulation of angiogenesis",158,2,0.34,69,0.02377,0.04562,"CYP1B1,PGF"
"GO:0032727","positive regulation of interferon-alpha production",22,1,0.05,70,0.03288,0.04648,"TLR9"
