"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0010923","negative regulation of phosphatase activity",97,2,0.18,1,0.0024,0.013,"PPP1R11,SLC7A14"
"GO:0007135","meiosis II",10,1,0.02,3,0.0076,0.018,"HORMAD2"
"GO:0071028","nuclear mRNA surveillance",13,1,0.02,5,0.0098,0.023,"DXO"
"GO:2000726","negative regulation of cardiac muscle cell differentiation",15,1,0.03,7,0.0113,0.027,"CTDP1"
"GO:0061050","regulation of cell growth involved in cardiac muscle cell development",16,1,0.03,9,0.0121,0.029,"CTDP1"
"GO:0002577","regulation of antigen processing and presentation",16,1,0.03,10,0.0121,0.029,"HLA-DOA"
"GO:0043923","positive regulation by host of viral transcription",17,1,0.03,11,0.0128,0.03,"CTDP1"
"GO:0050962","detection of light stimulus involved in sensory perception",17,1,0.03,12,0.0128,0.03,"GJA10"
"GO:0050908","detection of light stimulus involved in visual perception",17,1,0.03,13,0.0128,0.03,"GJA10"
"GO:0030277","maintenance of gastrointestinal epithelium",18,1,0.03,14,0.0136,0.032,"SERPINA3"
"GO:1905208","negative regulation of cardiocyte differentiation",19,1,0.03,15,0.0143,0.034,"CTDP1"
"GO:0061117","negative regulation of heart growth",20,1,0.04,16,0.0151,0.036,"CTDP1"
"GO:0055022","negative regulation of cardiac muscle tissue growth",20,1,0.04,17,0.0151,0.036,"CTDP1"
"GO:0051346","negative regulation of hydrolase activity",403,3,0.73,18,0.1808,0.036,"PPP1R11,SERPINA3,SLC7A14"
"GO:0050434","positive regulation of viral transcription",21,1,0.04,20,0.0158,0.037,"CTDP1"
"GO:0010614","negative regulation of cardiac muscle hypertrophy",23,1,0.04,21,0.0173,0.041,"CTDP1"
"GO:0003301","physiological cardiac muscle hypertrophy",24,1,0.04,22,0.0181,0.043,"CTDP1"
"GO:0010669","epithelial structure maintenance",24,1,0.04,23,0.0181,0.043,"SERPINA3"
"GO:0061049","cell growth involved in cardiac muscle cell development",24,1,0.04,24,0.0181,0.043,"CTDP1"
"GO:0003298","physiological muscle hypertrophy",24,1,0.04,25,0.0181,0.043,"CTDP1"
"GO:0045956","positive regulation of calcium ion-dependent exocytosis",25,1,0.05,26,0.0188,0.044,"CACNA1I"
"GO:0014741","negative regulation of muscle hypertrophy",25,1,0.05,27,0.0188,0.044,"CTDP1"
"GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste",25,1,0.05,28,0.0188,0.044,"AZGP1"
"GO:0052472","modulation by host of symbiont transcription",26,1,0.05,29,0.0196,0.046,"CTDP1"
"GO:0043921","modulation by host of viral transcription",26,1,0.05,30,0.0196,0.046,"CTDP1"
"GO:0030431","sleep",26,1,0.05,31,0.0196,0.046,"CACNA1I"
"GO:0052312","modulation of transcription in other organism involved in symbiotic interaction",27,1,0.05,32,0.0203,0.048,"CTDP1"
"GO:0046621","negative regulation of organ growth",28,1,0.05,35,0.021,0.049,"CTDP1"
"GO:0055026","negative regulation of cardiac muscle tissue development",28,1,0.05,36,0.021,0.049,"CTDP1"
"GO:0050779","RNA destabilization",28,1,0.05,37,0.021,0.049,"DXO"
"GO:0016311","dephosphorylation",459,3,0.83,34,0.2105,0.049,"CTDP1,PPP1R11,SLC7A14"
