"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,6,0.06,1,3.5e-12,3.4e-11,"ACTA1,MYH2,MYH4,MYH7,MYL3,TNNC2"
"GO:0003008","system process",1696,13,2.77,7,0.00864,7.5e-07,"ACTA1,ATP2A1,GABRA3,KNG1,MEF2C,MYH1,MYH2,MYH4,MYH7,MYL3,NPFF,OR2A4,TNNC2"
"GO:0003009","skeletal muscle contraction",41,3,0.07,9,0.02905,4e-05,"ATP2A1,MYH7,TNNC2"
"GO:0050881","musculoskeletal movement",51,3,0.08,11,0.03923,7.7e-05,"ATP2A1,MYH7,TNNC2"
"GO:0050879","multicellular organismal movement",51,3,0.08,12,0.03923,7.7e-05,"ATP2A1,MYH7,TNNC2"
"GO:0006937","regulation of muscle contraction",146,4,0.24,13,0.00845,8.8e-05,"ATP2A1,MYH7,MYL3,TNNC2"
"GO:0006941","striated muscle contraction",162,4,0.26,14,0.02765,0.00013,"ATP2A1,MYH7,MYL3,TNNC2"
"GO:0003208","cardiac ventricle morphogenesis",68,3,0.11,15,0.02294,0.00018,"MEF2C,MYH7,MYL3"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.02,16,1e-04,2e-04,"ATP2A1,MYH7"
"GO:0060047","heart contraction",226,4,0.37,20,0.06507,0.00047,"ATP2A1,MYH7,MYL3,NPFF"
"GO:0014898","cardiac muscle hypertrophy in response to stress",23,2,0.04,24,0.00032,0.00064,"MEF2C,MYH7"
"GO:0008015","blood circulation",448,5,0.73,27,0.03321,0.00072,"ATP2A1,KNG1,MYH7,MYL3,NPFF"
"GO:0043501","skeletal muscle adaptation",25,2,0.04,28,0.00038,0.00076,"ACTA1,MYH7"
"GO:0003013","circulatory system process",455,5,0.74,29,0.0347,0.00077,"ATP2A1,KNG1,MYH7,MYL3,NPFF"
"GO:0002026","regulation of the force of heart contraction",28,2,0.05,30,0.00048,0.00095,"MYH7,MYL3"
"GO:0060078","regulation of postsynaptic membrane potential",129,3,0.21,34,0.03228,0.00119,"GABRA3,MEF2C,NPFF"
"GO:0007519","skeletal muscle tissue development",157,3,0.26,35,0.00077,0.00209,"ACTA1,MEF2C,MYL3"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",46,2,0.08,39,0.0013,0.00255,"MYH7,MYL3"
"GO:0030239","myofibril assembly",65,2,0.11,44,0.00258,0.00503,"ACTA1,MEF2C"
"GO:0002027","regulation of heart rate",88,2,0.14,52,0.00467,0.00904,"MYH7,NPFF"
"GO:0014902","myotube differentiation",96,2,0.16,53,0.00553,0.01069,"ACTA1,MEF2C"
"GO:0060079","excitatory postsynaptic potential",98,2,0.16,54,0.00576,0.01112,"MEF2C,NPFF"
"GO:0090073","positive regulation of protein homodimerization activity",10,1,0.02,59,0.01162,0.01623,"MEF2C"
"GO:0051561","positive regulation of mitochondrial calcium ion concentration",10,1,0.02,60,0.01162,0.01623,"ATP2A1"
"GO:0048703","embryonic viscerocranium morphogenesis",10,1,0.02,61,0.01162,0.01623,"MEF2C"
"GO:0003207","cardiac chamber formation",11,1,0.02,62,0.01277,0.01784,"MEF2C"
"GO:0071888","macrophage apoptotic process",11,1,0.02,63,0.01277,0.01784,"MEF2C"
"GO:0032096","negative regulation of response to food",11,1,0.02,64,0.01277,0.01784,"NPFF"
"GO:0032099","negative regulation of appetite",11,1,0.02,65,0.01277,0.01784,"NPFF"
"GO:0051657","maintenance of organelle location",11,1,0.02,66,0.01277,0.01784,"ATP2A1"
"GO:0060048","cardiac muscle contraction",128,2,0.21,67,0.00964,0.01845,"MYH7,MYL3"
"GO:0032105","negative regulation of response to extracellular stimulus",13,1,0.02,68,0.01508,0.02105,"NPFF"
"GO:0032108","negative regulation of response to nutrient levels",13,1,0.02,69,0.01508,0.02105,"NPFF"
"GO:0045989","positive regulation of striated muscle contraction",13,1,0.02,70,0.01508,0.02105,"ATP2A1"
"GO:0007512","adult heart development",14,1,0.02,71,0.01623,0.02265,"MYH7"
"GO:0003128","heart field specification",14,1,0.02,72,0.01623,0.02265,"MEF2C"
"GO:0014733","regulation of skeletal muscle adaptation",14,1,0.02,73,0.01623,0.02265,"MYH7"
"GO:0072160","nephron tubule epithelial cell differentiation",14,1,0.02,74,0.01623,0.02265,"MEF2C"
"GO:0030240","skeletal muscle thin filament assembly",14,1,0.02,75,0.01623,0.02265,"ACTA1"
"GO:0042693","muscle cell fate commitment",15,1,0.02,77,0.01738,0.02425,"MEF2C"
"GO:0002467","germinal center formation",15,1,0.02,78,0.01738,0.02425,"MEF2C"
"GO:0032098","regulation of appetite",15,1,0.02,79,0.01738,0.02425,"NPFF"
"GO:0014866","skeletal myofibril assembly",16,1,0.03,80,0.01853,0.02585,"ACTA1"
"GO:0032095","regulation of response to food",16,1,0.03,81,0.01853,0.02585,"NPFF"
"GO:0055012","ventricular cardiac muscle cell differentiation",17,1,0.03,83,0.01967,0.02744,"MEF2C"
"GO:0001573","ganglioside metabolic process",17,1,0.03,84,0.01967,0.02744,"B3GALT4"
"GO:0007597","blood coagulation, intrinsic pathway",17,1,0.03,85,0.01967,0.02744,"KNG1"
"GO:0006874","cellular calcium ion homeostasis",408,3,0.67,87,0.01131,0.02828,"ATP2A1,KNG1,NPFF"
"GO:0101023","vascular endothelial cell proliferation",18,1,0.03,89,0.02082,0.02903,"MEF2C"
"GO:1905562","regulation of vascular endothelial cell proliferation",18,1,0.03,90,0.02082,0.02903,"MEF2C"
"GO:0071498","cellular response to fluid shear stress",18,1,0.03,91,0.02082,0.02903,"MEF2C"
"GO:1904706","negative regulation of vascular smooth muscle cell proliferation",18,1,0.03,92,0.02082,0.02903,"MEF2C"
"GO:0055074","calcium ion homeostasis",419,3,0.68,93,0.01216,0.03027,"ATP2A1,KNG1,NPFF"
"GO:0002438","acute inflammatory response to antigenic stimulus",19,1,0.03,94,0.02196,0.03062,"NPFF"
"GO:2000727","positive regulation of cardiac muscle cell differentiation",19,1,0.03,95,0.02196,0.03062,"MEF2C"
"GO:2001014","regulation of skeletal muscle cell differentiation",19,1,0.03,96,0.02196,0.03062,"MEF2C"
"GO:2000310","regulation of NMDA receptor activity",20,1,0.03,97,0.02311,0.03221,"MEF2C"
"GO:0048520","positive regulation of behavior",20,1,0.03,98,0.02311,0.03221,"MEF2C"
"GO:1904752","regulation of vascular associated smooth muscle cell migration",20,1,0.03,99,0.02311,0.03221,"MEF2C"
"GO:0045822","negative regulation of heart contraction",20,1,0.03,100,0.02311,0.03221,"NPFF"
"GO:1904738","vascular associated smooth muscle cell migration",20,1,0.03,101,0.02311,0.03221,"MEF2C"
"GO:0030220","platelet formation",20,1,0.03,102,0.02311,0.03221,"MEF2C"
"GO:0043496","regulation of protein homodimerization activity",21,1,0.03,103,0.02425,0.03379,"MEF2C"
"GO:0014912","negative regulation of smooth muscle cell migration",21,1,0.03,104,0.02425,0.03379,"MEF2C"
"GO:0010226","response to lithium ion",21,1,0.03,105,0.02425,0.03379,"ACTA1"
