"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030593","neutrophil chemotaxis",86,9,0.38,1,6.9e-12,1.4e-10,"CCL8,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,IL1B,S100A8,S100A9"
"GO:0019730","antimicrobial humoral response",75,8,0.33,4,0.00355,1.4e-09,"CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,FGB,S100A8,S100A9"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",44,6,0.2,6,5.3e-09,3.9e-08,"CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,S100A9"
"GO:0009617","response to bacterium",516,14,2.29,7,0.00032,5.3e-08,"C3,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,FGB,GBP5,ICAM1,IL1B,MAPK8,PCK1,S100A8,S100A9"
"GO:0071347","cellular response to interleukin-1",120,8,0.53,8,4.2e-09,5.8e-08,"ADAMTS7,CCL8,CXCL8,FGB,FGG,ICAM1,IL1B,PCK1"
"GO:0006954","inflammatory response",638,14,2.83,16,0.00054,7e-07,"APOA1,C3,CCL8,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,GBP5,ICAM1,IL1B,S100A8,S100A9,SERPINC1"
"GO:0070098","chemokine-mediated signaling pathway",76,6,0.34,19,1.5e-07,1.1e-06,"CCL8,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9"
"GO:0071222","cellular response to lipopolysaccharide",178,8,0.79,21,9.3e-08,1.2e-06,"CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,ICAM1,IL1B,MAPK8"
"GO:0034114","regulation of heterotypic cell-cell adhesion",24,4,0.11,27,0.02702,3.6e-06,"APOA1,FGB,FGG,IL1B"
"GO:0006955","immune response",1737,22,7.71,29,0.0265,3.9e-06,"APOA1,AZGP1,C3,CCL8,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,FGB,FGG,GBP5,HBB,ICAM1,IL1B,IL32,LPCAT1,MAPK8,RSAD2,S100A8,S100A9,SERPINC1"
"GO:0070486","leukocyte aggregation",12,3,0.05,32,6.8e-06,1.8e-05,"IL1B,S100A8,S100A9"
