"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030593","neutrophil chemotaxis",86,8,0.43,1,2.9e-10,1.1e-08,"CCL8,CXCL10,CXCL11,CXCL5,CXCL8,IL1B,S100A8,S100A9"
"GO:0019730","antimicrobial humoral response",75,7,0.38,4,0.0037,9.4e-08,"CXCL10,CXCL11,CXCL5,CXCL8,FGB,S100A8,S100A9"
"GO:0071347","cellular response to interleukin-1",120,8,0.6,6,4.2e-09,1.5e-07,"ADAMTS7,CCL8,CXCL8,FGB,FGG,ICAM1,IL1B,PCK1"
"GO:0009617","response to bacterium",516,13,2.59,8,0.00036,1.7e-06,"C3,CXCL10,CXCL11,CXCL5,CXCL8,FGB,GBP5,ICAM1,IL1B,MAPK8,PCK1,S100A8,S100A9"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",44,5,0.22,10,2.8e-07,2.6e-06,"CXCL10,CXCL11,CXCL5,CXCL8,S100A9"
"GO:0034114","regulation of heterotypic cell-cell adhesion",24,4,0.12,13,0.02702,5.8e-06,"APOA1,FGB,FGG,IL1B"
"GO:0006955","immune response",1737,23,8.72,16,0.00323,1e-05,"APOA1,AZGP1,C3,CCL8,CXCL10,CXCL11,CXCL5,CXCL8,FGB,FGG,GBP5,HBB,HLA-DOA,ICAM1,IL1B,IL32,LPCAT1,LST1,MAPK8,RSAD2,S100A8,S100A9,SERPINC1"
"GO:0006954","inflammatory response",638,13,3.2,18,0.00304,1.7e-05,"APOA1,C3,CCL8,CXCL10,CXCL11,CXCL5,CXCL8,GBP5,ICAM1,IL1B,S100A8,S100A9,SERPINC1"
"GO:0070486","leukocyte aggregation",12,3,0.06,22,6.8e-06,2.6e-05,"IL1B,S100A8,S100A9"
"GO:0071222","cellular response to lipopolysaccharide",178,7,0.89,23,1.5e-06,3.1e-05,"CXCL10,CXCL11,CXCL5,CXCL8,ICAM1,IL1B,MAPK8"
"GO:0070098","chemokine-mediated signaling pathway",76,5,0.38,24,4.4e-06,4e-05,"CCL8,CXCL10,CXCL11,CXCL5,CXCL8"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion",15,3,0.08,28,1.4e-05,5.3e-05,"FGB,FGG,IL1B"
"GO:0002438","acute inflammatory response to antigenic stimulus",19,3,0.1,33,2.9e-05,0.00011,"C3,ICAM1,SERPINC1"
"GO:0050729","positive regulation of inflammatory response",113,5,0.57,37,0.00281,0.00026,"C3,GBP5,IL1B,S100A8,S100A9"
"GO:2000352","negative regulation of endothelial cell apoptotic process",27,3,0.14,39,8.7e-05,0.00033,"FGB,FGG,ICAM1"
"GO:0045907","positive regulation of vasoconstriction",27,3,0.14,40,8.7e-05,0.00033,"FGB,FGG,ICAM1"
"GO:0072378","blood coagulation, fibrin clot formation",27,3,0.14,41,8.7e-05,0.00033,"FGB,FGG,SERPINC1"
"GO:0002224","toll-like receptor signaling pathway",123,5,0.62,43,4.6e-05,0.00039,"FGB,FGG,RSAD2,S100A8,S100A9"
"GO:0031667","response to nutrient levels",445,9,2.23,44,0.00545,0.00039,"APOA1,CXCL10,G6PC,ICAM1,IGFBP2,IL1B,MAPK8,PCK1,SERPINC1"
"GO:1900026","positive regulation of substrate adhesion-dependent cell spreading",34,3,0.17,49,0.00017,0.00065,"APOA1,FGB,FGG"
"GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors",34,3,0.17,50,0.00017,0.00065,"FGB,FGG,ICAM1"
"GO:0045429","positive regulation of nitric oxide biosynthetic process",35,3,0.18,54,0.00019,0.00071,"HBB,ICAM1,IL1B"
"GO:0071356","cellular response to tumor necrosis factor",214,6,1.07,56,6.2e-05,0.00073,"ADAMTS7,APOA1,CCL8,CXCL8,ICAM1,PCK1"
"GO:0006094","gluconeogenesis",82,4,0.41,58,0.00014,0.00077,"ALDOB,G6PC,PCK1,SUPT20HL2"
"GO:0070741","response to interleukin-6",36,3,0.18,60,0.01234,0.00077,"FGG,ICAM1,PCK1"
"GO:0006641","triglyceride metabolic process",88,4,0.44,65,0.01133,0.001,"APOA1,C3,G6PC,PCK1"
"GO:0006570","tyrosine metabolic process",10,2,0.05,67,0.00045,0.00109,"HPD,TAT"
"GO:0002523","leukocyte migration involved in inflammatory response",10,2,0.05,68,0.00045,0.00109,"S100A8,S100A9"
"GO:0072676","lymphocyte migration",90,4,0.45,66,0.01883,0.00109,"CCL8,CXCL10,CXCL11,ICAM1"
"GO:0015671","oxygen transport",11,2,0.06,74,0.00055,0.00133,"HBB,HBG2"
