"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,6,0.06,1,1.1e-12,1.6e-11,"ACTA1,MYH2,MYH4,MYH7,MYL3,TNNC2"
"GO:0003008","system process",1696,12,2.48,7,0.0048,1.3e-06,"ACTA1,ATP2A1,GABRA3,KNG1,MEF2C,MYH1,MYH2,MYH4,MYH7,MYL3,OR2A4,TNNC2"
"GO:0003009","skeletal muscle contraction",41,3,0.06,9,0.02427,2.8e-05,"ATP2A1,MYH7,TNNC2"
"GO:0050881","musculoskeletal movement",51,3,0.07,11,0.0328,5.5e-05,"ATP2A1,MYH7,TNNC2"
"GO:0050879","multicellular organismal movement",51,3,0.07,12,0.0328,5.5e-05,"ATP2A1,MYH7,TNNC2"
"GO:0006937","regulation of muscle contraction",146,4,0.21,13,0.00589,5.6e-05,"ATP2A1,MYH7,MYL3,TNNC2"
"GO:0006941","striated muscle contraction",162,4,0.24,14,0.02283,8.4e-05,"ATP2A1,MYH7,MYL3,TNNC2"
"GO:0003208","cardiac ventricle morphogenesis",68,3,0.1,15,0.01915,0.00013,"MEF2C,MYH7,MYL3"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.02,16,7.2e-05,0.00016,"ATP2A1,MYH7"
"GO:0006942","regulation of striated muscle contraction",85,3,0.12,18,0.0613,0.00025,"ATP2A1,MYH7,MYL3"
"GO:0014898","cardiac muscle hypertrophy in response to stress",23,2,0.03,20,0.00023,0.00051,"MEF2C,MYH7"
"GO:0043501","skeletal muscle adaptation",25,2,0.04,23,0.00027,6e-04,"ACTA1,MYH7"
"GO:0003231","cardiac ventricle development",120,3,0.18,24,0.06306,0.00069,"MEF2C,MYH7,MYL3"
"GO:0002026","regulation of the force of heart contraction",28,2,0.04,26,0.00035,0.00076,"MYH7,MYL3"
"GO:0007519","skeletal muscle tissue development",157,3,0.23,28,0.00047,0.0015,"ACTA1,MEF2C,MYL3"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",46,2,0.07,33,0.00094,0.00203,"MYH7,MYL3"
"GO:0008015","blood circulation",448,4,0.65,37,0.03014,0.00378,"ATP2A1,KNG1,MYH7,MYL3"
"GO:0003013","circulatory system process",455,4,0.66,38,0.03139,0.00399,"ATP2A1,KNG1,MYH7,MYL3"
"GO:0030239","myofibril assembly",65,2,0.09,39,0.00186,0.00402,"ACTA1,MEF2C"
"GO:0030279","negative regulation of ossification",68,2,0.1,42,0.00203,0.00439,"LRP4,MEF2C"
"GO:0014902","myotube differentiation",96,2,0.14,52,0.004,0.00857,"ACTA1,MEF2C"
"GO:0090073","positive regulation of protein homodimerization activity",10,1,0.01,57,0.00988,0.0145,"MEF2C"
"GO:1904396","regulation of neuromuscular junction development",10,1,0.01,58,0.00988,0.0145,"LRP4"
"GO:0097105","presynaptic membrane assembly",10,1,0.01,59,0.00988,0.0145,"LRP4"
"GO:0051124","synaptic growth at neuromuscular junction",10,1,0.01,60,0.00988,0.0145,"LRP4"
"GO:1903909","regulation of receptor clustering",10,1,0.01,61,0.00988,0.0145,"LRP4"
"GO:0051561","positive regulation of mitochondrial calcium ion concentration",10,1,0.01,62,0.00988,0.0145,"ATP2A1"
"GO:0048703","embryonic viscerocranium morphogenesis",10,1,0.01,63,0.00988,0.0145,"MEF2C"
"GO:0060048","cardiac muscle contraction",128,2,0.19,64,0.007,0.01485,"MYH7,MYL3"
"GO:0060078","regulation of postsynaptic membrane potential",129,2,0.19,66,0.00711,0.01507,"GABRA3,MEF2C"
"GO:0071340","skeletal muscle acetylcholine-gated channel clustering",11,1,0.02,67,0.01087,0.01594,"LRP4"
"GO:0003207","cardiac chamber formation",11,1,0.02,68,0.01087,0.01594,"MEF2C"
"GO:0071888","macrophage apoptotic process",11,1,0.02,69,0.01087,0.01594,"MEF2C"
"GO:0051657","maintenance of organelle location",11,1,0.02,70,0.01087,0.01594,"ATP2A1"
"GO:0097104","postsynaptic membrane assembly",12,1,0.02,71,0.01185,0.01738,"LRP4"
"GO:1901626","regulation of postsynaptic membrane organization",13,1,0.02,73,0.01283,0.01881,"LRP4"
"GO:0045989","positive regulation of striated muscle contraction",13,1,0.02,74,0.01283,0.01881,"ATP2A1"
"GO:0007512","adult heart development",14,1,0.02,76,0.01381,0.02025,"MYH7"
"GO:0003128","heart field specification",14,1,0.02,77,0.01381,0.02025,"MEF2C"
"GO:0014733","regulation of skeletal muscle adaptation",14,1,0.02,78,0.01381,0.02025,"MYH7"
"GO:0072160","nephron tubule epithelial cell differentiation",14,1,0.02,79,0.01381,0.02025,"MEF2C"
"GO:0030240","skeletal muscle thin filament assembly",14,1,0.02,80,0.01381,0.02025,"ACTA1"
"GO:0042693","muscle cell fate commitment",15,1,0.02,81,0.01479,0.02168,"MEF2C"
"GO:0002467","germinal center formation",15,1,0.02,82,0.01479,0.02168,"MEF2C"
"GO:0014866","skeletal myofibril assembly",16,1,0.02,85,0.01577,0.02311,"ACTA1"
"GO:0055012","ventricular cardiac muscle cell differentiation",17,1,0.02,86,0.01675,0.02453,"MEF2C"
"GO:0001573","ganglioside metabolic process",17,1,0.02,87,0.01675,0.02453,"B3GALT4"
"GO:0007597","blood coagulation, intrinsic pathway",17,1,0.02,88,0.01675,0.02453,"KNG1"
"GO:0101023","vascular endothelial cell proliferation",18,1,0.03,89,0.01772,0.02596,"MEF2C"
"GO:1905562","regulation of vascular endothelial cell proliferation",18,1,0.03,90,0.01772,0.02596,"MEF2C"
"GO:0071498","cellular response to fluid shear stress",18,1,0.03,91,0.01772,0.02596,"MEF2C"
"GO:1904706","negative regulation of vascular smooth muscle cell proliferation",18,1,0.03,92,0.01772,0.02596,"MEF2C"
"GO:2000727","positive regulation of cardiac muscle cell differentiation",19,1,0.03,93,0.0187,0.02738,"MEF2C"
"GO:2001014","regulation of skeletal muscle cell differentiation",19,1,0.03,94,0.0187,0.02738,"MEF2C"
"GO:2000310","regulation of NMDA receptor activity",20,1,0.03,97,0.01967,0.0288,"MEF2C"
"GO:0048520","positive regulation of behavior",20,1,0.03,98,0.01967,0.0288,"MEF2C"
"GO:1904752","regulation of vascular associated smooth muscle cell migration",20,1,0.03,99,0.01967,0.0288,"MEF2C"
