"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030593","neutrophil chemotaxis",86,11,0.6,1,3.2e-12,1.8e-11,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,IL1B,S100A8,S100A9"
"GO:0019730","antimicrobial humoral response",75,10,0.52,3,0.01255,1e-10,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGB,S100A8,S100A9"
"GO:0006959","humoral immune response",181,13,1.26,5,0.00095,3.9e-10,"C3,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGB,S100A8,S100A9,TNFRSF21,VTN"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",44,8,0.31,7,1.8e-10,6.1e-10,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,S100A9"
"GO:0006954","inflammatory response",638,20,4.43,8,8.4e-06,1.5e-08,"APOA1,BIRC2,C3,CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,ICAM1,IGFBP4,IL17C,IL1B,S100A8,S100A9,SERPINC1,TLR9,VTN"
"GO:0070098","chemokine-mediated signaling pathway",76,8,0.53,10,1.6e-08,5.4e-08,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9"
"GO:0002237","response to molecule of bacterial origin",310,13,2.15,14,0.00601,2.4e-07,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,ICAM1,IL1B,PCK1,PENK,S100A8,TLR9"
"GO:0071347","cellular response to interleukin-1",120,8,0.83,18,5.8e-07,1.9e-06,"ADAMTS7,CCL8,CXCL8,FGB,FGG,ICAM1,IL1B,PCK1"
"GO:0010469","regulation of signaling receptor activity",462,14,3.21,19,6e-07,3.9e-06,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGF2,IL17C,IL1B,LYNX1,PENK,PTHLH"
"GO:0071222","cellular response to lipopolysaccharide",178,9,1.24,20,1.2e-06,4.2e-06,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,ICAM1,IL1B"
"GO:0031639","plasminogen activation",23,4,0.16,31,0.00118,1.8e-05,"CTSZ,FGB,FGG,SERPINE2"
"GO:0043687","post-translational protein modification",352,11,2.45,36,7.9e-06,3.4e-05,"APOA1,ATG12,C3,CKAP4,CP,FGG,IGFBP1,IGFBP4,IGFBP7,PENK,SERPINC1"
"GO:0042060","wound healing",505,13,3.51,42,0.00746,4.9e-05,"DCBLD2,FGB,FGF2,FGG,HBB,HBG2,HNF4A,IGFBP1,S100A8,SERPINC1,SERPINE2,TGFBR2,VTN"
"GO:0008283","cell proliferation",1851,28,12.86,44,0.00303,5.3e-05,"APOA1,BIRC2,CAV2,CCL8,CD276,CTSZ,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,FGF2,HNF4A,ID4,IGFBP2,IGFBP4,IGFBP7,IL1B,MMP16,PENK,PTHLH,RBP4,SERPINE2,TGFBR2,TLR9,TNFRSF21,VTN"
"GO:0031667","response to nutrient levels",445,12,3.09,46,0.01134,6.3e-05,"APOA1,CXCL10,G6PC,ICAM1,IGFBP2,IL1B,PCK1,PENK,PON1,SERPINC1,SLC22A3,TGFBR2"
"GO:0007267","cell-cell signaling",1471,24,10.22,47,1e-04,6.4e-05,"C3,CCL8,CXCL10,CXCL11,CXCL5,CXCL6,CXCL9,FGB,FGF2,FGG,HNF4A,IGFBP1,IGFBP2,IGFBP4,IL17C,IL1B,LYNX1,NPTN,PENK,PTHLH,RBP4,RGS4,S100A9,SERPINE2"
"GO:0070486","leukocyte aggregation",12,3,0.08,48,4.3e-05,6.9e-05,"IL1B,S100A8,S100A9"
"GO:0001558","regulation of cell growth",394,11,2.74,52,2.3e-05,9.5e-05,"DCBLD2,HNF4A,IGFBP1,IGFBP2,IGFBP4,IGFBP7,ISLR2,RGS4,S100A8,S100A9,SERPINE2"
"GO:0009991","response to extracellular stimulus",473,12,3.29,53,0.01752,0.00011,"APOA1,CXCL10,G6PC,ICAM1,IGFBP2,IL1B,PCK1,PENK,PON1,SERPINC1,SLC22A3,TGFBR2"
"GO:0071356","cellular response to tumor necrosis factor",214,8,1.49,58,4.2e-05,0.00012,"ADAMTS7,APOA1,BIRC2,CCL8,CXCL8,ICAM1,PCK1,TNFRSF21"
"GO:0061045","negative regulation of wound healing",69,5,0.48,54,0.00473,0.00012,"FGB,FGF2,FGG,SERPINE2,VTN"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion",15,3,0.1,62,8.9e-05,0.00014,"FGB,FGG,IL1B"
"GO:0042127","regulation of cell proliferation",1455,23,10.11,64,0.01915,0.00015,"BIRC2,CAV2,CCL8,CD276,CTSZ,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,FGF2,HNF4A,ID4,IGFBP2,IGFBP7,IL1B,PTHLH,RBP4,SERPINE2,TGFBR2,TLR9,TNFRSF21"
"GO:0030193","regulation of blood coagulation",75,5,0.52,65,0.00623,0.00017,"FGB,FGG,SERPINC1,SERPINE2,VTN"
"GO:0032602","chemokine production",77,5,0.53,67,0.00069,2e-04,"CXCL6,IL1B,S100A8,S100A9,TLR9"
"GO:0045471","response to ethanol",122,6,0.85,69,8.9e-05,0.00021,"BIRC2,ICAM1,PENK,RBP4,RGS4,S100A8"
"GO:0002224","toll-like receptor signaling pathway",123,6,0.85,72,9.3e-05,0.00022,"BIRC2,FGB,FGG,S100A8,S100A9,TLR9"
"GO:0002438","acute inflammatory response to antigenic stimulus",19,3,0.13,82,0.00019,0.00029,"C3,ICAM1,SERPINC1"
"GO:0048878","chemical homeostasis",1048,18,7.28,85,0.02016,0.00032,"APOA1,ATP2C2,CCL8,CP,CXCL10,CXCL11,CXCL9,FGF2,G6PC,HNF4A,ICAM1,LPCAT1,MLLT11,NPTN,PCK1,RBP4,S100A8,S100A9"
"GO:0042119","neutrophil activation",470,11,3.27,92,0.00164,0.00043,"C3,CKAP4,CTSZ,CXCL1,CXCL6,CXCL8,HBB,LPCAT1,PRDX6,S100A8,S100A9"
"GO:0030195","negative regulation of blood coagulation",51,4,0.35,90,0.02281,0.00043,"FGB,FGG,SERPINE2,VTN"
"GO:1900047","negative regulation of hemostasis",51,4,0.35,91,0.02281,0.00043,"FGB,FGG,SERPINE2,VTN"
"GO:0045017","glycerolipid biosynthetic process",258,8,1.79,93,0.00308,0.00044,"APOA1,C3,FGF2,LPCAT1,PCK1,PIGA,PIGW,TLR9"
