"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,4,0.09,1,3.3e-07,1.6e-06,"ACTA1,MYH2,MYH4,MYH7"
"GO:0006936","muscle contraction",331,7,0.73,3,0.04641,7.1e-06,"ACTA1,ATP2A1,GDNF,MYH1,MYH2,MYH4,MYH7"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.03,7,0.00017,0.00037,"ATP2A1,MYH7"
"GO:0070293","renal absorption",16,2,0.04,8,0.00026,0.00056,"KLHL3,SLC9A3R1"
"GO:0043501","skeletal muscle adaptation",25,2,0.06,10,0.00065,0.00139,"ACTA1,MYH7"
"GO:0048729","tissue morphogenesis",583,6,1.29,11,0.00532,0.00165,"ACTA1,GDNF,KLHL3,MYH7,PGR,SLC9A3R1"
"GO:0043550","regulation of lipid kinase activity",59,2,0.13,16,0.00359,0.00757,"EEF1A2,PIK3R6"
"GO:0009628","response to abiotic stimulus",1086,7,2.41,17,0.00091,0.00903,"ACTA1,CASP8AP2,EEF1A2,HIF3A,METRNL,MME,SORD"
"GO:0002064","epithelial cell development",196,3,0.43,18,0.00316,0.00927,"ARID4A,PGR,SLC9A3R1"
"GO:0072078","nephron tubule morphogenesis",70,2,0.16,19,0.00502,0.01052,"GDNF,KLHL3"
"GO:0009887","animal organ morphogenesis",919,6,2.04,24,0.02924,0.01487,"ACTA1,GDNF,KLHL3,MYH7,PGR,SLC9A3R1"
"GO:0008015","blood circulation",448,4,0.99,29,0.00437,0.01689,"ATP2A1,KNG1,MME,MYH7"
"GO:0051934","catecholamine uptake involved in synaptic transmission",10,1,0.02,36,0.01508,0.02197,"GDNF"
"GO:0034770","histone H4-K20 methylation",10,1,0.02,37,0.01508,0.02197,"ARID4A"
"GO:0051561","positive regulation of mitochondrial calcium ion concentration",10,1,0.02,38,0.01508,0.02197,"ATP2A1"
"GO:0051583","dopamine uptake involved in synaptic transmission",10,1,0.02,39,0.01508,0.02197,"GDNF"
"GO:0002002","regulation of angiotensin levels in blood",10,1,0.02,40,0.01508,0.02197,"MME"
"GO:0032501","multicellular organismal process",6503,21,14.43,42,0.01936,0.02243,"ACTA1,ARID4A,ATP2A1,BARX1,BEND6,DOCK10,GDNF,HIF3A,KLHL3,KNG1,METRNL,MME,MYH1,MYH2,MYH4,MYH7,PGR,PIK3R6,PPP1R11,SLC9A3R1,ULK2"
"GO:0051657","maintenance of organelle location",11,1,0.02,44,0.01657,0.02414,"ATP2A1"
"GO:0060088","auditory receptor cell stereocilium organization",11,1,0.02,45,0.01657,0.02414,"SLC9A3R1"
"GO:0033605","positive regulation of catecholamine secretion",11,1,0.02,46,0.01657,0.02414,"GDNF"
"GO:2000650","negative regulation of sodium ion transmembrane transporter activity",11,1,0.02,47,0.01657,0.02414,"SLC9A3R1"
"GO:0048484","enteric nervous system development",11,1,0.02,48,0.01657,0.02414,"GDNF"
"GO:0061684","chaperone-mediated autophagy",12,1,0.03,49,0.01807,0.02631,"EEF1A2"
"GO:0072216","positive regulation of metanephros development",12,1,0.03,50,0.01807,0.02631,"GDNF"
"GO:0003337","mesenchymal to epithelial transition involved in metanephros morphogenesis",12,1,0.03,51,0.01807,0.02631,"GDNF"
"GO:0006857","oligopeptide transport",12,1,0.03,52,0.01807,0.02631,"SLC9A3R1"
"GO:1902306","negative regulation of sodium ion transmembrane transport",12,1,0.03,53,0.01807,0.02631,"SLC9A3R1"
"GO:0090399","replicative senescence",12,1,0.03,54,0.01807,0.02631,"MME"
"GO:0071679","commissural neuron axon guidance",12,1,0.03,55,0.01807,0.02631,"GDNF"
"GO:0022612","gland morphogenesis",117,2,0.26,56,0.01351,0.02771,"PGR,SLC9A3R1"
"GO:0002093","auditory receptor cell morphogenesis",13,1,0.03,58,0.01956,0.02847,"SLC9A3R1"
"GO:0014067","negative regulation of phosphatidylinositol 3-kinase signaling",13,1,0.03,59,0.01956,0.02847,"SLC9A3R1"
"GO:0045989","positive regulation of striated muscle contraction",13,1,0.03,60,0.01956,0.02847,"ATP2A1"
"GO:0010642","negative regulation of platelet-derived growth factor receptor signaling pathway",13,1,0.03,61,0.01956,0.02847,"SLC9A3R1"
"GO:0007512","adult heart development",14,1,0.03,64,0.02105,0.03062,"MYH7"
"GO:0032225","regulation of synaptic transmission, dopaminergic",14,1,0.03,65,0.02105,0.03062,"GDNF"
"GO:0030240","skeletal muscle thin filament assembly",14,1,0.03,66,0.02105,0.03062,"ACTA1"
