"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0015671","oxygen transport",11,2,0.03,1,0.00013,0.00045,"HBB,HBG2"
"GO:0042744","hydrogen peroxide catabolic process",28,2,0.08,3,0.00088,0.00301,"HBB,HBG2"
"GO:0070527","platelet aggregation",56,2,0.16,7,0.0035,0.01163,"FGB,HBB"
"GO:0010038","response to metal ion",338,4,0.99,10,0.00183,0.01682,"DAXX,FGB,IGFBP2,TAT"
"GO:0043507","positive regulation of JUN kinase activity",72,2,0.21,11,0.00571,0.01874,"DAXX,TLR9"
"GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors",81,2,0.24,13,0.00718,0.02336,"DAXX,FGB"
"GO:0045414","regulation of interleukin-8 biosynthetic process",10,1,0.03,16,0.01565,0.02882,"TLR9"
"GO:0006570","tyrosine metabolic process",10,1,0.03,17,0.01565,0.02882,"TAT"
"GO:0030309","poly-N-acetyllactosamine metabolic process",10,1,0.03,18,0.01565,0.02882,"B3GNT5"
"GO:0072584","caveolin-mediated endocytosis",10,1,0.03,19,0.01565,0.02882,"MLC1"
"GO:0032621","interleukin-18 production",10,1,0.03,20,0.01565,0.02882,"TLR9"
"GO:0044264","cellular polysaccharide metabolic process",94,2,0.27,21,0.00956,0.03078,"B3GNT5,G6PC"
"GO:0098869","cellular oxidant detoxification",94,2,0.27,22,0.00956,0.03078,"HBB,HBG2"
"GO:0006558","L-phenylalanine metabolic process",11,1,0.03,23,0.01721,0.03165,"TAT"
"GO:0006559","L-phenylalanine catabolic process",11,1,0.03,24,0.01721,0.03165,"TAT"
"GO:1902221","erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process",11,1,0.03,25,0.01721,0.03165,"TAT"
"GO:1902222","erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process",11,1,0.03,26,0.01721,0.03165,"TAT"
"GO:0045351","type I interferon biosynthetic process",11,1,0.03,27,0.01721,0.03165,"TLR9"
"GO:0042228","interleukin-8 biosynthetic process",11,1,0.03,28,0.01721,0.03165,"TLR9"
"GO:0045078","positive regulation of interferon-gamma biosynthetic process",11,1,0.03,29,0.01721,0.03165,"TLR9"
"GO:0106074","aminoacyl-tRNA metabolism involved in translational fidelity",12,1,0.04,31,0.01876,0.03448,"VARS2"
"GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production",13,1,0.04,33,0.0203,0.0373,"TLR9"
"GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process",13,1,0.04,34,0.0203,0.0373,"TLR9"
"GO:0071397","cellular response to cholesterol",13,1,0.04,35,0.0203,0.0373,"MLC1"
"GO:0009635","response to herbicide",13,1,0.04,36,0.0203,0.0373,"DAXX"
"GO:0032645","regulation of granulocyte macrophage colony-stimulating factor production",14,1,0.04,37,0.02185,0.04011,"TLR9"
"GO:0032604","granulocyte macrophage colony-stimulating factor production",15,1,0.04,39,0.02339,0.04292,"TLR9"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion",15,1,0.04,40,0.02339,0.04292,"FGB"
"GO:0046838","phosphorylated carbohydrate dephosphorylation",15,1,0.04,41,0.02339,0.04292,"G6PC"
"GO:0045072","regulation of interferon-gamma biosynthetic process",15,1,0.04,42,0.02339,0.04292,"TLR9"
"GO:0017085","response to insecticide",16,1,0.05,43,0.02493,0.04571,"DAXX"
"GO:0007379","segment specification",16,1,0.05,44,0.02493,0.04571,"RIPPLY1"
"GO:0043567","regulation of insulin-like growth factor receptor signaling pathway",16,1,0.05,45,0.02493,0.04571,"IGFBP2"
"GO:0070293","renal absorption",16,1,0.05,46,0.02493,0.04571,"HBB"
"GO:0042095","interferon-gamma biosynthetic process",16,1,0.05,47,0.02493,0.04571,"TLR9"
"GO:0032780","negative regulation of ATPase activity",16,1,0.05,48,0.02493,0.04571,"TLR9"
"GO:0050880","regulation of blood vessel size",119,2,0.35,49,0.015,0.04722,"FGB,HBB"
"GO:0035150","regulation of tube size",120,2,0.35,50,0.01524,0.04793,"FGB,HBB"
"GO:0031424","keratinization",120,2,0.35,51,0.01524,0.04793,"KRTAP10-2,KRTAP9-9"
"GO:0032717","negative regulation of interleukin-8 production",17,1,0.05,52,0.02647,0.0485,"TLR9"
"GO:0051767","nitric-oxide synthase biosynthetic process",17,1,0.05,53,0.02647,0.0485,"TLR9"
"GO:0051769","regulation of nitric-oxide synthase biosynthetic process",17,1,0.05,54,0.02647,0.0485,"TLR9"
"GO:0036315","cellular response to sterol",17,1,0.05,55,0.02647,0.0485,"MLC1"
"GO:0005980","glycogen catabolic process",17,1,0.05,56,0.02647,0.0485,"G6PC"
"GO:0044320","cellular response to leptin stimulus",17,1,0.05,57,0.02647,0.0485,"FGB"
"GO:0050671","positive regulation of lymphocyte proliferation",121,2,0.35,58,0.01548,0.04865,"IGFBP2,TLR9"
"GO:0032946","positive regulation of mononuclear cell proliferation",122,2,0.36,59,0.01572,0.04937,"IGFBP2,TLR9"
