"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0032099","negative regulation of appetite",11,2,0.03,1,0.00015,0.00032,"GHSR,NPFF"
"GO:0045408","regulation of interleukin-6 biosynthetic process",13,2,0.03,3,0.00021,0.00045,"CEBPB,GHSR"
"GO:0046676","negative regulation of insulin secretion",37,2,0.09,12,0.00178,0.0037,"GHSR,NPFF"
"GO:0060135","maternal process involved in female pregnancy",59,2,0.14,16,0.00446,0.00919,"GHSR,NPFF"
"GO:0071222","cellular response to lipopolysaccharide",178,3,0.44,17,0.0033,0.00941,"CEBPB,CXCL9,GHSR"
"GO:0016477","cell migration",1290,8,3.16,20,0.00104,0.01196,"CXCL9,CXCR5,DOCK10,IL1R1,LRRC15,MATN2,NDNF,PLPP3"
"GO:0070098","chemokine-mediated signaling pathway",76,2,0.19,23,0.0073,0.01491,"CXCL9,CXCR5"
"GO:0007218","neuropeptide signaling pathway",76,2,0.19,24,0.0073,0.01491,"NPFF,SSTR3"
"GO:0006954","inflammatory response",638,5,1.56,29,0.00399,0.01924,"CEBPB,CXCL9,GHSR,IL1R1,NPFF"
"GO:0021510","spinal cord development",89,2,0.22,31,0.00989,0.02009,"NKX2-2,NPFF"
"GO:0006721","terpenoid metabolic process",93,2,0.23,35,0.01076,0.02181,"CYP2E1,SDR16C5"
"GO:0002456","T cell mediated immunity",94,2,0.23,36,0.01099,0.02225,"CD8A,IL1R1"
"GO:1990266","neutrophil migration",95,2,0.23,37,0.01121,0.02269,"CXCL9,IL1R1"
"GO:0006955","immune response",1737,9,4.26,38,0.00169,0.02273,"CD8A,CEBPB,CRISPLD2,CXCL9,CXCR5,DOCK10,HLA-DRA,IL1R1,NPFF"
"GO:0030148","sphingolipid biosynthetic process",98,2,0.24,39,0.0119,0.02405,"B3GALT4,PLPP3"
"GO:0060456","positive regulation of digestive system process",10,1,0.02,40,0.01681,0.02426,"GHSR"
"GO:0031987","locomotion involved in locomotory behavior",10,1,0.02,41,0.01681,0.02426,"GHSR"
"GO:0060123","regulation of growth hormone secretion",10,1,0.02,42,0.01681,0.02426,"GHSR"
"GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress",10,1,0.02,43,0.01681,0.02426,"CEBPB"
"GO:2000253","positive regulation of feeding behavior",10,1,0.02,44,0.01681,0.02426,"GHSR"
"GO:0061042","vascular wound healing",10,1,0.02,45,0.01681,0.02426,"NDNF"
"GO:0002065","columnar/cuboidal epithelial cell differentiation",101,2,0.25,48,0.0126,0.02543,"CEBPB,NKX2-2"
"GO:0009410","response to xenobiotic stimulus",260,3,0.64,49,0.00944,0.02568,"CYP2E1,GHSR,NPFF"
"GO:0007283","spermatogenesis",461,4,1.13,50,0.00721,0.02589,"BOLL,GHSR,ODF3,SSTR3"
"GO:0071888","macrophage apoptotic process",11,1,0.03,51,0.01847,0.02665,"GHSR"
"GO:0044650","adhesion of symbiont to host cell",11,1,0.03,52,0.01847,0.02665,"LRRC15"
"GO:0021554","optic nerve development",11,1,0.03,53,0.01847,0.02665,"NKX2-2"
"GO:0021514","ventral spinal cord interneuron differentiation",11,1,0.03,54,0.01847,0.02665,"NKX2-2"
"GO:0050890","cognition",266,3,0.65,55,0.01004,0.02723,"CEBPB,GHSR,HLA-DRA"
