"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030593","neutrophil chemotaxis",86,12,0.92,1,2.6e-11,1.2e-10,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,IL1B,S100A8,S100A9,TGFB2"
"GO:0019730","antimicrobial humoral response",75,11,0.8,3,0.00263,4.1e-10,"ACOD1,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGB,S100A8,S100A9"
"GO:0006954","inflammatory response",638,26,6.82,8,2e-06,4.5e-09,"ACOD1,APOA1,B4GALT1,BIRC2,BMP2,CCL8,CEBPB,CFH,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FPR1,GBP5,HIF1A,ICAM1,IGFBP4,IL1B,IL6,PTGFR,S100A8,S100A9,SERPINC1"
"GO:0009617","response to bacterium",516,23,5.51,10,0.00785,7.2e-09,"ACOD1,BMP2,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,CYP2E1,DCN,FGB,GBP5,ICAM1,IL1B,IL6,MGST1,PENK,PTGFR,S100A8,S100A9,SNX3"
"GO:0070098","chemokine-mediated signaling pathway",76,10,0.81,11,2.3e-09,7.8e-09,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,CXCR5,HIF1A"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",44,8,0.47,14,6.8e-09,1.9e-08,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,S100A9"
"GO:0032496","response to lipopolysaccharide",297,17,3.17,20,0.00402,2.1e-08,"ACOD1,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,DCN,ICAM1,IL1B,IL6,MGST1,PENK,PTGFR,S100A8"
"GO:0030198","extracellular matrix organization",337,18,3.6,21,1.2e-05,2.3e-08,"ADAMTS2,B4GALT1,COL25A1,COL3A1,COL8A1,CSGALNACT1,CYP1B1,DCN,FGB,FGF2,FGG,FLRT2,ICAM1,LUM,MFAP5,MMP16,P4HA1,TGFB2"
"GO:0010469","regulation of signaling receptor activity",462,21,4.94,22,2.4e-09,2.4e-08,"BMP2,CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,FGF2,FGF7,GDF1,IL1B,IL32,IL6,LYNX1,LYPD1,PDGFC,PENK,PGF,TGFB2"
"GO:0071222","cellular response to lipopolysaccharide",178,12,1.9,27,1.2e-07,4.8e-07,"ACOD1,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,ICAM1,IL1B,IL6"
"GO:0071347","cellular response to interleukin-1",120,10,1.28,31,1.9e-07,6.4e-07,"ACOD1,CCL8,CEBPB,CXCL8,FGB,FGG,HIF1A,ICAM1,IL1B,IL6"
"GO:0051781","positive regulation of cell division",72,8,0.77,34,3.7e-07,9.7e-07,"CXCR5,FGF2,FGF7,IL1B,OR2A4,PDGFC,PGF,TGFB2"
"GO:0006570","tyrosine metabolic process",10,4,0.11,42,1.5e-06,2.5e-06,"HGD,HPD,PAH,TAT"
"GO:0019221","cytokine-mediated signaling pathway",671,22,7.17,44,0.0067,3e-06,"APOA1,BIRC2,CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL6,CXCL8,CXCL9,CXCR5,DOK1,FGF2,FPR1,HIF1A,HLA-DRA,ICAM1,IL13RA1,IL1B,IL32,IL6,TWIST1"
"GO:0035295","tube development",952,27,10.17,45,0.00327,3.3e-06,"ADAMTS2,B4GALT1,BMP2,CCL8,COL3A1,COL8A1,CTSZ,CXCL10,CXCL8,CYP1B1,DCN,EYA1,FGF2,FGF7,HIF1A,ID2,IL1B,IL6,NKX2-2,PDGFC,PGF,RARG,RBP4,RPGRIP1L,SERPINE2,TGFB2,TWIST1"
"GO:0006559","L-phenylalanine catabolic process",11,4,0.12,46,2.4e-06,3.9e-06,"HGD,HPD,PAH,TAT"
"GO:0050673","epithelial cell proliferation",351,15,3.75,52,0.00128,5.7e-06,"APOA1,B4GALT1,BMP2,CEBPB,COL8A1,EYA1,FGF2,FGF7,HIF1A,ID2,IGFBP4,PGF,SDR16C5,TGFB2,TWIST1"
"GO:0030199","collagen fibril organization",50,6,0.53,60,7.1e-06,1.5e-05,"ADAMTS2,COL3A1,CYP1B1,LUM,P4HA1,TGFB2"
"GO:0032602","chemokine production",77,7,0.82,61,0.00103,1.8e-05,"CXCL6,HIF1A,IL1B,IL6,S100A8,S100A9,TWIST1"
"GO:1902533","positive regulation of intracellular signal transduction",986,26,10.53,62,0.00292,1.8e-05,"APOA1,BIRC2,BMP2,CCL8,COL3A1,CXCL10,CXCL11,CXCL9,CYP1B1,DCN,FGB,FGF2,FGF7,FGG,FPR1,ICAM1,IGFBP4,IL1B,IL6,PDGFC,PTPRJ,ROS1,S100A8,S100A9,SERINC3,TGFB2"
"GO:0008284","positive regulation of cell proliferation",819,23,8.75,64,0.01248,2.2e-05,"B4GALT1,BMP2,CTSZ,CXCL10,CXCL5,EYA1,FGF2,FGF7,GPAM,HIF1A,ID2,ID4,IL1B,IL6,MEF2D,PDGFC,PGF,PTGFR,RARG,RASSF10,SSR1,TGFB2,TWIST1"
"GO:0019752","carboxylic acid metabolic process",940,25,10.04,65,0.00768,2.3e-05,"ABCB11,ACOD1,ALDOB,CRABP2,CSGALNACT1,CYP1B1,CYP2E1,DCN,DSEL,FGF2,GNMT,GPAM,HGD,HIF1A,HPD,IL1B,MAT1A,OAT,P4HA1,PAH,PON1,SCPEP1,SERINC3,TAT,TWIST1"
"GO:0002684","positive regulation of immune system process",905,24,9.67,69,0.00955,3.6e-05,"ACOD1,AP3B1,BIRC2,CCL8,CFH,CXCL10,CXCL8,FGB,FGG,FPR1,GBP5,GPAM,HIF1A,HLA-DRA,ICAM1,ID2,IL1B,IL6,PGF,PTPRJ,RBP4,S100A8,S100A9,TGFB2"
"GO:0042119","neutrophil activation",470,16,5.02,71,0.00403,4.6e-05,"B4GALT1,C6orf120,COPB1,CTSZ,CXCL1,CXCL6,CXCL8,FPR1,FUCA1,HBB,LPCAT1,MGST1,PGRMC1,PTPRJ,S100A8,S100A9"
"GO:0002446","neutrophil mediated immunity",473,16,5.05,72,0.00656,5e-05,"B4GALT1,C6orf120,COPB1,CTSZ,CXCL1,CXCL6,FPR1,FUCA1,HBB,IL6,LPCAT1,MGST1,PGRMC1,PTPRJ,S100A8,S100A9"
"GO:0002526","acute inflammatory response",132,8,1.41,87,0.00163,8.7e-05,"B4GALT1,CEBPB,CFH,ICAM1,IL1B,IL6,S100A8,SERPINC1"
"GO:0031639","plasminogen activation",23,4,0.25,88,0.00296,9.5e-05,"CTSZ,FGB,FGG,SERPINE2"
"GO:0009611","response to wounding",610,18,6.52,89,0.00083,9.7e-05,"AP3B1,APOA1,B4GALT1,COL3A1,DCN,FGB,FGF2,FGF7,FGG,FLRT3,HBB,HIF1A,IL6,MATN2,S100A8,SERPINC1,SERPINE2,TGFB2"
"GO:0044272","sulfur compound biosynthetic process",178,9,1.9,98,0.00092,0.00013,"B4GALT1,CSGALNACT1,DCN,DSEL,GSTT2B,LUM,MAT1A,MGST1,SLC35B3"
"GO:0006024","glycosaminoglycan biosynthetic process",104,7,1.11,94,0.00167,0.00013,"B4GALT1,CSGALNACT1,DCN,DSEL,EXT2,IL1B,LUM"
"GO:0001655","urogenital system development",310,12,3.31,99,0.00245,0.00013,"BMP2,DCN,EYA1,FGF2,ID2,ID4,PGF,RARG,RBP4,RPGRIP1L,TGFB2,TMED10"
"GO:1903510","mucopolysaccharide metabolic process",107,7,1.14,106,0.00343,0.00015,"B4GALT1,CSGALNACT1,DCN,DSEL,FGF2,IL1B,LUM"
"GO:0001523","retinoid metabolic process",75,6,0.8,105,0.00729,0.00015,"APOA1,CRABP2,CYP1B1,RBP4,SCPEP1,SDR16C5"
"GO:0098609","cell-cell adhesion",767,20,8.19,120,0.00688,0.00021,"AP3B1,APOA1,BMP2,CD2AP,CEBPB,CYP1B1,FGB,FGG,FLRT3,GPAM,HBB,ICAM1,IL1B,IL6,NTNG2,S100A8,S100A9,SERPINE2,STXBP6,TGFB2"
"GO:0070486","leukocyte aggregation",12,3,0.13,125,0.00017,0.00025,"IL1B,S100A8,S100A9"
"GO:0006890","retrograde vesicle-mediated transport, Golgi to ER",85,6,0.91,129,0.00015,3e-04,"ARFGAP3,ATP9B,COPB1,KDELR2,RAB6C,TMED10"
"GO:2000377","regulation of reactive oxygen species metabolic process",161,8,1.72,134,0.00631,0.00034,"ACOD1,BIRC2,CYP1B1,HBB,HIF1A,ICAM1,IL1B,STK17A"
"GO:0048565","digestive tract development",123,7,1.31,136,0.0097,0.00035,"COL3A1,CXCL8,HIF1A,ID2,NKX2-2,PDGFC,TGFB2"
"GO:0030335","positive regulation of cell migration",454,14,4.85,139,0.00261,0.00038,"BMP2,CCL8,CXCL10,CXCL8,FGF2,FGF7,HIF1A,ICAM1,IL1B,IL6,LRRC15,PDGFC,PGF,TGFB2"
"GO:0048711","positive regulation of astrocyte differentiation",14,3,0.15,140,0.00027,4e-04,"BMP2,ID2,SERPINE2"
"GO:0050918","positive chemotaxis",59,5,0.63,144,0.00891,0.00041,"CXCL8,FGF2,FGF7,PGF,PTPRJ"
"GO:0043312","neutrophil degranulation",459,14,4.9,146,0.00011,0.00043,"B4GALT1,C6orf120,COPB1,CTSZ,CXCL1,FPR1,FUCA1,HBB,LPCAT1,MGST1,PGRMC1,PTPRJ,S100A8,S100A9"
"GO:0002009","morphogenesis of an epithelium",461,14,4.92,148,0.0043,0.00044,"BMP2,CTSZ,CXCL10,EYA1,FGF2,FGF7,FLRT3,HIF1A,ID4,PGF,RARG,RPGRIP1L,TGFB2,TWIST1"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion",15,3,0.16,151,0.00034,5e-04,"FGB,FGG,IL1B"
"GO:0050679","positive regulation of epithelial cell proliferation",175,8,1.87,159,0.00025,0.00059,"B4GALT1,BMP2,EYA1,FGF2,FGF7,HIF1A,PGF,TWIST1"
"GO:2000826","regulation of heart morphogenesis",37,4,0.4,165,0.00039,0.00063,"BMP2,EYA1,TGFB2,TWIST1"
"GO:0048598","embryonic morphogenesis",541,15,5.78,174,0.00618,0.00072,"APOA1,COL8A1,CRABP2,EXT2,EYA1,FGF2,FLRT3,HIF1A,ID2,MMP16,RARG,RBP4,RPGRIP1L,TGFB2,TWIST1"
"GO:0060644","mammary gland epithelial cell differentiation",17,3,0.18,175,5e-04,0.00073,"CEBPB,HIF1A,ID2"
"GO:0046165","alcohol biosynthetic process",142,7,1.52,183,0.00039,0.00084,"APOA1,BMP2,FGF2,GPAM,HMGCS2,IL1B,SPTLC1"
"GO:0051216","cartilage development",192,8,2.05,193,0.00047,0.00108,"BMP2,CSGALNACT1,FGF2,HIF1A,LUM,MATN2,MEF2D,RARG"
"GO:0042060","wound healing",505,14,5.39,192,0.01131,0.00108,"AP3B1,B4GALT1,COL3A1,DCN,FGB,FGF2,FGG,HBB,HIF1A,IL6,S100A8,SERPINC1,SERPINE2,TGFB2"
"GO:0009306","protein secretion",506,14,5.41,195,0.00233,0.0011,"APOA1,ARFGAP3,FGB,FGG,GBP5,GPAM,HIF1A,IL1B,IL6,RBP4,TGFB2,TMEM167A,TVP23B,TWIST1"
"GO:0060039","pericardium development",20,3,0.21,202,0.00083,0.0012,"BMP2,FLRT3,RPGRIP1L"
"GO:0008285","negative regulation of cell proliferation",634,16,6.77,209,0.00032,0.00129,"B4GALT1,BMP2,CCL8,CEBPB,CXCL1,CXCL8,CYP1B1,ID2,IL1B,IL6,PTPRJ,RARG,RBP4,SERPINE2,SSTR3,TGFB2"
"GO:0010718","positive regulation of epithelial to mesenchymal transition",46,4,0.49,212,9e-04,0.00145,"BMP2,IL1B,TGFB2,TWIST1"
"GO:0045766","positive regulation of angiogenesis",158,7,1.69,216,0.00074,0.00156,"CXCL8,CYP1B1,FGF2,HIF1A,IL1B,PGF,TWIST1"
"GO:0003181","atrioventricular valve morphogenesis",22,3,0.24,219,0.0011,0.00159,"BMP2,TGFB2,TWIST1"
"GO:0046885","regulation of hormone biosynthetic process",23,3,0.25,226,0.00126,0.00181,"BMP2,HIF1A,IL1B"
"GO:0032722","positive regulation of chemokine production",49,4,0.52,229,0.00115,0.00184,"HIF1A,IL1B,IL6,TWIST1"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",209,8,2.23,230,0.00082,0.00186,"BMP2,CCL8,FGB,FGF2,FGG,ICAM1,PDGFC,ROS1"
"GO:0007267","cell-cell signaling",1471,28,15.71,233,0.00196,0.00193,"BMP2,CCL8,CXCL10,CXCL11,CXCL5,CXCL6,CXCL9,FGB,FGF2,FGF7,FGG,HIF1A,IGFBP4,IL1B,IL6,LIN7A,LYNX1,LYPD1,NTNG2,PENK,PGF,RARG,RBP4,S100A9,SERPINE2,SNX3,SSTR3,TGFB2"
"GO:0045471","response to ethanol",122,6,1.3,236,0.00103,0.00199,"BIRC2,CYP2E1,ICAM1,PENK,RBP4,S100A8"
"GO:0002224","toll-like receptor signaling pathway",123,6,1.31,240,0.00108,0.00207,"ACOD1,BIRC2,FGB,FGG,S100A8,S100A9"
"GO:0043950","positive regulation of cAMP-mediated signaling",25,3,0.27,247,0.00161,0.00232,"CXCL10,CXCL11,CXCL9"
"GO:0001958","endochondral ossification",26,3,0.28,252,0.00181,0.0026,"CSGALNACT1,MEF2D,MMP16"
"GO:0010575","positive regulation of vascular endothelial growth factor production",26,3,0.28,253,0.00181,0.0026,"CYP1B1,HIF1A,IL1B"
"GO:1902895","positive regulation of pri-miRNA transcription by RNA polymerase II",26,3,0.28,254,0.00181,0.0026,"BMP2,HIF1A,TGFB2"
"GO:0002066","columnar/cuboidal epithelial cell development",54,4,0.58,256,0.00165,0.00263,"HIF1A,NKX2-2,RARG,ROS1"
"GO:0072378","blood coagulation, fibrin clot formation",27,3,0.29,259,0.00202,0.0029,"FGB,FGG,SERPINC1"
"GO:2000352","negative regulation of endothelial cell apoptotic process",27,3,0.29,260,0.00202,0.0029,"FGB,FGG,ICAM1"
"GO:0035116","embryonic hindlimb morphogenesis",27,3,0.29,261,0.00202,0.0029,"RARG,RPGRIP1L,TWIST1"
"GO:0045907","positive regulation of vasoconstriction",27,3,0.29,262,0.00202,0.0029,"FGB,FGG,ICAM1"
"GO:0001658","branching involved in ureteric bud morphogenesis",56,4,0.6,265,0.00189,0.003,"BMP2,EYA1,FGF2,PGF"
"GO:0006027","glycosaminoglycan catabolic process",56,4,0.6,266,0.00189,0.003,"DCN,FGF2,FUCA1,LUM"
"GO:0046394","carboxylic acid biosynthetic process",392,11,4.19,273,0.00918,0.00334,"ABCB11,ALDOB,CRABP2,CYP2E1,DCN,DSEL,HIF1A,IL1B,OAT,PAH,SERINC3"
"GO:0045669","positive regulation of osteoblast differentiation",58,4,0.62,275,0.00215,0.00341,"BMP2,CEBPB,ID4,IL6"
"GO:0010035","response to inorganic substance",513,13,5.48,276,0.00113,0.00353,"CYP1B1,CYP2E1,FGB,FGG,HBB,HIF1A,ICAM1,ID2,IL6,PENK,PON1,S100A8,TAT"
"GO:0042572","retinol metabolic process",29,3,0.31,277,0.00249,0.00357,"CYP1B1,RBP4,SDR16C5"
"GO:0035909","aorta morphogenesis",29,3,0.31,278,0.00249,0.00357,"COL3A1,EYA1,TGFB2"
