"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,4,0.11,1,3.8e-06,4.9e-06,"ACTA1,MYH2,MYH7,NEB"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.04,5,0.00056,0.00064,"ATP2A1,MYH7"
"GO:0040029","regulation of gene expression, epigenetic",274,5,0.8,7,0.00089,0.00119,"ARID1A,DGCR8,DOT1L,MTA1,POLR1B"
"GO:2000114","regulation of establishment of cell polarity",21,2,0.06,9,0.0015,0.00169,"FLOT2,KANK1"
"GO:0043501","skeletal muscle adaptation",25,2,0.07,12,0.00212,0.0024,"ACTA1,MYH7"
"GO:0048596","embryonic camera-type eye morphogenesis",25,2,0.07,13,0.00212,0.0024,"ARID1A,ZEB1"
"GO:0009649","entrainment of circadian clock",26,2,0.08,14,0.0023,0.00259,"ARNTL2,MTA1"
"GO:0010629","negative regulation of gene expression",1683,12,4.91,15,0.00155,0.00274,"ARID1A,CARHSP1,DGCR8,DOT1L,FLOT2,GDNF,MTA1,NFE2L3,RIPPLY1,RUNX3,ZEB1,ZNF417"
"GO:0010771","negative regulation of cell morphogenesis involved in differentiation",96,3,0.28,16,0.00231,0.00276,"KANK1,SEMA5A,ULK2"
"GO:0051954","positive regulation of amine transport",31,2,0.09,18,0.00326,0.00368,"GDNF,NTSR1"
"GO:0007162","negative regulation of cell adhesion",247,4,0.72,22,0.00463,0.00578,"KANK1,RUNX3,SEMA5A,TBCD"
"GO:0045580","regulation of T cell differentiation",126,3,0.37,23,0.00498,0.00592,"PIK3R6,RUNX3,ZEB1"
"GO:0071526","semaphorin-plexin signaling pathway",40,2,0.12,24,0.00538,0.00607,"GDNF,SEMA5A"
"GO:0001504","neurotransmitter uptake",41,2,0.12,25,0.00564,0.00637,"GDNF,NTSR1"
"GO:0061061","muscle structure development",588,6,1.72,27,0.00518,0.00703,"ACTA1,ARID1A,FLOT2,MYH7,NEB,ZEB1"
"GO:0007566","embryo implantation",48,2,0.14,29,0.00767,0.00865,"ARID1A,POLR1B"
"GO:0010977","negative regulation of neuron projection development",147,3,0.43,30,0.00762,0.00904,"KANK1,SEMA5A,ULK2"
"GO:0051253","negative regulation of RNA metabolic process",1252,9,3.65,33,0.00628,0.0095,"ARID1A,DOT1L,GDNF,MTA1,NFE2L3,RIPPLY1,RUNX3,ZEB1,ZNF417"
"GO:1902475","L-alpha-amino acid transmembrane transport",51,2,0.15,35,0.00862,0.00972,"NTSR1,SLC25A29"
"GO:0001755","neural crest cell migration",53,2,0.15,39,0.00929,0.01046,"GDNF,SEMA5A"
"GO:1903508","positive regulation of nucleic acid-templated transcription",1507,10,4.4,41,0.00683,0.01066,"ARID1A,ARNTL2,DOT1L,GDNF,MAML3,MTA1,NFE2L3,RGMB,RUNX3,ZEB1"
"GO:0045815","positive regulation of gene expression, epigenetic",58,2,0.17,43,0.01105,0.01244,"ARID1A,POLR1B"
"GO:0050918","positive chemotaxis",59,2,0.17,44,0.01141,0.01285,"GDNF,SEMA5A"
"GO:0010812","negative regulation of cell-substrate adhesion",59,2,0.17,45,0.01141,0.01285,"KANK1,TBCD"
"GO:0010628","positive regulation of gene expression",1816,11,5.3,47,0.00878,0.01403,"ACTA1,ARID1A,ARNTL2,DOT1L,GDNF,MAML3,NFE2L3,POLR1B,RGMB,RUNX3,ZEB1"
"GO:0030832","regulation of actin filament length",175,3,0.51,49,0.01223,0.01446,"KANK1,NEB,SEMA5A"
"GO:0042692","muscle cell differentiation",325,4,0.95,50,0.01195,0.01477,"ACTA1,ARID1A,NEB,ZEB1"
"GO:0030239","myofibril assembly",65,2,0.19,53,0.01373,0.01545,"ACTA1,NEB"
"GO:0007626","locomotory behavior",180,3,0.53,54,0.01319,0.01558,"GDNF,MTA1,NTSR1"
"GO:0045892","negative regulation of transcription, DNA-templated",1128,8,3.29,55,0.01091,0.01566,"ARID1A,DOT1L,MTA1,NFE2L3,RIPPLY1,RUNX3,ZEB1,ZNF417"
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",67,2,0.2,59,0.01455,0.01636,"CASP2,GDNF"
"GO:0038034","signal transduction in absence of ligand",67,2,0.2,60,0.01455,0.01636,"CASP2,GDNF"
"GO:0032272","negative regulation of protein polymerization",68,2,0.2,64,0.01496,0.01683,"KANK1,TBCD"
"GO:0001910","regulation of leukocyte mediated cytotoxicity",68,2,0.2,65,0.01496,0.01683,"DNASE1,PIK3R6"
"GO:0050771","negative regulation of axonogenesis",69,2,0.2,67,0.01538,0.0173,"SEMA5A,ULK2"
"GO:0050870","positive regulation of T cell activation",188,3,0.55,68,0.01481,0.01748,"FLOT2,PIK3R6,RUNX3"
