"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0032099","negative regulation of appetite",11,2,0.03,1,2e-04,0.00051,"GHSR,NPFF"
"GO:0045408","regulation of interleukin-6 biosynthetic process",13,2,0.04,3,0.00028,0.00072,"CEBPB,GHSR"
"GO:0060135","maternal process involved in female pregnancy",59,3,0.18,6,2e-04,8e-04,"GHSR,NPFF,PGR"
"GO:0032467","positive regulation of cytokinesis",29,2,0.09,12,0.00141,0.00361,"CXCR5,OR2A4"
"GO:0046676","negative regulation of insulin secretion",37,2,0.11,15,0.0023,0.00584,"GHSR,NPFF"
"GO:0007276","gamete generation",608,6,1.88,20,0.00095,0.01088,"BOLL,GHSR,ODF3,PGR,PLPP3,SSTR3"
"GO:0050710","negative regulation of cytokine secretion",56,2,0.17,21,0.00519,0.013,"GHSR,PPP1R11"
"GO:0071222","cellular response to lipopolysaccharide",178,3,0.55,27,0.00479,0.01767,"CEBPB,CXCL9,GHSR"
"GO:0061180","mammary gland epithelium development",70,2,0.22,30,0.00801,0.01984,"CEBPB,PGR"
"GO:0050673","epithelial cell proliferation",351,4,1.09,36,0.00444,0.02309,"CEBPB,GHSR,PGR,SDR16C5"
"GO:0070098","chemokine-mediated signaling pathway",76,2,0.24,37,0.00938,0.02313,"CXCL9,CXCR5"
"GO:0007218","neuropeptide signaling pathway",76,2,0.24,38,0.00938,0.02313,"NPFF,SSTR3"
"GO:0048545","response to steroid hormone",367,4,1.14,42,0.00519,0.02665,"GHSR,NKX2-2,PGR,SSTR3"
"GO:0060456","positive regulation of digestive system process",10,1,0.03,47,0.0191,0.03052,"GHSR"
"GO:0031987","locomotion involved in locomotory behavior",10,1,0.03,48,0.0191,0.03052,"GHSR"
"GO:0060123","regulation of growth hormone secretion",10,1,0.03,49,0.0191,0.03052,"GHSR"
"GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress",10,1,0.03,50,0.0191,0.03052,"CEBPB"
"GO:2000253","positive regulation of feeding behavior",10,1,0.03,51,0.0191,0.03052,"GHSR"
"GO:0061042","vascular wound healing",10,1,0.03,52,0.0191,0.03052,"NDNF"
"GO:0009755","hormone-mediated signaling pathway",221,3,0.68,53,0.00869,0.03095,"GHSR,PGR,SSTR3"
"GO:0021510","spinal cord development",89,2,0.28,54,0.01269,0.03099,"NKX2-2,NPFF"
"GO:0008585","female gonad development",91,2,0.28,55,0.01324,0.03228,"CEBPB,PGR"
"GO:0071888","macrophage apoptotic process",11,1,0.03,56,0.02099,0.03352,"GHSR"
"GO:0044650","adhesion of symbiont to host cell",11,1,0.03,57,0.02099,0.03352,"LRRC15"
"GO:0021554","optic nerve development",11,1,0.03,58,0.02099,0.03352,"NKX2-2"
"GO:0021514","ventral spinal cord interneuron differentiation",11,1,0.03,59,0.02099,0.03352,"NKX2-2"
"GO:0006721","terpenoid metabolic process",93,2,0.29,60,0.0138,0.03359,"CYP2E1,SDR16C5"
"GO:0002456","T cell mediated immunity",94,2,0.29,61,0.01408,0.03426,"CD8A,IL1R1"
"GO:1990266","neutrophil migration",95,2,0.29,62,0.01437,0.03492,"CXCL9,IL1R1"
"GO:0046545","development of primary female sexual characteristics",96,2,0.3,63,0.01466,0.0356,"CEBPB,PGR"
"GO:0014061","regulation of norepinephrine secretion",12,1,0.04,64,0.02288,0.03651,"GHSR"
"GO:0002693","positive regulation of cellular extravasation",12,1,0.04,65,0.02288,0.03651,"IL1R1"
"GO:0021781","glial cell fate commitment",12,1,0.04,66,0.02288,0.03651,"NKX2-2"
"GO:0033604","negative regulation of catecholamine secretion",12,1,0.04,67,0.02288,0.03651,"GHSR"
"GO:0042574","retinal metabolic process",12,1,0.04,68,0.02288,0.03651,"SDR16C5"
"GO:0048521","negative regulation of behavior",12,1,0.04,69,0.02288,0.03651,"GHSR"
"GO:0014831","gastro-intestinal system smooth muscle contraction",12,1,0.04,70,0.02288,0.03651,"GHSR"
"GO:0030148","sphingolipid biosynthetic process",98,2,0.3,71,0.01524,0.03696,"B3GALT4,PLPP3"
"GO:0002065","columnar/cuboidal epithelial cell differentiation",101,2,0.31,74,0.01614,0.03904,"CEBPB,NKX2-2"
"GO:0048243","norepinephrine secretion",13,1,0.04,75,0.02476,0.0395,"GHSR"
"GO:0044406","adhesion of symbiont to host",13,1,0.04,76,0.02476,0.0395,"LRRC15"
"GO:0030252","growth hormone secretion",13,1,0.04,77,0.02476,0.0395,"GHSR"
"GO:1905564","positive regulation of vascular endothelial cell proliferation",14,1,0.04,78,0.02665,0.04247,"GHSR"
"GO:0051969","regulation of transmission of nerve impulse",14,1,0.04,79,0.02665,0.04247,"GHSR"
"GO:1904375","regulation of protein localization to cell periphery",107,2,0.33,80,0.01799,0.04333,"GHSR,LRRC15"
"GO:0016477","cell migration",1290,8,3.99,81,0.00257,0.04348,"CXCL9,CXCR5,DOCK10,IL1R1,LRRC15,MATN2,NDNF,PLPP3"
"GO:0002070","epithelial cell maturation",15,1,0.05,85,0.02852,0.04544,"PGR"
"GO:0033033","negative regulation of myeloid cell apoptotic process",15,1,0.05,86,0.02852,0.04544,"GHSR"
"GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane",15,1,0.05,87,0.02852,0.04544,"GHSR"
"GO:0099633","protein localization to postsynaptic specialization membrane",15,1,0.05,88,0.02852,0.04544,"GHSR"
"GO:1902683","regulation of receptor localization to synapse",15,1,0.05,89,0.02852,0.04544,"GHSR"
"GO:0046660","female sex differentiation",110,2,0.34,90,0.01895,0.04554,"CEBPB,PGR"
"GO:0009410","response to xenobiotic stimulus",260,3,0.8,91,0.01348,0.04647,"CYP2E1,GHSR,NPFF"
"GO:0006954","inflammatory response",638,5,1.97,93,0.00705,0.04669,"CEBPB,CXCL9,GHSR,IL1R1,NPFF"
"GO:0006720","isoprenoid metabolic process",112,2,0.35,94,0.0196,0.04704,"CYP2E1,SDR16C5"
"GO:0035067","negative regulation of histone acetylation",16,1,0.05,95,0.03039,0.04839,"SDR16C5"
"GO:0060850","regulation of transcription involved in cell fate commitment",16,1,0.05,96,0.03039,0.04839,"CEBPB"
"GO:0043567","regulation of insulin-like growth factor receptor signaling pathway",16,1,0.05,97,0.03039,0.04839,"GHSR"
"GO:0021513","spinal cord dorsal/ventral patterning",16,1,0.05,98,0.03039,0.04839,"NKX2-2"
"GO:0048535","lymph node development",16,1,0.05,99,0.03039,0.04839,"CXCR5"
"GO:0072574","hepatocyte proliferation",16,1,0.05,100,0.03039,0.04839,"CEBPB"
"GO:0072575","epithelial cell proliferation involved in liver morphogenesis",16,1,0.05,101,0.03039,0.04839,"CEBPB"
"GO:0050890","cognition",266,3,0.82,103,0.01433,0.04914,"CEBPB,GHSR,HLA-DRA"
"GO:0031644","regulation of neurological system process",115,2,0.36,104,0.0206,0.04932,"GHSR,NPFF"
