"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0015671","oxygen transport",11,2,0.03,1,9.4e-05,0.00038,"HBB,HBG2"
"GO:0042744","hydrogen peroxide catabolic process",28,2,0.08,3,0.00064,0.00255,"HBB,HBG2"
"GO:0070527","platelet aggregation",56,2,0.15,7,0.00254,0.00991,"FGB,HBB"
"GO:0010038","response to metal ion",338,4,0.91,10,0.00098,0.01267,"DAXX,FGB,IGFBP2,TAT"
"GO:0043507","positive regulation of JUN kinase activity",72,2,0.19,11,0.00416,0.016,"DAXX,TLR9"
"GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors",81,2,0.22,13,0.00524,0.01998,"DAXX,FGB"
"GO:0098869","cellular oxidant detoxification",94,2,0.25,16,0.00699,0.02637,"HBB,HBG2"
"GO:0045414","regulation of interleukin-8 biosynthetic process",10,1,0.03,17,0.01335,0.02654,"TLR9"
"GO:0006570","tyrosine metabolic process",10,1,0.03,18,0.01335,0.02654,"TAT"
"GO:0072584","caveolin-mediated endocytosis",10,1,0.03,19,0.01335,0.02654,"MLC1"
"GO:0032621","interleukin-18 production",10,1,0.03,20,0.01335,0.02654,"TLR9"
"GO:0006558","L-phenylalanine metabolic process",11,1,0.03,22,0.01467,0.02915,"TAT"
"GO:0006559","L-phenylalanine catabolic process",11,1,0.03,23,0.01467,0.02915,"TAT"
"GO:1902221","erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process",11,1,0.03,24,0.01467,0.02915,"TAT"
"GO:1902222","erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process",11,1,0.03,25,0.01467,0.02915,"TAT"
"GO:0045351","type I interferon biosynthetic process",11,1,0.03,26,0.01467,0.02915,"TLR9"
"GO:0042228","interleukin-8 biosynthetic process",11,1,0.03,27,0.01467,0.02915,"TLR9"
"GO:0045078","positive regulation of interferon-gamma biosynthetic process",11,1,0.03,28,0.01467,0.02915,"TLR9"
"GO:0106074","aminoacyl-tRNA metabolism involved in translational fidelity",12,1,0.03,29,0.016,0.03176,"VARS2"
"GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production",13,1,0.03,30,0.01732,0.03436,"TLR9"
"GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process",13,1,0.03,31,0.01732,0.03436,"TLR9"
"GO:0071397","cellular response to cholesterol",13,1,0.03,32,0.01732,0.03436,"MLC1"
"GO:0009635","response to herbicide",13,1,0.03,33,0.01732,0.03436,"DAXX"
"GO:0032645","regulation of granulocyte macrophage colony-stimulating factor production",14,1,0.04,35,0.01864,0.03696,"TLR9"
"GO:0032604","granulocyte macrophage colony-stimulating factor production",15,1,0.04,36,0.01996,0.03955,"TLR9"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion",15,1,0.04,37,0.01996,0.03955,"FGB"
"GO:0046838","phosphorylated carbohydrate dephosphorylation",15,1,0.04,38,0.01996,0.03955,"G6PC"
"GO:0045072","regulation of interferon-gamma biosynthetic process",15,1,0.04,39,0.01996,0.03955,"TLR9"
"GO:0050880","regulation of blood vessel size",119,2,0.32,40,0.01101,0.04061,"FGB,HBB"
"GO:0035150","regulation of tube size",120,2,0.32,41,0.01118,0.04123,"FGB,HBB"
"GO:0031424","keratinization",120,2,0.32,42,0.01118,0.04123,"KRTAP10-2,KRTAP9-9"
"GO:0050671","positive regulation of lymphocyte proliferation",121,2,0.32,43,0.01136,0.04186,"IGFBP2,TLR9"
"GO:0017085","response to insecticide",16,1,0.04,44,0.02128,0.04213,"DAXX"
"GO:0007379","segment specification",16,1,0.04,45,0.02128,0.04213,"RIPPLY1"
"GO:0043567","regulation of insulin-like growth factor receptor signaling pathway",16,1,0.04,46,0.02128,0.04213,"IGFBP2"
"GO:0070293","renal absorption",16,1,0.04,47,0.02128,0.04213,"HBB"
"GO:0042095","interferon-gamma biosynthetic process",16,1,0.04,48,0.02128,0.04213,"TLR9"
"GO:0032780","negative regulation of ATPase activity",16,1,0.04,49,0.02128,0.04213,"TLR9"
"GO:0032946","positive regulation of mononuclear cell proliferation",122,2,0.33,50,0.01154,0.04248,"IGFBP2,TLR9"
