"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"126","ENSG00000237733","RNF39","CHR_HSCHR6_MHC_MANN_CTG1",30065423,30071044,"ring finger protein 39 [Source:HGNC Symbol;Acc:HGNC:18064]",1.5855507091487,-28.1446289193621,4.23977019426767,-6.63824396836759,3.17442146125055e-11,5.74379819198675e-08,1
"153","ENSG00000272647","AC005020.2","7",99558695,99607810,"novel transcript",0.439581661071023,-27.6750575705433,4.32214618377748,-6.40308226371829,1.52271093095417e-10,1.5250450688158e-07,1.42628735242346
"55","ENSG00000145808","ADAMTS19","5",129460281,129738683,"ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]",0.46812405340241,-27.1407928242687,4.28325655431181,-6.33648544749134,2.35065372304999e-10,3.18995463486499e-07,1
"151","ENSG00000270987","AL133338.2","6",100889603,100890338,"mitogen-activated protein kinase 1 interacting protein 1-like (MAPK1IP1L) pseudogene",0.346778310591319,-26.6415129848212,4.32715879256674,-6.15681426588421,7.42228094061878e-10,8.75861421779715e-07,1
"114","ENSG00000225907","RPS27P16","7",30167804,30168004,"ribosomal protein S27 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36560]",0.320725153400223,-23.9487539199045,4.32794324797867,-5.53351847464488,3.13869906105111e-08,2.13309628844733e-05,1.42628735242346
"143","ENSG00000257316","AC087311.1","12",32985838,32987070,"argininosuccinate synthase 1 (ASS1) pseudogene",1.18533291065458,-22.5609510983955,3.86627360011752,-5.83532192282245,5.36868087623875e-09,1.16191315890349e-05,0.464468216016041
"50","ENSG00000143001","TMEM61","1",54980628,54992288,"transmembrane protein 61 [Source:HGNC Symbol;Acc:HGNC:27296]",0.575437614866522,-22.0080032573227,4.27066840582466,-5.15329245120191,2.55952327100421e-07,0.000274631408718732,0.702638952235632
"133","ENSG00000249006","AL136360.1","4",2088718,2090617,"pseudogene similar to part of HBS1-like",0.400995468592621,-21.2760057295937,4.2764600329402,-4.97514429357728,6.51990550178837e-07,0.000465675671642206,1
"144","ENSG00000259738","ZNF444P1","15",58865006,58865303,"zinc finger protein 444 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35157]",0.388500628156968,-21.1508676317589,4.27646508684983,-4.94587637270745,7.58020572288879e-07,0.000518933773442184,1
"48","ENSG00000139155","SLCO1C1","12",20695355,20753386,"solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]",0.440699077670114,-20.8141140627359,4.28240979307399,-4.86037419781705,1.17164078522659e-06,0.000757131013138925,1
