"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"52","ENSG00000275400","AC006001.4","7",66553805,66554199,"translocase of outer mitochondrial membrane 20 homolog (yeast) (TOMM20) pseudogene",1.88031747073459,20.1212764411558,3.05460549016444,6.58719317631835,4.48218958847438e-11,7.43628565919595e-07,0.801199790262464
"24","ENSG00000204006","C1orf185","1",51102221,51148086,"chromosome 1 open reading frame 185 [Source:HGNC Symbol;Acc:HGNC:28096]",0.528524432997159,18.4218326572668,4.26548841233251,4.31880968285017,1.56872984335971e-05,0.00428629945741419,4.86488208535915
"45","ENSG00000256349","AP002748.4","11",66509079,66533613,"novel protein",4.55174379193116,18.3093406124926,4.24020275397301,4.31803422497592,1.57425023523627e-05,0.0103181824196471,0.881757978750756
"25","ENSG00000214676","RPL9P16","4",168755816,168756382,"ribosomal protein L9 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36851]",0.383995841825681,17.8943941182965,4.27058812320636,4.19014749304867,2.78773187537941e-05,0.00707973392092921,4.18726764224125
"21","ENSG00000196993","NPIPB9","16",28751787,28772807,"nuclear pore complex interacting protein family member B9 [Source:HGNC Symbol;Acc:HGNC:41987]",0.390548432705039,17.3677581247147,4.27078044355726,4.06664738547144,4.7694325613978e-05,0.00935068085125528,4.18726764224125
"42","ENSG00000254743","OR10V3P","11",59741325,59742049,"olfactory receptor family 10 subfamily V member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15138]",0.313750918698449,17.2714811154189,4.28366485653182,4.03194033470733,5.53182329455046e-05,0.00935068085125528,4.86488208535915
"51","ENSG00000275049","AC011295.1","CHR_HSCHR15_5_CTG8",82403250,82412947,"",0.352190134175297,17.21551131983,4.298624937363,4.00488797480221,6.20468783532336e-05,0.0094505981072844,4.63880462540911
"53","ENSG00000282204","TRBV9","CHR_HSCHR7_2_CTG6",142413602,142414123,"T cell receptor beta variable 9 [Source:HGNC Symbol;Acc:HGNC:12246]",0.348866799344735,17.1570158106833,4.29862296785593,3.99128184513489,6.57171234254717e-05,0.0094505981072844,4.86488208535915
"20","ENSG00000188581","KRTAP1-1","17",41040541,41041450,"keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]",1.14778509744817,17.1312352661424,4.29677945594025,3.98699431558179,6.69156281805264e-05,0.0209467925572977,0.801199790262464
"5","ENSG00000105675","ATP4A","19",35550043,35563658,"ATPase H+/K+ transporting subunit alpha [Source:HGNC Symbol;Acc:HGNC:819]",0.406668930529013,17.0346269986834,4.25792058193588,4.00069157488573,6.31576322299055e-05,0.0094505981072844,4.86488208535915
"56","ENSG00000285404","Z82190.2","22",31754899,31956243,"novel protein, DEPDC5-YWHAH readthrough",1.04405940665371,16.3798085555637,4.28754798480961,3.82032075526522,0.000133278234401105,0.0425158529093562,0.586889926418391
"30","ENSG00000230419","AL845454.1","CHR_HSCHR6_MHC_QBL_CTG1",29878575,29879543,"HLA complex group 4 pseudogene 7",0.405387110384336,16.3430709471836,4.29862624838359,3.80192880302842,0.000143573989524031,0.015649562101989,3.82026690466552
"44","ENSG00000254974","AP001372.4","11",74485580,74486051,"ribosomal L24 domain containing 1 (RSL24D1) pseudogene",0.337822591986947,16.2664487183546,4.29919265713984,3.7836054384165,0.000154572798033493,0.015649562101989,3.82026690466552
"29","ENSG00000229942","IFITM4P","CHR_HSCHR6_MHC_SSTO_CTG1",29748420,29748840,"interferon induced transmembrane protein 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:21669]",0.272426924858011,16.0326628309422,4.30004287208286,3.72848906577907,0.000192631265321142,0.0241751981033823,1.83499227021235
"41","ENSG00000253333","AC146944.3","5",70495100,70500903,"glucuronidase, beta (GUSB) pseudogene",0.265815423212171,16.0078028376887,4.30004092541635,3.72270941494325,0.000197096314708735,0.0260879284769911,1.70213329202974
"8","ENSG00000132911","NMUR2","5",152391532,152433368,"neuromedin U receptor 2 [Source:HGNC Symbol;Acc:HGNC:16454]",0.396577132638659,16.0002931599758,4.28366558522705,3.73518726932268,0.000187575549749827,0.015649562101989,4.86488208535915
"15","ENSG00000168004","HRASLS5","11",63461404,63491194,"HRAS like suppressor family member 5 [Source:HGNC Symbol;Acc:HGNC:24978]",0.403378173849709,15.9585515932617,4.29478595569616,3.7157967260501,0.000202564388799222,0.015649562101989,4.63880462540911
"27","ENSG00000227315","NEU1","CHR_HSCHR6_MHC_COX_CTG1",31845195,31850443,"neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]",0.975943990979198,15.9399881388047,4.27409919649656,3.72943804202545,0.000191907285453014,0.0228411342468869,1.99430894867719
"55","ENSG00000284764","PINX1","CHR_HG76_PATCH",9112146,9226509,"PIN2 (TERF1) interacting telomerase inhibitor 1 [Source:NCBI gene;Acc:54984]",0.204260356350152,15.854675782999,4.30144858884935,3.68589219550341,0.000227902815219505,0.0280550638507214,1.75606631202999
"50","ENSG00000272741","AC069257.3","3",196248230,196318222,"novel transcript",0.202693555192168,15.836815093758,4.30144681052526,3.68174146777934,0.000231646249323113,0.0294603845890558,1.61865453785141
"19","ENSG00000182747","SLC35D3","6",136922301,136925660,"solute carrier family 35 member D3 [Source:HGNC Symbol;Acc:HGNC:15621]",0.202693555192168,15.8368144848202,4.30144681046857,3.68174132626205,0.000231646377932002,0.0280550638507214,1.75606631202999
