"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"67","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",61.8699363668858,29.5833429281696,3.96785645845904,7.45574927870719,8.93585308544399e-14,1.19232665518579e-09,0.996202061084979
"100","ENSG00000258524","NT5CP1","14",73571159,73571667,"5',3'-nucleotidase, cytosolic pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20046]",0.504204575069556,18.8381233437694,4.26314225329275,4.41883526856729,9.92342469274483e-06,0.00339290448932526,2.10147817732671
"68","ENSG00000204006","C1orf185","1",51102221,51148086,"chromosome 1 open reading frame 185 [Source:HGNC Symbol;Acc:HGNC:28096]",0.528524432997159,18.5931541750939,4.2654708459399,4.35899220663807,1.30662765356781e-05,0.00514938259224131,1.40537463908937
"83","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",26.6743196751361,18.5822818172187,4.27052708633015,4.3512853194867,1.35341796306017e-05,0.0160885880255243,0.217126806714043
"54","ENSG00000180871","CXCR2","2",218125289,218137251,"C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]",0.457100981685739,18.1905865143626,4.26578724137178,4.26429765130831,2.00531978032518e-05,0.00677392155763136,1.40537463908937
"71","ENSG00000214676","RPL9P16","4",168755816,168756382,"ribosomal protein L9 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36851]",0.383995841825681,17.9287309463785,4.2705877207171,4.19818819302182,2.69058995568747e-05,0.00637146355073932,2.10147817732671
"86","ENSG00000235299","MRPL53P1","1",112625906,112626224,"mitochondrial ribosomal protein L53 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29725]",0.382337840591676,17.8365008511618,4.27065727617301,4.17652358822512,2.9599806080163e-05,0.0084381693633603,1.48228735176083
"109","ENSG00000275049","AC011295.1","CHR_HSCHR15_5_CTG8",82403250,82412947,"",0.352190134175297,17.2209279641311,4.29862510955566,4.00614790200004,6.1717012138373e-05,0.00924189495627802,2.63737012802671
"111","ENSG00000282204","TRBV9","CHR_HSCHR7_2_CTG6",142413602,142414123,"T cell receptor beta variable 9 [Source:HGNC Symbol;Acc:HGNC:12246]",0.348866799344735,17.1524394925913,4.29862298387036,3.99021722932019,6.60128079151177e-05,0.0140946138503817,1.48228735176083
"63","ENSG00000188581","KRTAP1-1","17",41040541,41041450,"keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]",1.14778509744817,17.1388216987572,4.29677947082823,3.9887599107928,6.64196028129616e-05,0.0169884109411266,0.944903583176816
"81","ENSG00000232344","AC087163.2","17",18010643,18011822,"ribosomal protein S2 (RPS2) pseudogene",0.446796233731938,17.0884308390268,4.27634735015856,3.99603433486132,6.441239598814e-05,0.0147751773755363,1.34764332427841
"80","ENSG00000230419","AL845454.1","CHR_HSCHR6_MHC_QBL_CTG1",29878575,29879543,"HLA complex group 4 pseudogene 7",0.405387110384336,16.3523962942606,4.29862599125637,3.80409840900841,0.00014232159680342,0.0203958321416451,1.40537463908937
"99","ENSG00000254974","AP001372.4","11",74485580,74486051,"ribosomal L24 domain containing 1 (RSL24D1) pseudogene",0.337822591986947,16.2764992613785,4.2991924598891,3.78594338663274,0.000153126536465351,0.0215766553285639,1.34764332427841
"113","ENSG00000285013","AC243837.4","CHR_HSCHR7_3_CTG4_4",144396023,144396316,"",0.644849518491627,16.1364711131883,4.27692440998017,3.77291473179511,0.000161351443730762,0.0422997997853417,0.431522401780918
