"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"21","ENSG00000220793","RPL21P119","16",9156402,9156881,"ribosomal protein L21 pseudogene 119 [Source:HGNC Symbol;Acc:HGNC:35614]",1.33123433928356,21.0448286056613,4.24284407574663,4.96007589012281,7.04656453366261e-07,0.00200916861814655,0.582743891041093
"58","ENSG00000283976","AC244216.3","CHR_HG1342_HG2282_PATCH",13185912,13187021,"",0.84529341416719,18.6682593959832,4.29699417964626,4.34449259540771,1.39597951849937e-05,0.00845453021172998,1.02137752085457
"4","ENSG00000111780","AL021546.1","12",120438198,120460006,"novel protein",0.911338649792569,18.2985197137639,4.27153637482986,4.28382626485132,1.83706381559808e-05,0.0107694954828737,0.896407996101938
"59","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",4.31752520935488,17.9764127705607,4.29601971072317,4.18443442558942,2.85876951668049e-05,0.0122242343483052,0.901042029613993
"9","ENSG00000135925","WNT10A","2",218880852,218899581,"Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]",0.653845804100093,17.9070888146617,4.26379409869654,4.1998014913844,2.67149092032327e-05,0.0124866564514504,0.812542646085949
"57","ENSG00000283765","AC131160.1","3",183815568,183884889,"presenilin associated rhomboid like [Source:NCBI gene;Acc:55486]",2.66158404569105,17.8331306548382,4.26766488271648,4.17866237038906,2.93228615108129e-05,0.0156100119493706,0.601674611212638
"29","ENSG00000231759","CYP21A1P","CHR_HSCHR6_MHC_DBB_CTG1",31987818,31990633,"cytochrome P450 family 21 subfamily A member 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:2599]",0.359887684056897,17.582827103717,4.2706876552615,4.11709507298079,3.8367782644335e-05,0.00765744362919215,3.59452539446123
"55","ENSG00000275758","DDTL","CHR_HSCHR22_1_CTG7",23966902,23972534,"D-dopachrome tautomerase like [Source:HGNC Symbol;Acc:HGNC:33446]",2.03349593276608,17.4788989407084,4.29625885206139,4.06839986662392,4.73370957127609e-05,0.0224951716366964,0.582743891041093
"46","ENSG00000258917","ZMYND19P1","14",77696591,77697377,"zinc finger MYND-type containing 19 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44540]",0.369226127112254,17.001035665463,4.25799197907368,3.99273548400659,6.53154160464105e-05,0.00962070455644929,3.78048475710283
"2","ENSG00000100101","Z83844.1","22",37686414,37726503,"novel transcript",0.247425639912182,16.7421342441967,4.30003766778987,3.89348548493105,9.8814117543773e-05,0.0156608457644634,1.93004700424043
"44","ENSG00000253203","GUSBP3","5",69639459,69679259,"glucuronidase, beta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37301]",0.860806402453705,16.712360468463,3.80057994971246,4.39731848549257,1.09596471007643e-05,0.00765744362919215,1.00130372031962
"45","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",3.24392896102721,16.567850858869,4.26770917061535,3.88214149477297,0.000103540598042703,0.0248627687911781,1.00648001840698
