"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"55","ENSG00000285404","Z82190.2","22",31754899,31956243,"novel protein, DEPDC5-YWHAH readthrough",0.815470327922803,19.1588227883187,4.27048425834255,4.48633495156697,7.24587994863072e-06,0.00437558388478464,1.1312312027385
"24","ENSG00000177947","ODF3","11",196738,200261,"outer dense fiber of sperm tails 3 [Source:HGNC Symbol;Acc:HGNC:19905]",0.610346554925942,17.8984764819583,4.2533603533933,4.20807902337243,2.57550805178511e-05,0.0110429675346808,0.963922186200738
"27","ENSG00000213368","ST13P11","11",94913047,94913766,"ST13, Hsp70 interacting protein pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:38746]",0.430323458488491,17.6337590148838,4.28251439014982,4.1176181580249,3.82808272378873e-05,0.00742941194021456,2.68936269380378
"53","ENSG00000283976","AC244216.3","CHR_HG1342_HG2282_PATCH",13185912,13187021,"",0.934489101809973,17.5865923653469,4.29698853278918,4.09277153782196,4.26247639978229e-05,0.00819659144698288,2.56620799943671
"48","ENSG00000277131","MMEL1","CHR_HSCHR1_1_CTG3",2590639,2632987,"membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]",1.22330375520758,17.3415221650477,3.96069385681875,4.37840509566081,1.19550980302403e-05,0.00738509027313228,0.878725387607565
"9","ENSG00000130283","GDF1","19",18868545,18896158,"growth differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:4214]",1.41717509125328,17.2325493115599,4.29651531417817,4.01081994394244,6.05082435170728e-05,0.0195640249202146,0.82296622519473
"18","ENSG00000160683","CXCR5","11",118883766,118897799,"C-X-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1060]",1.23079790604092,17.1656844891095,4.29662749867175,3.9951530576984,6.46524711610021e-05,0.0314466963315539,0.44640179719484
"30","ENSG00000228668","TRGV5P","7",38345030,38345499,"T cell receptor gamma variable 5P (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12291]",0.377758238519584,17.1149598276328,4.27651784541096,4.00207843070234,6.27884764877223e-05,0.00990094026434896,2.68936269380378
"34","ENSG00000237972","TUBG1P","7",43918697,43920054,"tubulin gamma 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:12418]",0.489320103617368,17.0019241921521,4.15069906503542,4.09615920734234,4.20061103210488e-05,0.00819659144698288,2.56620799943671
"14","ENSG00000139574","NPFF","12",53506690,53507638,"neuropeptide FF-amide peptide precursor [Source:HGNC Symbol;Acc:HGNC:7901]",0.375076001380623,16.9728556837722,4.27651365455942,3.96885338263248,7.22192979072014e-05,0.0110429675346808,2.68936269380378
"49","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",0.478399986481554,16.4178135148268,4.29791297895209,3.81995019332144,0.000133478624728912,0.0117051795032151,4.6116479013287
"50","ENSG00000277322","GOLGA6L6","15",20531856,20541800,"golgin A6 family-like 6 [Source:HGNC Symbol;Acc:HGNC:37225]",0.369697849892158,16.4065964866086,4.29862441681482,3.81670853178784,0.000135243775887627,0.0117051795032151,4.6116479013287
"8","ENSG00000125820","NKX2-2","20",21511010,21514026,"NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]",0.418599988171359,16.3355576783082,4.29821814058296,3.80054179290506,0.000144380063748509,0.0158915672901004,2.56620799943671
"17","ENSG00000153563","CD8A","2",86784610,86808396,"CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]",0.271986069222248,16.2771396175889,4.28273543187002,3.80064094000819,0.000144322302321396,0.0265145996526584,1.25196506977813
"40","ENSG00000254959","INMT-MINDY4","7",30752137,30892081,"INMT-MINDY4 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41995]",0.639451231411148,16.1616962308572,4.28223877362786,3.77412308962986,0.000160571470341703,0.0171540700886082,2.56620799943671
"38","ENSG00000248128","AC114801.1","4",78003143,78003439,"transmembrane protein 128 (TMEM128) pseudogene",0.288002988937087,16.1542875868861,4.29919280346665,3.75751642816766,0.000171608103921805,0.018026913371939,2.58370107652031
"42","ENSG00000262539","AC005829.2","17",46259551,46260606,"dead end homolog 1 (zebrafish) (DND1) pseudogene",0.239199993240777,15.9284744469577,4.30004017452554,3.70426177441824,0.000212007239063914,0.0233151523614086,2.30650552800173
"52","ENSG00000282402","IGKV3-20","CHR_HG2290_PATCH",89142574,89143160,"immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]",0.250337504944689,15.8985773051636,4.30004025665692,3.6973089450851,0.0002178970979205,0.0235231941668963,2.30650552800173
"36","ENSG00000239951","IGKV3-20","2",89142574,89143160,"immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]",0.250337504944689,15.8985773051636,4.30004025665692,3.6973089450851,0.0002178970979205,0.02114436152292,2.68936269380378
"16","ENSG00000152430","BOLL","2",197726879,197786762,"boule homolog, RNA binding protein [Source:HGNC Symbol;Acc:HGNC:14273]",0.230402391149669,15.7821965077875,4.30004022921896,3.67024392017238,0.000242319124203941,0.0475422575214676,1.00974838777218
"28","ENSG00000222740","RNA5SP328","10",126145474,126145582,"RNA, 5S ribosomal pseudogene 328 [Source:HGNC Symbol;Acc:HGNC:43228]",0.230402391149669,15.7821963915241,4.30004022921958,3.67024389313408,0.000242319149836751,0.0235231941668963,2.58370107652031
"25","ENSG00000206285","B3GALT4","CHR_HSCHR6_MHC_QBL_CTG1",33205959,33207652,"beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]",2.75360534840184,15.7796059677828,4.21277848252925,3.74565290656087,0.000179925216256464,0.0383797349180433,0.963922186200738
"51","ENSG00000278195","SSTR3","22",37204237,37212477,"somatostatin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11332]",0.196035688083938,15.666106105141,4.3014480591127,3.64205399899041,0.000270471317875258,0.024590916052595,2.68936269380378
"47","ENSG00000274273","ATP9B","CHR_HSCHR18_2_CTG2_1",79074837,79074964,"ATPase phospholipid transporting 9B (putative) [Source:HGNC Symbol;Acc:HGNC:13541]",0.196035688083938,15.6661060063998,4.30144805911242,3.64205397603533,0.000270471341999683,0.0253680340575482,2.58370107652031
"54","ENSG00000284764","PINX1","CHR_HG76_PATCH",9112146,9226509,"PIN2 (TERF1) interacting telomerase inhibitor 1 [Source:NCBI gene;Acc:54984]",0.546187115326928,15.6597968473962,4.28998640539653,3.65031386292908,0.000261920060255514,0.0158915672901004,4.6116479013287
"20","ENSG00000170786","SDR16C5","8",56300010,56320776,"short chain dehydrogenase/reductase family 16C member 5 [Source:HGNC Symbol;Acc:HGNC:30311]",0.184848924946079,15.572647690711,4.30144004187748,3.62033354855595,0.000294223480102828,0.0264164859519971,2.58370107652031
"33","ENSG00000236430","KRT8P29","1",203872574,203874187,"keratin 8 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:33381]",0.184848924946079,15.572647690711,4.30144004187748,3.62033354855595,0.000294223480102828,0.0264164859519971,2.58370107652031
"35","ENSG00000238199","UBE2V2P3","1",11278616,11279351,"ubiquitin conjugating enzyme E2 V2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44891]",0.184848924946079,15.5726471212004,4.30144004200943,3.62033341604491,0.000294223630792514,0.0283784757418825,2.30650552800173
"44","ENSG00000270434","AC012044.1","10",45812648,45812944,"ataxin 1-like (ATXN1L) pseudogene",0.184848924946079,15.5726471212004,4.30144004200943,3.62033341604491,0.000294223630792514,0.0283784757418825,2.30650552800173
"45","ENSG00000270495","AC008825.2","5",28808538,28809255,"PQ loop repeat containing 1 (PQLC1) pseudogene",0.184848924946079,15.5726469907817,4.30144004201568,3.62033338571988,0.000294223665277723,0.0258199995233754,2.68936269380378
"29","ENSG00000226540","GAPDHP73","6",135619165,135620171,"glyceraldehyde-3-phosphate dehydrogenase pseudogene 73 [Source:HGNC Symbol;Acc:HGNC:22956]",0.473069777840079,15.3740059026612,4.28074946776301,3.59142856138581,0.000328870328306083,0.0191634201554438,4.6116479013287
