"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"96","ENSG00000145808","ADAMTS19","5",129460281,129738683,"ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]",0.46812405340241,-28.329929542646,4.30492521566375,-6.58081804523937,4.67866869454298e-11,1.17786219338307e-07,0.770061871122792
"215","ENSG00000270987","AL133338.2","6",100889603,100890338,"mitogen-activated protein kinase 1 interacting protein 1-like (MAPK1IP1L) pseudogene",0.346778310591319,-26.4688216512333,4.30913492444346,-6.14249080507773,8.12373818316785e-10,1.68425258141827e-06,0.770061871122792
"216","ENSG00000272647","AC005020.2","7",99558695,99607810,"novel transcript",0.439581661071023,-26.2635502655133,4.28610937975354,-6.12759683399014,8.92163028089848e-10,2.14562932802748e-06,0.626964375882284
"175","ENSG00000225907","RPS27P16","7",30167804,30168004,"ribosomal protein S27 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36560]",0.320725153400223,-24.1523017818433,4.30972797509982,-5.60413602004285,2.09296304237103e-08,2.95067770854138e-05,0.770061871122792
"10","ENSG00000073734","ABCB11","2",168915498,169031324,"ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]",1.04300915981162,-21.7972752390928,4.02830840764168,-5.411024438383,6.26652185293369e-08,8.75080174604159e-05,0.626964375882284
"143","ENSG00000179799","OR7E22P","3",75356437,75362268,"olfactory receptor family 7 subfamily E member 22 pseudogene [Source:HGNC Symbol;Acc:HGNC:8394]",0.529354541752148,-21.5192393842014,4.2734433568664,-5.03557379545587,4.76419539953807e-07,0.000434829464789441,0.753816657625192
"180","ENSG00000233924","RPSAP13","14",55004813,55005687,"ribosomal protein SA pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:6505]",0.578451753168975,-20.9421173160812,4.25914213553977,-4.91698014521114,8.7889461706652e-07,0.000684502191960587,0.792018142459994
"110","ENSG00000160683","CXCR5","11",118883766,118897799,"C-X-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1060]",1.23079790604092,-20.2703827753703,4.296629618666,-4.71774031610939,2.38478622709855e-06,0.00148585859383669,0.792018142459994
"59","ENSG00000130283","GDF1","19",18868545,18896158,"growth differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:4214]",1.41717509125328,-19.6224798490009,4.29651807369065,-4.56706558949616,4.94599285105181e-06,0.00245637748872795,0.792018142459994
"229","ENSG00000285708","AC097634.4","3",70959226,71754229,"novel protein",0.994779108308902,-19.4355139544419,4.09915928026343,-4.74134148629444,2.12307732876152e-06,0.00161240426109379,0.626964375882284
"226","ENSG00000283976","AC244216.3","CHR_HG1342_HG2282_PATCH",13185912,13187021,"",0.934489101809973,-18.7311550208131,4.29699017836798,-4.35913377580195,1.30578276272828e-05,0.00883853775245763,0.39700409029151
"206","ENSG00000259738","ZNF444P1","15",58865006,58865303,"zinc finger protein 444 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35157]",0.388500628156968,-18.3744700511399,4.3090979779529,-4.26411052734265,2.00700085271307e-05,0.00754805989089382,0.759651604181749
"219","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",0.478399986481554,-18.1603381350262,4.29791047721648,-4.22538771602978,2.38529737934361e-05,0.00852224306726742,0.759651604181749
"54","ENSG00000125820","NKX2-2","20",21511010,21514026,"NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]",0.418599988171359,-18.0801669031382,4.29822038234265,-4.20643087018355,2.59435393118633e-05,0.00896456616234218,0.770061871122792
"227","ENSG00000284218","NPIPB5","CHR_HG926_PATCH",21744964,21767544,"nuclear pore complex interacting protein family member B5 [Source:HGNC Symbol;Acc:HGNC:37233]",2.91971934188425,-18.0484978581752,4.2728939137691,-4.2239517812542,2.40055431758013e-05,0.00964734762822889,0.608424194080079
"220","ENSG00000277322","GOLGA6L6","15",20531856,20541800,"golgin A6 family-like 6 [Source:HGNC Symbol;Acc:HGNC:37225]",0.369697849892158,-18.0057894559269,4.29862758039108,-4.18872980252194,2.80520155114712e-05,0.00912014972551379,0.792018142459994
"178","ENSG00000230796","AC064862.1","7",57650381,57651119,"family with sequence similarity 27 (FAM27) pseudogene",0.62736681639362,-17.9227769756714,4.30796755315627,-4.16037882238461,3.17720157817076e-05,0.0115579493868296,0.626964375882284
"167","ENSG00000204710","SPDYC","11",65170154,65173244,"speedy/RINGO cell cycle regulator family member C [Source:HGNC Symbol;Acc:HGNC:32681]",0.523992746263832,-17.8781412278539,4.26941829452539,-4.18748878524711,2.82057953507074e-05,0.00912014972551379,0.792018142459994
"148","ENSG00000181741","FDX1P1","20",34475924,34476474,"ferredoxin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3640]",0.374501414131961,-17.7911192530965,4.28521700902257,-4.15174289088211,3.29952827859946e-05,0.0102011052467242,0.770061871122792
"184","ENSG00000237733","RNF39","CHR_HSCHR6_MHC_MANN_CTG1",30065423,30071044,"ring finger protein 39 [Source:HGNC Symbol;Acc:HGNC:18064]",1.5855507091487,-17.671186653051,4.32794324794836,-4.08304491086567,4.44494286245822e-05,0.0257731701522852,0.229590172918211
"228","ENSG00000284396","AC275455.2","CHR_HSCHR1_6_CTG3",108487922,108488296,"",0.525819059745175,-17.5621828338084,4.32794324796486,-4.05785885525804,4.95246827321268e-05,0.0128569657188406,0.792018142459994
"201","ENSG00000253569","VENTXP5","8",33722305,33723079,"VENT homeobox pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:32214]",0.435442080114751,-17.5288757790982,4.28053304361252,-4.09502171820752,4.22128814979684e-05,0.0117079891950706,0.792018142459994
"223","ENSG00000278695","GSTT2B","CHR_HSCHR22_1_CTG7",23957418,23961206,"glutathione S-transferase theta 2B (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:33437]",0.845967539750245,-17.5198890393107,4.27546721675981,-4.09777181091059,4.17146197321442e-05,0.0181643348915342,0.39700409029151
"173","ENSG00000222740","RNA5SP328","10",126145474,126145582,"RNA, 5S ribosomal pseudogene 328 [Source:HGNC Symbol;Acc:HGNC:43228]",0.230402391149669,-17.4079424859365,4.30004421114648,-4.04831709423173,5.15872252367628e-05,0.0193431532825366,0.423296453707453
"104","ENSG00000152430","BOLL","2",197726879,197786762,"boule homolog, RNA binding protein [Source:HGNC Symbol;Acc:HGNC:14273]",0.230402391149669,-17.4079423564731,4.30004421116154,-4.04831706411011,5.15872318745019e-05,0.0193174349186483,0.427441301181976
"194","ENSG00000248128","AC114801.1","4",78003143,78003439,"transmembrane protein 128 (TMEM128) pseudogene",0.288002988937087,-17.3982236122445,4.29919450791064,-4.04685658679347,5.19100226402262e-05,0.0183900028637942,0.484884363777145
"189","ENSG00000239951","IGKV3-20","2",89142574,89143160,"immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]",0.250337504944689,-17.3636054728725,4.30004289678256,-4.03800750124251,5.39071297560728e-05,0.0185280158129975,0.484884363777145
"224","ENSG00000282402","IGKV3-20","CHR_HG2290_PATCH",89142574,89143160,"immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]",0.250337504944689,-17.3636054728725,4.30004289678256,-4.03800750124251,5.39071297560728e-05,0.0185280158129975,0.484884363777145
