"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"24","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,20.0382109027636,4.23710757070959,4.72921930075234,2.25384829661299e-06,0.00864438792475746,0.0990213989320502
"55","ENSG00000249141","AL159163.1","6",166858094,166956124,"novel protein",0.84205720617122,19.241754279808,4.22114142227989,4.55842445321704,5.15387968985533e-06,0.00477186973466378,0.645058266917197
"65","ENSG00000272104","Z84492.2","3",50350892,50367923,"novel protein",0.834491690631406,18.4106685276517,4.26964063866038,4.31199486929845,1.61788189151527e-05,0.00951337678048047,0.60281981296321
"81","ENSG00000284554","AL022318.4","22",39014363,39033276,"novel protein",3.39799677684612,18.1269954409736,4.2684780409948,4.2467116538683,2.16930849843342e-05,0.0340590722877455,0.0990213989320502
"83","ENSG00000285404","Z82190.2","22",31754899,31956243,"novel protein, DEPDC5-YWHAH readthrough",1.04405940665371,17.822871651201,4.2734603970091,4.17059478629422,3.03805656587983e-05,0.0145632121174311,0.60281981296321
"75","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",3.38528793106693,17.7902984437759,4.29608552404199,4.14104848337327,3.4572186791268e-05,0.0423976797890733,0.100828420758516
"45","ENSG00000231287","HCG4B","CHR_HSCHR6_MHC_APD_CTG1",29920067,29921057,"HLA complex group 4B [Source:HGNC Symbol;Acc:HGNC:22919]",2.41039393603121,17.3364333236398,2.67674626115711,6.47668162470715,9.37617391532775e-11,1.61050676444707e-06,0.386936567175127
"52","ENSG00000239861","AP001486.1","11",103045237,103045712,"ribosomal protein L21 (RPL21) pseudogene",0.446204958947707,17.3313091031974,4.27363567401345,4.05540163579767,5.00482308958373e-05,0.00883364124458431,2.1214230780549
"57","ENSG00000251038","AC090958.1","3",11909634,11910765,"novel pseudogene",0.325464813298622,17.2923734400015,4.28358880652612,4.03688921160134,5.41646313214498e-05,0.0123195759714272,1.4610554850066
"61","ENSG00000266695","AC090958.2","CHR_HSCHR3_1_CTG1",11911555,11912686,"novel pseudogene",0.325464813298622,17.2923734400015,4.28358880652612,4.03688921160134,5.41646313214498e-05,0.00766864304718878,2.93395844858884
"60","ENSG00000256349","AP002748.4","11",66509079,66533613,"novel protein",4.55174379193116,17.2265446255442,4.24528945549631,4.05780213719968,4.95367086291523e-05,0.0248429674583032,0.386936567175127
