"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"60","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",26.6743196751361,-29.9994574873882,4.20654921115218,-7.13160740111045,9.92034998376628e-13,3.39977372793397e-08,0.699538319482918
"88","ENSG00000275300","MCCC2","CHR_HSCHR5_2_CTG1_1",70802600,70819771,"methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]",1.74134334271157,-29.9809957432101,4.25262376593551,-7.04999957517163,1.78918337427956e-12,3.39977372793397e-08,0.699538319482918
"97","ENSG00000286015","CR589904.2","1",248681249,248748349,"novel protein",0.569940538381134,-27.76230009368,4.26836381808581,-6.5042019089484,7.81069313174855e-11,4.06851913575102e-07,1.70125189681335
"16","ENSG00000154269","ENPP3","6",131628442,131747418,"ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]",0.727396212228331,-25.6583108958821,4.27205724903825,-6.0060784301658,1.90064277257238e-09,1.02687987193401e-05,1.23014846940354
"84","ENSG00000263045","AC090286.3","17",18986148,18986334,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (ATP5C1) pseudogene",0.319168757293609,-24.8909571560834,4.32496306095647,-5.75518375654722,8.65475990432486e-09,2.70763876776229e-05,1.69953831948292
"49","ENSG00000226984","AL035410.1","1",114459934,114460360,"ribosomal protein L26 (RPL26) pseudogene",0.261225993922343,-23.0572913601732,4.31896496169404,-5.33861505353111,9.36592638063622e-08,0.000226668080444978,0.998629410980822
"79","ENSG00000259753","AC068234.1","17",47253897,47344292,"novel transcript",2.1148858919434,-23.0424963023281,4.08300789643441,-5.64351010010305,1.66617747373451e-08,6.10151105914977e-05,1.11362402253635
"63","ENSG00000235680","HLA-G","CHR_HSCHR6_MHC_MANN_CTG1",29823861,29828018,"major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]",3.58232714151009,-22.0538912431513,4.29740422430465,-5.13190989072474,2.8681681214821e-07,0.00345164991906465,0.0960476385868901
"36","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",61.8699363668858,-21.5447994861362,4.04993246711108,-5.31979228322901,1.03885791656703e-07,0.000181768346134226,1.64497190122072
"72","ENSG00000244398","AC116533.1","11",16974693,16975013,"ribosomal protein L36a (RPL36A) pseudogene",5.40456714746395,-21.5193445750424,4.2959617759467,-5.0092029904759,5.46559027908893e-07,0.00138474870756648,0.699538319482917
"77","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",3.24392896102721,-20.8461223573818,4.26709597763915,-4.88531836795369,1.03261860820172e-06,0.00181167264421803,0.841829963862908
"10","ENSG00000134917","ADAMTS8","11",130404923,130428609,"ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:HGNC Symbol;Acc:HGNC:224]",0.490948818449818,-20.8051582111752,4.24658522948352,-4.89926778502584,9.61944655034329e-07,0.00107483548296744,1.98272968742186
"39","ENSG00000204420","MPIG6B","6",31718594,31726714,"megakaryocyte and platelet inhibitory receptor G6b [Source:HGNC Symbol;Acc:HGNC:13937]",1.05814879335772,-19.9913816693427,4.09117990167158,-4.88645871113481,1.02665845439449e-06,0.00114595085877649,1.70125189681335
"52","ENSG00000227587","ATP6V1G2","CHR_HSCHR6_MHC_COX_CTG1",31531911,31534293,"ATPase H+ transporting V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862]",0.571707378341336,-19.6700203561953,4.27107804300045,-4.60539942332147,4.11674919410395e-06,0.00292709913870106,1.69953831948292
"40","ENSG00000212802","RPL15P3","6",12514110,12514724,"ribosomal protein L15 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:21538]",0.897450902875688,-19.6008164472698,3.69870557401562,-5.29937191675129,1.16201718835491e-07,0.000181768346134226,1.69953831948292
"57","ENSG00000232724","TRIM80P","17",75074306,75079549,"tripartite motif containing 80, pseudogene [Source:HGNC Symbol;Acc:HGNC:51490]",0.324437440428706,-19.2461726987008,4.28359250097234,-4.49299803712237,7.02274322330008e-06,0.00411684426691665,1.74423769281961
"90","ENSG00000281429","FAM20C","CHR_HSCHR7_1_CTG1",196274,199037,"FAM20C, golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]",1.09305852420619,-19.159162136952,4.29672508315894,-4.45901512573997,8.23371111611029e-06,0.00613587864605417,1.23014846940354
"4","ENSG00000114547","ROPN1B","3",125969160,125983454,"rhophilin associated tail protein 1B [Source:HGNC Symbol;Acc:HGNC:31927]",0.296193880441776,-19.1091872607289,4.2837382575534,-4.46086714729458,8.16286839606022e-06,0.00468206502281115,1.69953831948292
"55","ENSG00000232230","TPM4P1","10",100114417,100115223,"tropomyosin 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45234]",0.303164340671442,-19.0848017007189,4.28369854886436,-4.45521585681571,8.38088282024412e-06,0.00468206502281115,1.69953831948292
"50","ENSG00000227315","NEU1","CHR_HSCHR6_MHC_COX_CTG1",31845195,31850443,"neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]",0.975943990979198,-18.7016698588299,4.27336445830231,-4.37633392642096,1.20692069959409e-05,0.00628674034276558,1.70125189681335
"35","ENSG00000196166","C8orf86","8",38510834,38560939,"chromosome 8 open reading frame 86 [Source:HGNC Symbol;Acc:HGNC:33774]",0.434364624621851,-18.6175217409792,4.27305368420805,-4.35695947602626,1.3188167340836e-05,0.00661391757459895,1.70125189681335
"91","ENSG00000281703","AC245690.2","CHR_HSCHR5_1_CTG1_1",69930714,69941207,"glucuronidase, beta (GUSB) pseudogene",0.855029407916014,-18.5228661960959,4.263368550521,-4.3446551656512,1.39494614579067e-05,0.00661391757459895,1.70125189681335
"22","ENSG00000169862","CTNND2","5",10971836,11904446,"catenin delta 2 [Source:HGNC Symbol;Acc:HGNC:2516]",0.348359808038885,-18.3218455763127,4.30285765336764,-4.25806453577964,2.06204426942381e-05,0.00967244052168263,1.61931201126818
"92","ENSG00000281887","GIMAP1-GIMAP5","7",150716668,150743646,"GIMAP1-GIMAP5 readthrough [Source:HGNC Symbol;Acc:HGNC:51257]",0.386796719560902,-18.0581632595233,4.29862724189476,-4.20091397633343,2.65839594451733e-05,0.0106626969592399,1.74423769281961
"68","ENSG00000237669","AL671277.2","6",30006121,30007116,"HLA complex group 4 pseudogene 3",0.427226883728811,-18.0256351061129,4.29822389469348,-4.193740379222,2.74392013302566e-05,0.0112620539199481,1.61931201126818
"62","ENSG00000235324","BX649210.2","CHR_HSCHR6_MHC_SSTO_CTG1",32621929,32622868,"protein kinase interferon-inducible double stranded RNA dependent activator (PRKRA) pseudogene",0.621567008739871,-17.9594095412824,4.28121634539442,-4.19493155504803,2.72953998136218e-05,0.0109368661049768,1.70125189681335
"82","ENSG00000262113","AC010614.1","CHR_HSCHR19_1_CTG3_1",34303449,34303913,"ribosomal protein L29 (RPL29) pseudogene",0.68637032181742,-17.9490292578715,4.30031679403394,-4.17388534788255,2.99448493930987e-05,0.0106626969592399,1.98272968742187
