"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"18","ENSG00000228589","SPCS2P4","1",28095742,28096422,"signal peptidase complex subunit 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45237]",8.63569678141608,24.7149434929026,4.2077459559856,5.87367767717657,4.26231733269323e-09,3.27311666902665e-05,0.589059126333295
"9","ENSG00000176595","KBTBD11","8",1973677,2006936,"kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]",1.81953754937979,19.5606939610982,4.2963386630095,4.55287524922356,5.29176555244417e-06,0.00864609881863673,0.775734878924512
"13","ENSG00000206501","PPP1R11","CHR_HSCHR6_MHC_QBL_CTG1",30056276,30059900,"protein phosphatase 1 regulatory inhibitor subunit 11 [Source:HGNC Symbol;Acc:HGNC:9285]",0.471454556858897,18.3210369669847,4.25923113003589,4.30148926123911,1.69653997601317e-05,0.00697911714522003,3.88097221121257
"21","ENSG00000232957","HLA-DOA","CHR_HSCHR6_MHC_SSTO_CTG1",33144838,33150271,"major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]",0.64521531803092,17.8000710683715,4.27159512774372,4.16707823097775,3.08528638910824e-05,0.0110943724093237,1.6059082545542
"35","ENSG00000273444","AC006023.2","7",40107288,40107454,"methionyl aminopeptidase 2 (METAP2) pseudogene",0.429351244262605,17.5484286446284,4.25015181678117,4.12889454332918,3.64511529276975e-05,0.00864609881863673,4.48530890313277
"6","ENSG00000135355","GJA10","6",89894469,89921760,"gap junction protein alpha 10 [Source:HGNC Symbol;Acc:HGNC:16995]",0.43559268755729,17.3992448084084,4.27360060022062,4.07133151551649,4.67451668674967e-05,0.00891723112326513,4.31140277029475
"15","ENSG00000215450","AL022342.1","20",47160838,47161700,"ribosomal protein S2 (RPS2) pseudogene",0.466062093218506,17.3766589678149,4.28253693152833,4.05756196517226,4.95876628498751e-05,0.00937253838250869,3.88097221121257
"40","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",4.19945495015987,17.1609554228541,4.28152897175289,4.00813717157407,6.11995721488914e-05,0.0267719048534931,0.633171830637399
"29","ENSG00000255524","NPIPB8","16",28637654,28658682,"nuclear pore complex interacting protein family member B8 [Source:HGNC Symbol;Acc:HGNC:37490]",0.302478752521457,17.0873731380251,4.30424267728616,3.96989073785187,7.19055979413202e-05,0.0108200165379622,4.3992309877788
"11","ENSG00000182896","TMEM95","17",7355123,7357219,"transmembrane protein 95 [Source:HGNC Symbol;Acc:HGNC:27898]",0.303256258229965,16.9233154575202,4.29919058397086,3.93639573007468,8.27145346174225e-05,0.0115897956313187,3.88097221121257
"34","ENSG00000273259","AL049839.2","14",94592058,94624646,"novel transcript",0.242605006583972,16.8819470176862,4.30003971943972,3.92599792540658,8.63708996134833e-05,0.0196473943811472,1.48079743127021
"12","ENSG00000198173","FAM47C","X",37008397,37011666,"family with sequence similarity 47 member C [Source:HGNC Symbol;Acc:HGNC:25301]",0.242605006583972,16.8819468781422,4.30003971948147,3.92599789291665,8.63709112734862e-05,0.018429747824208,1.65341933802325
"42","ENSG00000285635","AC021660.3","3",98521133,98585498,"novel transcript",0.242605006583972,16.8819243429586,4.30003971971341,3.92599265201293,8.63727921510068e-05,0.019291029111004,1.53822659757003
"28","ENSG00000255432","AP001458.2","11",62649694,62665178,"novel protein",0.242605006583972,16.8819243429586,4.30003971971341,3.92599265201293,8.63727921510068e-05,0.018429747824208,1.65341933802325
"2","ENSG00000100346","CACNA1I","22",39570753,39689737,"calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]",0.30968932045133,16.8615821530068,4.27692132981457,3.94245786927717,8.06508208802731e-05,0.0110394997984524,4.31140277029475
"27","ENSG00000249141","AL159163.1","6",166858094,166956124,"novel protein",0.780633898547132,16.8248320936756,4.27498767879497,3.93564458141742,8.29736932905696e-05,0.018429747824208,1.63862244688441
"41","ENSG00000285505","AC010616.2","19",41956879,41994232,"novel protein, ATP1A3-RABAC1 readthrough",0.640598840500808,16.8198732046014,4.2793271123471,3.93049485655612,8.47712071040304e-05,0.018429747824208,1.65341933802325
"39","ENSG00000285446","Z84488.2","6",116399395,116463696,"novel protein",5.19007902767848,16.1517046613199,4.27415290030899,3.77892533047945,0.000157506641368476,0.0300469765885059,1.39483798396121
"24","ENSG00000237748","UQCRBP1","X",56737242,56737577,"ubiquinol-cytochrome c reductase binding protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12583]",0.253600495603744,16.0818163033954,4.30004080719253,3.73992178783418,0.00018407752256971,0.0309326402108386,1.53822659757003
"4","ENSG00000125695","AC046185.1","17",63702845,63752097,"novel transcript",0.253600495603743,16.0818158606095,4.30004080721859,3.73992168483902,0.000184077597994699,0.0318291664996873,1.48079743127021
"20","ENSG00000232816","HLA-K","CHR_HSCHR6_MHC_MANN_CTG1",29917230,29920003,"major histocompatibility complex, class I, K (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4969]",0.55945866580797,15.9365791847823,4.27808220162687,3.72516899715531,0.000195184415558246,0.0309326402108386,1.65341933802325
"16","ENSG00000225117","ARSDP1","Y",12354096,12387328,"arylsulfatase D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:718]",0.244510262518121,15.9112496858827,4.30004042133944,3.70025584106635,0.000215382217324149,0.0369548724568579,1.45123412822822
"33","ENSG00000271949","AC093423.3","1",89633140,89933250,"novel transcript, LRRC8C-LRRC8D readthrough",0.244510262518121,15.911239291928,4.30004042133443,3.70025342389461,0.000215384268924013,0.0330425103770616,1.65341933802325
"23","ENSG00000236930","AC099782.1","3",45883640,45884113,"succinate dehydrogenase complex, subunit D, integral membrane protein (SDHD) pseudogene",0.190200371702808,15.8098916452103,4.30144500174833,3.67548385223671,0.000237399057021638,0.0475550454171641,1.09266378370693
"31","ENSG00000266155","AC103810.4","17",64936485,64940229,"pleckstrin homology domain containing, family M (with RUN domain) member 1 pseudogene",0.190200371702808,15.8098916452103,4.30144500174833,3.67548385223671,0.000237399057021638,0.0381684330404905,1.48079743127021
"30","ENSG00000256254","AP000619.3","11",102766801,102767927,"spastic ataxia of Charlevoix-Saguenay (SACS) pseudogene",0.190200371702808,15.8098916452103,4.30144500174833,3.67548385223671,0.000237399057021638,0.0377364931986316,1.53822659757003
"17","ENSG00000225480","AC006548.1","22",16897445,16897546,"N-acetylated alpha-linked acidic dipeptidase 2 (NAALAD2) pseudogene",0.193479148122283,15.5612021747427,4.30143997703617,3.61767274629387,0.000297263923271644,0.044075857717254,1.53822659757003
"36","ENSG00000274240","AC136352.1","CHR_HSCHR15_1_CTG1",21293635,21295183,"p21 protein (Cdc42/Rac)-activated kinase 2 (PAK2) pseudogene",0.301375957766094,15.5409309529639,4.2897719181246,3.62278723661329,0.000291445540926586,0.020994793906273,4.48530890313277
"8","ENSG00000160862","AZGP1","7",99966720,99976042,"alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]",0.863534181435008,15.3737517355553,3.68408817399677,4.17301405652209,3.00596388534345e-05,0.0110394997984524,1.63862244688441
"25","ENSG00000243609","RPS2P44","16",48577524,48578369,"ribosomal protein S2 pseudogene 44 [Source:HGNC Symbol;Acc:HGNC:35811]",0.304842042580263,15.3184064571506,4.28924653168938,3.57135136532178,0.000355144073440782,0.0233587840189827,4.48530890313277
