"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"77","ENSG00000255663","AP002373.1","11",114400682,114443932,"novel transcript, RBM7-REXO2 readthrough",1.42562260127451,-29.999321426875,3.79941634543233,-7.89577100781291,2.88526002213027e-15,8.25264830090313e-12,1.18611685917943
"76","ENSG00000244921","MTCYBP18","5",134923303,134924049,"MT-CYB pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:51976]",0.437509993794099,-29.9948591040424,4.31937761018947,-6.94425489294664,3.80463018286733e-12,2.40728637199086e-09,3.89958015475112
"89","ENSG00000269711","AC008763.3","19",7678501,7682854,"novel protein",22.814215590415,-26.7049071563297,4.20715728106809,-6.34749437024851,2.18849984820023e-10,2.04469908025506e-07,1.70881104659098
"83","ENSG00000260639","AC025678.1","15",34394594,34394931,"mitochondrially encoded cytochrome c oxidase III (MT-CO3) pseudogene",0.375488753815074,-26.5082769071376,4.32379933753191,-6.13078333146443,8.74474314908578e-10,3.77435762314167e-07,3.30960568947137
"42","ENSG00000176635","HORMAD2","22",30080174,30177075,"HORMA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28383]",0.307891735860315,-25.2470295540197,4.32266464647966,-5.84061721618416,5.20077775250592e-09,1.96365878545073e-06,3.1253616535625
"10","ENSG00000110448","CD5","11",61102489,61127852,"CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]",0.807540292124281,-25.2216164177409,4.28374783129634,-5.88774536014375,3.9149969734766e-09,3.90004687766998e-06,1.08980159664758
"90","ENSG00000270230","MTND6P22","5",100046450,100046970,"MT-ND6 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:51978]",0.495702055234336,-24.8603719646596,4.31839467163267,-5.75685500168991,8.56954574405703e-09,2.48516113497583e-06,3.89958015475112
"84","ENSG00000261192","RNF126P1","17",57045478,57046797,"ring finger protein 126 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30340]",0.248059669384097,-23.9560156905513,4.32794324799037,-5.53519635491408,3.10879877276992e-08,1.59988094465086e-05,1.88353094499795
"104","ENSG00000285446","Z84488.2","6",116399395,116463696,"novel protein",5.19007902767848,-22.6895756254884,4.21127450950354,-5.38781681751808,7.13186856964471e-08,6.18582056103391e-05,0.948239229511098
"80","ENSG00000257316","AC087311.1","12",32985838,32987070,"argininosuccinate synthase 1 (ASS1) pseudogene",1.18533291065458,-22.6045880574043,3.86627360011752,-5.84660849059343,5.01696407608354e-09,5.21396106985447e-06,1.00444394286724
"105","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",4.19945495015987,-22.5183202350385,4.26624843977138,-5.27824868920321,1.30424381218175e-07,8.77764947924614e-05,1.18611685917943
"7","ENSG00000106540","AC004837.1","7",39609717,39610280,"akirin 1 (AKIRIN1) pseudogene",0.513106227253552,-21.7179380196692,4.27620701059547,-5.07878546708733,3.79855346283066e-07,0.000106185428393408,2.5550274372944
"54","ENSG00000215450","AL022342.1","20",47160838,47161700,"ribosomal protein S2 (RPS2) pseudogene",0.466062093218506,-21.2584690677908,4.30416606864526,-4.93904480653134,7.85061738471736e-07,9.00790203065926e-05,6.75830765709603
"81","ENSG00000259648","AL132640.2","14",67614929,67616626,"high mobility group box 1 (HMGB1) pseudogene",0.408177696468027,-21.0710438035613,4.27654161823033,-4.92712235366499,8.34495025431268e-07,9.30913092218402e-05,6.75830765709603
"101","ENSG00000284741","PDE11A","2",177628069,178108339,"phosphodiesterase 11A [Source:NCBI gene;Acc:50940]",2.47137431071991,-21.0265008204511,3.92386779900727,-5.35861601294792,8.38618788593395e-08,0.00010257687801111,0.599707157616577
"103","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",2.44434545984742,-20.4388919346527,4.29622218609766,-4.75741035945298,1.96092286837168e-06,0.00164077890459035,0.623782158742507
"85","ENSG00000261557","EEF1A1P38","16",27133483,27135179,"eukaryotic translation elongation factor 1 alpha 1 pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:37916]",0.529338983817641,-20.3430442371253,4.27011109181988,-4.76405503268893,1.89740719659788e-06,0.000293464804353475,3.89958015475112
"31","ENSG00000160862","AZGP1","7",99966720,99976042,"alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]",0.863534181435008,-19.988755491616,3.62629950182885,-5.51216342763057,3.54449560713018e-08,2.73297269615529e-05,1.21379961862817
"102","ENSG00000284842","FAM91A2P","1",149675205,149677740,"family with sequence similarity 91 member A2, pseudogene [Source:HGNC Symbol;Acc:HGNC:51523]",0.565519518026901,-19.526099102795,4.24545860683949,-4.59929089199885,4.23931480416574e-06,0.00187525147692719,1.14429724473491
"59","ENSG00000223611","SUPT20HL2","X",24310907,24313315,"SUPT20H like 2 [Source:HGNC Symbol;Acc:HGNC:31797]",0.383804491585593,-19.4906475137596,4.27659133272009,-4.55751929454591,5.17613367400347e-06,0.000451892921610411,6.75830765709603
"96","ENSG00000278307","TAS2R19","CHR_HSCHR12_3_CTG2",11021607,11022608,"taste 2 receptor member 19 [Source:HGNC Symbol;Acc:HGNC:19108]",0.450397874900314,-19.2120643532207,4.25704602471846,-4.51300367477031,6.39159142292608e-06,0.000546133772987402,6.75830765709603
"64","ENSG00000228589","SPCS2P4","1",28095742,28096422,"signal peptidase complex subunit 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45237]",8.63569678141608,-18.7367173468189,4.2711260878179,-4.38683311182496,1.15012967464041e-05,0.00667327187837261,0.599707157616577
"71","ENSG00000236765","DXO","CHR_HSCHR6_MHC_DBB_CTG1",31951992,31954474,"decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]",0.857403953298845,-18.7215502170358,3.75584909027621,-4.98463856428773,6.20777452555622e-07,0.000292513453996106,1.30907116560405
"67","ENSG00000232957","HLA-DOA","CHR_HSCHR6_MHC_SSTO_CTG1",33144838,33150271,"major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]",0.64521531803092,-18.6654972932724,4.30696123441954,-4.33379737530607,1.46559078313582e-05,0.00480859954158983,1.21379961862817
"21","ENSG00000135355","GJA10","6",89894469,89921760,"gap junction protein alpha 10 [Source:HGNC Symbol;Acc:HGNC:16995]",0.43559268755729,-18.4155805963589,4.30905793751742,-4.27369064500642,1.92263744559951e-05,0.00274653994991455,3.1253616535625
"98","ENSG00000281948","CES1P1","CHR_HSCHR16_1_CTG3_1",55773402,55790834,"carboxylesterase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18546]",0.483578086447731,-18.3120431103604,4.29821921072299,-4.26037905760517,2.04080491305802e-05,0.00249192305942569,3.89958015475112
