"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"43","ENSG00000255663","AP002373.1","11",114400682,114443932,"novel transcript, RBM7-REXO2 readthrough",1.42562260127451,-27.2571363093178,3.87526520274794,-7.03361831597741,2.01245169692039e-12,2.66560858645824e-07,0.204906120814568
"4","ENSG00000110448","CD5","11",61102489,61127852,"CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]",0.807540292124281,-26.5742080180758,4.30215627198674,-6.17695089114088,6.53513893892202e-10,4.54269891222037e-06,0.976127899782972
"39","ENSG00000244921","MTCYBP18","5",134923303,134924049,"MT-CYB pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:51976]",0.437509993794099,-26.2438861990146,4.29234705243241,-6.1141109696949,9.70967251787069e-10,2.22861062406326e-06,3.9416220276747
"26","ENSG00000228589","SPCS2P4","1",28095742,28096422,"signal peptidase complex subunit 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45237]",8.63569678141608,-26.2051966649663,4.20776068912961,-6.22782486957142,4.72955312540219e-10,1.13973874448874e-05,0.187710856248497
"48","ENSG00000260639","AC025678.1","15",34394594,34394931,"mitochondrially encoded cytochrome c oxidase III (MT-CO3) pseudogene",0.375488753815074,-26.0082723195657,4.2956372803613,-6.0545783133203,1.40785971419238e-09,2.22861062406326e-06,6.991185980397
"53","ENSG00000270230","MTND6P22","5",100046450,100046970,"MT-ND6 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:51978]",0.495702055234336,-25.0435508899822,4.28986515699327,-5.83784104476026,5.28815714634066e-09,7.28257920729667e-06,3.9416220276747
"14","ENSG00000176635","HORMAD2","22",30080174,30177075,"HORMA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28383]",0.307891735860315,-24.1674804654862,4.30448796985669,-5.61448437879844,1.97149237708455e-08,1.60980360061352e-05,4.74842970072862
"22","ENSG00000215450","AL022342.1","20",47160838,47161700,"ribosomal protein S2 (RPS2) pseudogene",0.466062093218506,-23.5530747711652,4.28254873618771,-5.49977973914009,3.80265968122883e-08,2.71689781972541e-05,4.74842970072862
"49","ENSG00000261192","RNF126P1","17",57045478,57046797,"ring finger protein 126 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30340]",0.248059669384097,-22.6368967697684,4.31972668643268,-5.24035394203664,1.60268897267228e-07,0.000192032100462205,2.26517240099968
"30","ENSG00000232957","HLA-DOA","CHR_HSCHR6_MHC_SSTO_CTG1",33144838,33150271,"major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]",0.64521531803092,-22.4564996984798,4.27158407776261,-5.25718311747293,1.46278643001292e-07,0.000381507020874674,0.867207423993531
"61","ENSG00000284741","PDE11A","2",177628069,178108339,"phosphodiesterase 11A [Source:NCBI gene;Acc:50940]",2.47137431071991,-22.2930828492354,3.91843794358408,-5.68927801593421,1.27577615886626e-08,5.69829070863275e-05,0.675170122611057
"9","ENSG00000135355","GJA10","6",89894469,89921760,"gap junction protein alpha 10 [Source:HGNC Symbol;Acc:HGNC:16995]",0.43559268755729,-21.5188602709984,4.2735969505322,-5.03530410567112,4.77090808261694e-07,0.000247904378023668,4.74842970072862
"2","ENSG00000100346","CACNA1I","22",39570753,39689737,"calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]",0.30968932045133,-20.6502686722306,4.27691547193916,-4.82830881454566,1.3769744402674e-06,0.000562177779042001,4.74842970072862
"63","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",4.19945495015987,-20.2169931403231,4.28164819818737,-4.72177820421629,2.33791557466726e-06,0.00447530005415902,0.675170122611057
"19","ENSG00000206501","PPP1R11","CHR_HSCHR6_MHC_QBL_CTG1",30056276,30059900,"protein phosphatase 1 regulatory inhibitor subunit 11 [Source:HGNC Symbol;Acc:HGNC:9285]",0.471454556858897,-20.1222070367449,4.25924206154522,-4.72436333647698,2.30837386774277e-06,0.00087961114295382,4.74842970072862
"13","ENSG00000176595","KBTBD11","8",1973677,2006936,"kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]",1.81953754937979,-19.9556958645043,4.29634455802803,-4.64480806764336,3.40392761037476e-06,0.00517372915564908,0.776380528677078
"56","ENSG00000273444","AC006023.2","7",40107288,40107454,"methionyl aminopeptidase 2 (METAP2) pseudogene",0.429351244262605,-19.085963312178,4.25014202676812,-4.49066482766253,7.10012052801876e-06,0.00152057275635714,7.92071484434514
"3","ENSG00000106540","AC004837.1","7",39609717,39610280,"akirin 1 (AKIRIN1) pseudogene",0.513106227253552,-18.7134014622251,4.30459538291735,-4.34730788786529,1.37818693500259e-05,0.0028159796836962,6.991185980397
