"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"113","ENSG00000257316","AC087311.1","12",32985838,32987070,"argininosuccinate synthase 1 (ASS1) pseudogene",1.18533291065458,21.1574824310803,3.86625204622821,5.472349494576,4.44107888763305e-08,6.4784275106888e-05,0.775235206192505
"101","ENSG00000237733","RNF39","CHR_HSCHR6_MHC_MANN_CTG1",30065423,30071044,"ring finger protein 39 [Source:HGNC Symbol;Acc:HGNC:18064]",1.5855507091487,19.1565373481917,4.23977600281047,4.51828996048216,6.23410731389517e-06,0.00373250206287783,0.775235206192505
"17","ENSG00000108958","AC130689.1","17",1858039,1858446,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa (SDHC) pseudogene",0.438949977762253,18.6174794224449,4.27362543881545,4.35636667016967,1.32239182098467e-05,0.00373250206287783,1.67022920330358
"115","ENSG00000261557","EEF1A1P38","16",27133483,27135179,"eukaryotic translation elongation factor 1 alpha 1 pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:37916]",0.529338983817641,18.5716585056646,4.27008978662877,4.34924309175402,1.3660821633201e-05,0.00418023551998025,1.43057366248071
"90","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",2.68706563678794,18.1398992047714,4.26921977635126,4.24899634009353,2.14730426805046e-05,0.00684066176699774,1.16707416329512
"81","ENSG00000180708","OR10K2","1",158418210,158426237,"olfactory receptor family 10 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:14826]",0.476934427869208,17.9724412242958,4.29821607608336,4.1813722032962,2.8975509411362e-05,0.00681530920170125,1.60265065192711
"92","ENSG00000213014","VN2R17P","19",56317177,56318008,"vomeronasal 2 receptor 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:33223]",0.377463414043904,17.8129190104182,4.27070182787583,4.17095824722516,3.03321439882954e-05,0.00766250690720361,1.35997518390966
"46","ENSG00000143001","TMEM61","1",54980628,54992288,"transmembrane protein 61 [Source:HGNC Symbol;Acc:HGNC:27296]",0.575437614866522,17.8077233659753,4.27066734956027,4.16977533214073,3.04900061697882e-05,0.00751246405239623,1.43057366248071
"127","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",2.44434545984742,17.7191004623637,4.29621994562044,4.12434667839259,3.71788552481603e-05,0.0103973519963765,1.09045840660716
"98","ENSG00000229944","EIF4EP2","17",49424269,49424922,"eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]",1.9591294388432,17.6771142263441,4.26873478688966,4.14106640699134,3.4569485027431e-05,0.00977748093917308,1.09045840660716
"107","ENSG00000249558","RCC2P4","3",126766434,126767475,"regulator of chromosome condensation 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42380]",0.318352315650944,17.5924641713363,4.28352078292317,4.10701034566497,4.00813283414255e-05,0.00804094070149068,1.67022920330358
