"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"20","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",5.97939393490148,-22.1957311033026,4.32794324794436,-5.12847092295973,2.92105003217364e-07,0.000941583156599053,0.561325666370814
"77","ENSG00000283711","AC256236.1","CHR_HG926_PATCH",22820947,22825311,"",3.57713675925287,-22.1216552386157,4.29771288568825,-5.14730877259919,2.64250161944812e-07,0.000762261615709053,0.676819157187157
"80","ENSG00000285404","Z82190.2","22",31754899,31956243,"novel protein, DEPDC5-YWHAH readthrough",0.815470327922803,-21.6584137451754,4.27049045061887,-5.07164551604059,3.94390521233594e-07,0.000491948644937588,2.71983499877283
"40","ENSG00000228668","TRGV5P","7",38345030,38345499,"T cell receptor gamma variable 5P (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12291]",0.377758238519584,-20.5636255849218,4.27652373818434,-4.8084909248399,1.52073931347917e-06,0.000762261615709053,4.23857346507748
"14","ENSG00000139574","NPFF","12",53506690,53507638,"neuropeptide FF-amide peptide precursor [Source:HGNC Symbol;Acc:HGNC:7901]",0.375076001380623,-20.3602198862977,4.27653336762269,-4.7609168773108,1.92715415934316e-06,0.00118903590078989,2.58760756874717
"18","ENSG00000160683","CXCR5","11",118883766,118897799,"C-X-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1060]",1.23079790604092,-20.2248342546091,4.296629618666,-4.70713932770599,2.51217214603636e-06,0.00390816420736005,0.671010150880161
"33","ENSG00000213368","ST13P11","11",94913047,94913766,"ST13, Hsp70 interacting protein pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:38746]",0.430323458488491,-19.7469747444176,4.28250610990556,-4.61107917598583,4.00583915984529e-06,0.00142504025539553,4.23857346507748
"9","ENSG00000130283","GDF1","19",18868545,18896158,"growth differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:4214]",1.41717509125328,-19.5847531400101,4.29651807369065,-4.55828482601659,5.15730653977728e-06,0.00572595816020264,0.685392576531491
"25","ENSG00000177947","ODF3","11",196738,200261,"outer dense fiber of sperm tails 3 [Source:HGNC Symbol;Acc:HGNC:19905]",0.610346554925942,-19.4976071154444,4.25343269635594,-4.58396982092808,4.56230114384059e-06,0.00206940052347504,2.71983499877283
"66","ENSG00000269981","AL627309.7","1",137682,137965,"novel pseudogene",0.608870740549018,-19.3635331679909,4.3279432479539,-4.47407280054915,7.67435935153535e-06,0.00610837404528128,0.821988805263804
"45","ENSG00000237972","TUBG1P","7",43918697,43920054,"tubulin gamma 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:12418]",0.489320103617368,-18.8822072232131,4.15070757591895,-4.54915381964306,5.38620622406352e-06,0.00168240487848956,4.57324746687213
"17","ENSG00000153563","CD8A","2",86784610,86808396,"CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]",0.271986069222248,-18.773007077222,4.28274345911717,-4.38340686441486,1.16837611453007e-05,0.0065252438168899,1.05646214363537
"71","ENSG00000277131","MMEL1","CHR_HSCHR1_1_CTG3",2590639,2632987,"membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]",1.22330375520758,-18.7211704602211,3.96072473666923,-4.72670324370095,2.28194378354351e-06,0.00361452623502752,0.685392576531491
"78","ENSG00000283976","AC244216.3","CHR_HG1342_HG2282_PATCH",13185912,13187021,"",0.934489101809973,-18.6946806312226,4.29699017836798,-4.35064541811983,1.35737400244412e-05,0.00476505074710518,2.66599815135065
"30","ENSG00000206285","B3GALT4","CHR_HSCHR6_MHC_QBL_CTG1",33205959,33207652,"beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]",2.75360534840184,-18.0439364351008,4.21290654268925,-4.28301369903704,1.84378814936758e-05,0.0352485687000344,0.116368529642855
"72","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",0.478399986481554,-18.0437028833823,4.29791047721648,-4.19825005174799,2.68985525338236e-05,0.00514953908826875,4.57324746687213
"8","ENSG00000125820","NKX2-2","20",21511010,21514026,"NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]",0.418599988171359,-17.9678094972159,4.29822038234265,-4.18029042229402,2.91137027258911e-05,0.00737467025942746,2.18667682172453
