"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"91","ENSG00000267303","AC011511.4","19",10315471,10320678,"novel transcript",2.23671779325131,21.4188626623068,4.19292706037798,5.10833180589025,3.25015536702526e-07,0.000715544703732754,0.548884964404288
"96","ENSG00000274049","INO80B-WBP1","2",74455088,74460884,"INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]",9.19045610878176,21.2744529006357,4.23593964336214,5.02236922425782,5.10379477355902e-07,0.00106857164995934,0.488374378654224
"75","ENSG00000229944","EIF4EP2","17",49424269,49424922,"eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]",1.16131086625963,20.1537905753983,4.27035076327351,4.71946959222363,2.3646038785515e-06,0.00293220513882367,0.476418039856447
"43","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,19.9195386359342,4.23710766013374,4.70121135305432,2.58622654453958e-06,0.00449462505182575,0.318690064492773
"33","ENSG00000151224","MAT1A","10",80271820,80289658,"methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]",0.966183886233805,19.6858616708828,4.14016229075027,4.75485265755497,1.98591199498455e-06,0.00253864783359332,0.533248445097773
"110","ENSG00000284554","AL022318.4","22",39014363,39033276,"novel protein",3.39799677684612,18.2226546216971,4.26847821225895,4.26912208884237,1.96243837050368e-05,0.0116654455067794,0.488374378654224
"88","ENSG00000259335","HNRNPMP1","15",44447577,44449344,"heterogeneous nuclear ribonucleoprotein M pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48745]",0.5542051611811,18.1825831506021,4.23960763636097,4.28874195684036,1.79687983600107e-05,0.00579084054972278,1.5276375788791
"104","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",3.38528793106693,17.7756411550038,4.29608545870746,4.13763676860186,3.50901288462281e-05,0.0185297602205077,0.390267258604298
"81","ENSG00000244752","CRYBB2","22",25212564,25231870,"crystallin beta B2 [Source:HGNC Symbol;Acc:HGNC:2398]",0.472963293003962,17.1536155864631,4.27217795170172,4.01519219947998,5.93973706104145e-05,0.0102694638691873,1.85258447879602
"83","ENSG00000250741","NT5C1B-RDH14","2",18555545,18589564,"NT5C1B-RDH14 readthrough [Source:HGNC Symbol;Acc:HGNC:38831]",0.410531698393298,16.8414223770876,4.27032750337062,3.94382453425281,8.01923427845827e-05,0.0159702937642493,1.27135654210133
"109","ENSG00000283765","AC131160.1","3",183815568,183884889,"presenilin associated rhomboid like [Source:NCBI gene;Acc:55486]",2.66158404569105,16.7435037591461,4.27090193354357,3.92036717763127,8.84141554315062e-05,0.0373507735445175,0.27830257597523
"76","ENSG00000230593","PPIAP40","11",3892398,3892887,"peptidylprolyl isomerase A pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:53664]",0.602238727799371,16.6251062001503,3.93922323315871,4.22040214939006,2.43866892787382e-05,0.00617893819601716,1.85258447879602
"79","ENSG00000235028","HMGN1P30","18",58018794,58019061,"high mobility group nucleosome binding domain 1 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:39374]",0.247189431432986,16.6221861223164,4.30003695302691,3.86559145977005,0.00011082030966506,0.0272098366280858,0.662957811712559
"51","ENSG00000176115","AQP7P4","9",63127359,63143401,"aquaporin 7 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:32056]",0.29492302631855,16.5140327500208,4.27695602132317,3.86116496585155,0.000112847675876665,0.0282829016609504,0.638994665003841
"92","ENSG00000268951","AL772155.3","9",63719864,63720441,"novel pseudogene",0.185392073574739,16.4574143293373,4.3014472182141,3.82601796429115,0.000130232790182036,0.0308806611126523,0.615225237104166
"66","ENSG00000205184","SLC10A5P1","8",81634357,81635662,"SLC10A5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48930]",0.185392073574739,16.4574143293373,4.3014472182141,3.82601796429115,0.000130232790182036,0.0187638712209878,1.36678780387965
"31","ENSG00000147873","IFNA5","9",21304326,21305312,"interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]",0.185392073574739,16.4574136024841,4.30144721768621,3.82601779578194,0.000130232879281022,0.0187638712209878,1.36678780387965
"78","ENSG00000232716","AC016831.3","7",130840204,130843725,"zinc finger protein 131 (ZNF131) pseudogene",0.185392073574739,16.4574104676866,4.30144721739254,3.82601706726574,0.000130233264483489,0.0300806311893623,0.664610567098714
"94","ENSG00000269547","AC011455.2","19",38915404,38949855,"novel protein",0.376143103451881,16.2446996419667,4.29862439473913,3.77904607386673,0.000157430296181319,0.0212648042980998,1.36678780387965
"108","ENSG00000282835","AC011455.3","CHR_HG26_PATCH",38915440,38949891,"novel protein",0.376143103451881,16.2446996419667,4.29862439473913,3.77904607386673,0.000157430296181319,0.0184407439459857,1.85258447879602
"67","ENSG00000206026","SMIM21","18",75409476,75427703,"small integral membrane protein 21 [Source:HGNC Symbol;Acc:HGNC:27598]",0.479324033313691,16.1783396135399,4.18606333678139,3.86481004035147,0.000111175689755921,0.0182368142228735,1.36678780387965
"86","ENSG00000254899","BX248516.1","CHR_HSCHR6_MHC_SSTO_CTG1",31520968,31537331,"ATPase H+ transporting lysosomal 13kDa V1 subunit G isoform 2 (ATP6V1G2) and HLA-B associated transcript 1 (BAT1) readthrough",0.344103628795342,16.1636873631113,4.29862421620254,3.76020013617067,0.000169777475157232,0.0220508780778722,1.36678780387965
"102","ENSG00000276612","FP565260.2","21",5116343,5133805,"novel protein",0.740399843584747,16.1142860419664,4.27698597641651,3.76767334071734,0.000164776121650694,0.0373507735445175,0.533248445097773
"112","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",0.954426132193175,16.070524570404,4.27226141389434,3.76159673144979,0.000168832102600245,0.0373507735445175,0.533248445097773
"93","ENSG00000269307","AC010463.1","19",17267418,17282966,"novel transcript",0.835607725376223,16.0020922288624,4.2732599082172,3.74470370924348,0.000180606787533923,0.0373507735445175,0.564916131137298
"1","ENSG00000008196","TFAP2B","6",50818723,50847619,"transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]",0.245732398459492,15.9348108713995,4.30004044390141,3.70573511558461,0.000210778496841633,0.0373507735445175,0.662957811712559
"73","ENSG00000227348","MTND5P25","2",201212283,201213081,"MT-ND5 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:42287]",0.245732398459492,15.9348080558433,4.30004044390161,3.70573446081009,0.00021077904142427,0.0373507735445175,0.664610567098714
"97","ENSG00000274418","RDH13","CHR_HSCHR19LRC_PGF1_CTG3_1",54972739,54991632,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.9266369728514,4.30004085221391,3.70383387512505,0.000212365358571548,0.0392166362719253,0.615225237104166
"99","ENSG00000274504","RDH13","CHR_HSCHR19LRC_LRC_T_CTG3_1",54988322,55007215,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.9266369728514,4.30004085221391,3.70383387512505,0.000212365358571548,0.0392166362719253,0.615225237104166
"103","ENSG00000276826","RDH13","CHR_HSCHR19LRC_COX2_CTG3_1",54715159,54734052,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.9266369728514,4.30004085221391,3.70383387512505,0.000212365358571548,0.0392166362719253,0.615225237104166
"95","ENSG00000273944","RDH13","CHR_HSCHR19LRC_LRC_J_CTG3_1",55077480,55096373,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.9266369728514,4.30004085221391,3.70383387512505,0.000212365358571548,0.0373507735445175,0.664610567098714
"100","ENSG00000275474","RDH13","CHR_HSCHR19LRC_LRC_S_CTG3_1",55052029,55070922,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.9266369728514,4.30004085221391,3.70383387512505,0.000212365358571548,0.0373507735445175,0.662957811712559
"101","ENSG00000276341","RDH13","CHR_HSCHR19LRC_LRC_I_CTG3_1",55049943,55068836,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.9266369728514,4.30004085221391,3.70383387512505,0.000212365358571548,0.0373507735445175,0.662957811712559
"105","ENSG00000278149","RDH13","CHR_HSCHR19LRC_COX1_CTG3_1",54973355,54992248,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.9266369728514,4.30004085221391,3.70383387512505,0.000212365358571548,0.0373507735445175,0.664610567098714
"106","ENSG00000278284","RDH13","CHR_HSCHR19LRC_PGF2_CTG3_1",54782118,54801011,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.9266369728514,4.30004085221391,3.70383387512505,0.000212365358571548,0.0373507735445175,0.664610567098714
