"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"64","ENSG00000283711","AC256236.1","CHR_HG926_PATCH",22820947,22825311,"",3.57713675925287,-26.8089483927143,4.26682916031655,-6.28310799083539,3.31870357987215e-10,4.42996146724971e-07,1.19603926882104
"48","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",11.6264311532977,-26.567799154619,4.236043204401,-6.27184329163985,3.56798595497248e-10,4.87599716908483e-07,1.10334931896247
"13","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",5.97939393490148,-25.9042734938505,4.29730712971575,-6.02802469358618,1.65975696026549e-09,1.85581478983078e-06,1.10334931896247
"59","ENSG00000269981","AL627309.7","1",137682,137965,"novel pseudogene",0.608870740549018,-25.6496471486232,4.25500382431703,-6.02811377090601,1.65884265005161e-09,1.48579491718694e-06,1.51510305508019
"6","ENSG00000113889","KNG1","3",186717276,186744410,"kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383]",0.542235035501639,-20.7571776186077,4.26802852236894,-4.86341117680408,1.15379814839464e-06,0.000330376994702447,2.7437656343099
"37","ENSG00000234196","ZBTB12","CHR_HSCHR6_MHC_MCF_CTG1",31976089,31978474,"zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]",2.02429262021054,-19.968119953303,4.29629234552376,-4.64775633206327,3.35564969649825e-06,0.0464749811887872,0.0125619957347421
"61","ENSG00000277131","MMEL1","CHR_HSCHR1_1_CTG3",2590639,2632987,"membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]",1.22330375520758,-19.9535650313036,3.93945655376983,-5.06505523260795,4.08281956476624e-07,0.0117615924674404,0.0125619957347421
"53","ENSG00000261089","CDC37P2","16",28413703,28415018,"cell division cycle 37 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:35453]",0.350927518055063,-19.4626697187536,4.27089589182364,-4.5570461588665,5.1878026463286e-06,0.000715219096172394,5.18067792010681
"21","ENSG00000206285","B3GALT4","CHR_HSCHR6_MHC_QBL_CTG1",33205959,33207652,"beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]",2.75360534840184,-19.288602555711,4.20582716223348,-4.58616148778399,4.51469451270597e-06,0.0134530590972191,0.104692100039483
"57","ENSG00000268705","BNIP3P26","19",21521343,21521896,"BCL2 interacting protein 3 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:49706]",0.3556053557422,-18.617024517152,4.25863488652287,-4.37159442244476,1.23342487456905e-05,0.00161544420618936,5.18067792010681
"56","ENSG00000268133","AC003002.1","19",57363566,57398584,"novel protein",0.592355049186711,-18.3957592800401,4.27690827808845,-4.30118162091193,1.69889739399774e-05,0.0044278622600449,2.04187295342855
"38","ENSG00000234999","SNRPCP19","7",24906135,24906594,"small nuclear ribonucleoprotein polypeptide C pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:49834]",0.436545556724293,-17.9915467320946,4.27909289698719,-4.20452352057187,2.61632731868001e-05,0.00297970655290268,5.18067792010681
"34","ENSG00000229221","HNRNPA1P66","2",63751697,63752630,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 66 [Source:HGNC Symbol;Acc:HGNC:48796]",0.339781730916414,-17.8038295198244,4.29919509649488,-4.14120064807942,3.45492562171421e-05,0.00660119779341894,2.53661043347828
"41","ENSG00000237991","RPL35P1","1",236981339,236981708,"ribosomal protein L35 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:36695]",0.260585580046737,-17.7491466370098,4.31908852139809,-4.10946581647378,3.96575410546988e-05,0.0166239548757578,0.602079748625421
"14","ENSG00000176134","AL445665.1","9",64637845,64652556,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (MTHFD1L) pseudogene",0.331159049455744,-17.6650302994409,4.2986264826811,-4.10945923555168,3.96586711451479e-05,0.0101490125416253,1.51510305508019
