"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"41","ENSG00000258864","AC008575.1","5",112827213,112867582,"novel transcript",2.74605594529889,20.9202443180727,3.10253520295544,6.74295147340934,1.55201056884101e-11,1.50084421121364e-07,0.561325666370814
"55","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",4.19945495015987,20.803590655932,4.2662393696733,4.87632991336936,1.08077793468372e-06,0.00610837404528128,0.116368529642855
"47","ENSG00000274985","PTCHD3P1","10",29421476,29422012,"patched domain containing 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44945]",6.28471015324067,20.1829151271765,4.21682210915168,4.78628564467398,1.69896209928034e-06,0.00792508601390568,0.116368529642855
"32","ENSG00000237733","RNF39","CHR_HSCHR6_MHC_MANN_CTG1",30065423,30071044,"ring finger protein 39 [Source:HGNC Symbol;Acc:HGNC:18064]",1.5855507091487,19.2237695748739,4.23977586950578,4.53414759802262,5.78365762214992e-06,0.00599110776705223,0.671825806641526
"37","ENSG00000253328","SUMO2P19","8",102242040,102242619,"SUMO2 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:49357]",0.547703350230821,18.086888904922,4.2481072050849,4.25763476102308,2.06601122284727e-05,0.00438433145831605,4.56769514124303
"15","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",2.68706563678794,17.9785687997794,4.26923083818589,4.21119622742606,2.5402197019302e-05,0.0142530545220785,0.671825806641526
"54","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",2.44434545984742,17.7413484061255,4.29622005654021,4.12952506450818,3.63513373624598e-05,0.019748828161112,0.561325666370814
"12","ENSG00000180708","OR10K2","1",158418210,158426237,"olfactory receptor family 10 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:14826]",0.476934427869208,17.7330513073484,4.29821556885466,4.12567751041712,3.69644940730157e-05,0.00865665561263751,2.18667682172453
"19","ENSG00000213014","VN2R17P","19",56317177,56318008,"vomeronasal 2 receptor 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:33223]",0.377463414043904,17.6806236782282,4.27070246229759,4.13998021035542,3.47335784037526e-05,0.00572595816020264,4.57324746687213
"26","ENSG00000229944","EIF4EP2","17",49424269,49424922,"eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]",1.9591294388432,17.58464676663,4.26873231378868,4.11940723240687,3.79848311301008e-05,0.0179202670184916,0.676819157187157
"35","ENSG00000249558","RCC2P4","3",126766434,126767475,"regulator of chromosome condensation 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42380]",0.318352315650944,17.4761168539213,4.28354761867311,4.07982317687758,4.50699709227211e-05,0.00622042366374787,4.57324746687213
"22","ENSG00000227368","CDK8P2","2",112932625,112933171,"cyclin dependent kinase 8 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:52296]",0.323193249556902,17.0039708934694,4.27692548843527,3.97574634850381,7.01588744442677e-05,0.0086394361532829,4.23857346507748
"31","ENSG00000236806","RPL7AP15","1",147223554,147224348,"ribosomal protein L7a pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:36873]",0.31666135024241,16.9462887122473,4.27703422627318,3.96215878006044,7.42751158593029e-05,0.0119855346982117,2.58760756874717
"44","ENSG00000269179","AC011452.1","19",49909501,49958391,"novel transcript",0.272533958782405,16.7859862429947,4.30003950414672,3.90368186776128,9.47402975762213e-05,0.0231802091898553,1.05646214363537
"50","ENSG00000281948","CES1P1","CHR_HSCHR16_1_CTG3_1",55773402,55790834,"carboxylesterase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18546]",0.483578086447731,16.5339250637677,4.29821840958052,3.84669262662745,0.000119723011223986,0.0176904788611277,2.18667682172453
"16","ENSG00000205445","KRTAP10-2","21",44550357,44551505,"keratin associated protein 10-2 [Source:HGNC Symbol;Acc:HGNC:22967]",0.483578086447731,16.5339250637677,4.29821840958052,3.84669262662745,0.000119723011223986,0.0119785372455007,4.23857346507748
"24","ENSG00000228435","C6orf47","CHR_HSCHR6_MHC_DBB_CTG1",31640476,31642950,"chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]",0.414495502669484,16.456478840502,4.29862441309077,3.82831279475974,0.000129024714835331,0.0119785372455007,4.57324746687213
"42","ENSG00000262594","KRTAP9-9","CHR_HSCHR17_6_CTG4",41244014,41244994,"keratin associated protein 9-9 [Source:HGNC Symbol;Acc:HGNC:16773]",0.393051969739646,16.4488652633832,4.29862463284138,3.82654143320966,0.000129956283891411,0.0170386322471055,2.58760756874717
"48","ENSG00000275018","AL121581.1","CHR_HSCHR20_1_CTG3",64211718,64278487,"novel transcript",0.321624402611502,16.2518920047355,4.2991918778464,3.7802202056812,0.00015668971472754,0.0142530545220785,4.23857346507748
"39","ENSG00000255274","SMIM35","11",118003634,118088299,"small integral membrane protein 35 [Source:HGNC Symbol;Acc:HGNC:44179]",1.41565341938488,16.2282959715614,3.33061072937645,4.8724685321,1.10212414913756e-06,0.0017987523331864,0.831486107894395
"25","ENSG00000228491","MICE","CHR_HSCHR6_MHC_MCF_CTG1",29738863,29746102,"MHC class I polypeptide-related sequence E (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7094]",0.327543308116372,16.1992247021794,4.299192082436,3.76796951416989,0.000164580795624615,0.0196166081785627,2.58760756874717
"52","ENSG00000283528","TCAF2C","7",143639230,143647646,"TRPM8 channel associated factor 2C [Source:HGNC Symbol;Acc:HGNC:53641]",0.262034646493097,16.1291935515647,4.30004028604262,3.75094010256555,0.000176172785496553,0.0367964240536517,1.05646214363537
