"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"68","ENSG00000270025","BMS1P7","10",48050282,48060016,"BMS1, ribosome biogenesis factor pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:23655]",1.05057932202328,-29.9978417372732,4.26136911638757,-7.03948447505125,1.92952379002397e-12,6.79116088605809e-09,0.963922186200738
"65","ENSG00000268869","ESPNP","1",16687339,16720157,"espin pseudogene [Source:HGNC Symbol;Acc:HGNC:23285]",0.358088860322377,-29.9931234435709,4.310072269885,-6.95884467022435,3.43074514468768e-12,5.77050306295615e-09,2.68936269380378
"26","ENSG00000212932","RPL23AP4","21",46690764,46691226,"ribosomal protein L23a pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:10321]",1.56946868566814,-29.9723894447364,4.25417901706922,-7.04539920028681,1.84930545342917e-12,6.79116088605809e-09,0.963922186200738
"47","ENSG00000237733","RNF39","CHR_HSCHR6_MHC_MANN_CTG1",30065423,30071044,"ring finger protein 39 [Source:HGNC Symbol;Acc:HGNC:18064]",1.5855507091487,-28.2547327262911,4.23977019426767,-6.66421325488172,2.66086864374571e-11,9.13174125442031e-08,0.878725387607565
"60","ENSG00000258864","AC008575.1","5",112827213,112867582,"novel transcript",2.74605594529889,-25.2954921963802,3.10257266883514,-8.15307001523912,3.54800058519504e-16,5.85056111263819e-12,0.82296622519473
"11","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",5.97939393490148,-23.2589695807033,4.32794324794437,-5.3741392269297,7.69493849206298e-08,0.000158447928145634,0.878725387607565
"83","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",4.19945495015987,-22.5910947058429,4.26624843977138,-5.29530687787454,1.18816704981125e-07,0.000329531740424621,0.611626247622112
"62","ENSG00000262304","AC027796.3","17",3585149,3636249,"novel readthrough SHPK-TRPV1 protein",2.28118609755304,-21.7319278384499,3.98298334747915,-5.45619349681793,4.86449825079229e-08,0.000114591881158318,0.82296622519473
"73","ENSG00000274985","PTCHD3P1","10",29421476,29422012,"patched domain containing 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44945]",6.28471015324067,-21.6702443212143,4.21683661533291,-5.13898125491007,2.76231950131664e-07,0.000432101001619082,0.963922186200738
"45","ENSG00000236806","RPL7AP15","1",147223554,147224348,"ribosomal protein L7a pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:36873]",0.31666135024241,-21.0905491135838,4.27703064193173,-4.93111947967204,8.1759705008357e-07,0.000455113486743434,2.56620799943671
"29","ENSG00000215450","AL022342.1","20",47160838,47161700,"ribosomal protein S2 (RPS2) pseudogene",0.466062093218506,-21.041109961577,4.30416606864526,-4.88854510397636,1.01583925183434e-06,0.000486582233549078,2.69820717347851
"82","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",2.44434545984742,-20.3945657504383,4.29622218609766,-4.74709287998047,2.063612042766e-06,0.00243060202481314,0.82296622519473
"32","ENSG00000227368","CDK8P2","2",112932625,112933171,"cyclin dependent kinase 8 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:52296]",0.323193249556902,-20.3017072410113,4.27692434852529,-4.7468006414496,2.06659460453065e-06,0.000910705669186434,2.56620799943671
"37","ENSG00000229944","EIF4EP2","17",49424269,49424922,"eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]",1.9591294388432,-19.8148862626819,4.26885424008905,-4.64173409262823,3.45497302175085e-06,0.00356072566803819,0.82296622519473
"27","ENSG00000213014","VN2R17P","19",56317177,56318008,"vomeronasal 2 receptor 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:33223]",0.377463414043904,-19.730695187669,4.27071605897533,-4.61999695489073,3.83745676069161e-06,0.00156100443750816,2.56620799943671
"22","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",2.68706563678794,-19.6556511707726,4.26925566660572,-4.60399955067575,4.14453355868442e-06,0.00448571352248413,0.611626247622112
"67","ENSG00000269981","AL627309.7","1",137682,137965,"novel pseudogene",0.608870740549018,-19.5803765654094,4.32794324795389,-4.52417590611114,6.06312825897831e-06,0.00413489581621386,1.1312312027385
"53","ENSG00000253328","SUMO2P19","8",102242040,102242619,"SUMO2 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:49357]",0.547703350230821,-19.3738474429962,4.24815622720721,-4.56053082956715,5.10244700903956e-06,0.00319682743875974,1.48683528698646
"50","ENSG00000249558","RCC2P4","3",126766434,126767475,"regulator of chromosome condensation 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42380]",0.318352315650944,-19.3169180037003,4.2835398867033,-4.50956884133673,6.49595130192703e-06,0.00242007903149711,2.69820717347851
"3","ENSG00000100427","MLC1","22",50059391,50085902,"megalencephalic leukoencephalopathy with subcortical cysts 1 [Source:HGNC Symbol;Acc:HGNC:17082]",2.13444878768159,-19.0101948039388,3.10527785470016,-6.12189816610609,9.24671162994542e-10,2.54513999124578e-06,0.896414346957029
"84","ENSG00000285772","AC000120.2","7",92112159,92179511,"novel protein",0.701285058065375,-18.4947661651604,4.27102834204618,-4.33028411052402,1.48917082081161e-05,0.00730797758641594,1.1312312027385
"56","ENSG00000255274","SMIM35","11",118003634,118088299,"small integral membrane protein 35 [Source:HGNC Symbol;Acc:HGNC:44179]",1.41565341938488,-18.3633206490353,3.33056423892285,-5.51357647885339,3.51614139401005e-08,8.35402267531461e-05,0.878725387607565
"23","ENSG00000205445","KRTAP10-2","21",44550357,44551505,"keratin associated protein 10-2 [Source:HGNC Symbol;Acc:HGNC:22967]",0.483578086447731,-18.2283092409291,4.29821921072299,-4.24089799688532,2.22627299296284e-05,0.00397039926217576,4.6116479013287
"77","ENSG00000281948","CES1P1","CHR_HSCHR16_1_CTG3_1",55773402,55790834,"carboxylesterase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18546]",0.483578086447731,-18.2283092409291,4.29821921072299,-4.24089799688532,2.22627299296284e-05,0.00522500164117451,2.68936269380378
"63","ENSG00000262594","KRTAP9-9","CHR_HSCHR17_6_CTG4",41244014,41244994,"keratin associated protein 9-9 [Source:HGNC Symbol;Acc:HGNC:16773]",0.393051969739646,-18.1763113867325,4.29862722660105,-4.22839907453538,2.35360051037027e-05,0.00539829410811164,2.68936269380378
