"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"112","ENSG00000274049","INO80B-WBP1","2",74455088,74460884,"INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]",9.19045610878176,-29.709931548734,4.235934458747,-7.01378452336165,2.3195654447627e-12,5.97813869180764e-08,0.343839727425094
"42","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,-29.6193364722295,4.23710391968232,-6.99046731769803,2.73972115461959e-12,7.79747412559244e-08,0.23352269504975
"110","ENSG00000273825","FP700111.2","1",144754572,144786606,"otopetrin 1 (OTOP1) pseudogene",0.684996614256606,-25.7054851881703,4.32794324795442,-5.93942288876358,2.86027173261524e-09,1.18163840830407e-05,0.715017794851585
"105","ENSG00000267303","AC011511.4","19",10315471,10320678,"novel transcript",2.23671779325131,-24.9630522900068,4.19270835510014,-5.95392051527767,2.6179398555863e-09,2.1886572194755e-05,0.289085224748154
"77","ENSG00000229473","RGS17P1","13",40992779,40993331,"regulator of G protein signaling 17 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39729]",0.304771627873299,-23.4917254441933,4.31285983947606,-5.4469021295733,5.12546464210849e-08,8.4494197209118e-05,1.07510718298771
"78","ENSG00000229944","EIF4EP2","17",49424269,49424922,"eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]",1.16131086625963,-23.0908537118978,4.27035987858168,-5.40723835190374,6.40039436421106e-08,0.000106982321251247,0.994057255105643
"32","ENSG00000151224","MAT1A","10",80271820,80289658,"methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]",0.966183886233805,-21.4570201064426,4.14004502536808,-5.18279873164783,2.18580874456319e-07,0.000291704771282886,1.04845957454017
"14","ENSG00000111780","AL021546.1","12",120438198,120460006,"novel protein",0.911338649792569,-20.6419830073025,4.30021260290047,-4.8002238292543,1.58488394698607e-06,0.0021045500063079,0.715017794851585
"120","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",3.38528793106693,-20.5679062815384,4.29608748431169,-4.78759018680313,1.68795890549211e-06,0.00436733758584594,0.23352269504975
"127","ENSG00000284554","AL022318.4","22",39014363,39033276,"novel protein",3.39799677684612,-20.1533351626821,4.26850779297774,-4.72140057840283,2.34226117822061e-06,0.00421671238342576,0.343839727425094
"100","ENSG00000259335","HNRNPMP1","15",44447577,44449344,"heterogeneous nuclear ribonucleoprotein M pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48745]",0.5542051611811,-19.6813823424406,4.23963679057498,-4.64223312388309,3.4466366593465e-06,0.00144760422853004,2.63737012802671
