"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"76","ENSG00000269711","AC008763.3","19",7678501,7682854,"novel protein",22.814215590415,25.1021582988995,4.20714491943591,5.96655422610573,2.42316232840589e-09,2.3907550336716e-06,1.19603926882104
"86","ENSG00000285446","Z84488.2","6",116399395,116463696,"novel protein",5.19007902767848,23.2660200721717,4.21126566638275,5.52470965151812,3.30030932887269e-08,3.24733768192885e-05,1.10334931896247
"71","ENSG00000257316","AC087311.1","12",32985838,32987070,"argininosuccinate synthase 1 (ASS1) pseudogene",1.18533291065458,21.2368228696635,3.86625416910963,5.49286775798142,3.95458916148435e-08,3.74145768243384e-05,1.10334931896247
"87","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",4.19945495015987,20.8099261343877,4.26624009712924,4.87781410811611,1.07267944192799e-06,0.000657882962684165,1.19603926882104
"73","ENSG00000261557","EEF1A1P38","16",27133483,27135179,"eukaryotic translation elongation factor 1 alpha 1 pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:37916]",0.529338983817641,18.4878667410354,4.270095243884,4.32961460696114,1.49370518524618e-05,0.00326167645930332,2.53661043347828
"33","ENSG00000160862","AZGP1","7",99966720,99976042,"alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]",0.863534181435008,18.2374656513702,3.62628064327343,5.02924826990428,4.92406485417474e-07,0.000211134497520623,2.04187295342855
"84","ENSG00000284842","FAM91A2P","1",149675205,149677740,"family with sequence similarity 91 member A2, pseudogene [Source:HGNC Symbol;Acc:HGNC:51523]",0.565519518026901,17.9620541224316,4.2454831172101,4.23086221910012,2.32797240821845e-05,0.00565953409663858,2.06742247462672
"46","ENSG00000180708","OR10K2","1",158418210,158426237,"olfactory receptor family 10 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:14826]",0.476934427869208,17.9476518735522,4.29821610282622,4.1756048193461,2.97195365325829e-05,0.00845055347127139,1.51510305508019
"85","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",2.44434545984742,17.7461327402678,4.29621974580203,4.13063897804764,3.61756315967944e-05,0.0112453679036033,1.19603926882104
"9","ENSG00000106540","AC004837.1","7",39609717,39610280,"akirin 1 (AKIRIN1) pseudogene",0.513106227253552,17.593336143415,4.27620145982594,4.11424398702935,3.88450404036596e-05,0.00447263831297148,4.53308955742881
"80","ENSG00000278307","TAS2R19","CHR_HSCHR12_3_CTG2",11021607,11022608,"taste 2 receptor member 19 [Source:HGNC Symbol;Acc:HGNC:19108]",0.450397874900314,17.5180451956908,4.25707299979353,4.11504458498608,3.87104583003981e-05,0.00405599639635364,5.18067792010681
"69","ENSG00000255663","AP002373.1","11",114400682,114443932,"novel transcript, RBM7-REXO2 readthrough",1.42562260127451,17.4558749758487,3.79941052132521,4.59436401459461,4.3407108048186e-06,0.00229072419557298,1.19603926882104
"72","ENSG00000259648","AL132640.2","14",67614929,67616626,"high mobility group box 1 (HMGB1) pseudogene",0.408177696468027,17.2751841870511,4.27653816156152,4.0395253203454,5.35594860513029e-05,0.0120694600075656,1.51510305508019
"65","ENSG00000236765","DXO","CHR_HSCHR6_MHC_DBB_CTG1",31951992,31954474,"decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]",0.857403953298845,17.0236540049815,3.75579035410204,4.53264224037117,5.82504255264374e-06,0.00184351612380751,2.04187295342855
"56","ENSG00000223611","SUPT20HL2","X",24310907,24313315,"SUPT20H like 2 [Source:HGNC Symbol;Acc:HGNC:31797]",0.383804491585593,16.9840147274121,4.27657582370951,3.97140502765132,7.14499844417043e-05,0.0106179753486645,2.53661043347828
"88","ENSG00000285505","AC010616.2","19",41956879,41994232,"novel protein, ATP1A3-RABAC1 readthrough",0.640598840500808,16.9231475710344,4.27992421864032,3.95407645241219,7.68308415743893e-05,0.0126080435404382,2.04187295342855
"75","ENSG00000269179","AC011452.1","19",49909501,49958391,"novel transcript",0.272533958782405,16.7536359837993,4.30003398881901,3.89616361809284,9.77283805777511e-05,0.0199598361874254,1.12617936983165
"50","ENSG00000205445","KRTAP10-2","21",44550357,44551505,"keratin associated protein 10-2 [Source:HGNC Symbol;Acc:HGNC:22967]",0.483578086447731,16.6368752570731,4.29821886266091,3.87064404784024,0.000108548192882245,0.0175179503058791,1.51510305508019
"82","ENSG00000281948","CES1P1","CHR_HSCHR16_1_CTG3_1",55773402,55790834,"carboxylesterase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18546]",0.483578086447731,16.6368752570731,4.29821886266091,3.87064404784024,0.000108548192882245,0.00984714216494733,4.53308955742881
"59","ENSG00000228435","C6orf47","CHR_HSCHR6_MHC_DBB_CTG1",31640476,31642950,"chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]",0.414495502669484,16.547683661872,4.29862325640673,3.84953104164433,0.000118344185763359,0.0101490125416253,4.53308955742881
"61","ENSG00000228589","SPCS2P4","1",28095742,28096422,"signal peptidase complex subunit 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45237]",8.63569678141608,16.4626615001569,4.27114065571518,3.85439460489983,0.000116016347348521,0.0268272407072255,0.909869939200889
"74","ENSG00000262594","KRTAP9-9","CHR_HSCHR17_6_CTG4",41244014,41244994,"keratin associated protein 9-9 [Source:HGNC Symbol;Acc:HGNC:16773]",0.393051969739646,16.4056644557648,4.298624461423,3.81649167146225,0.000135362642180308,0.0144536933289573,2.7437656343099
"81","ENSG00000278695","GSTT2B","CHR_HSCHR22_1_CTG7",23957418,23961206,"glutathione S-transferase theta 2B (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:33437]",0.845967539750245,16.3905957577139,4.27452495284457,3.83448358321232,0.000125828375469005,0.0152820441506327,2.23640061321203
"79","ENSG00000275018","AL121581.1","CHR_HSCHR20_1_CTG3",64211718,64278487,"novel transcript",0.321624402611502,16.2727232670775,4.29919193893547,3.78506554213229,0.000153668073686299,0.0119488048392408,4.53308955742881
"60","ENSG00000228491","MICE","CHR_HSCHR6_MHC_MCF_CTG1",29738863,29746102,"MHC class I polypeptide-related sequence E (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7094]",0.327543308116372,16.176454355659,4.29919181624345,3.76267332258593,0.000168106727026323,0.0117615924674404,5.18067792010681
"58","ENSG00000228169","PPIAP19","10",114690143,114690634,"peptidylprolyl isomerase A pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:31663]",0.207247751334742,15.9359043320694,4.30144382838461,3.70478029421439,0.00021157403702202,0.0379659042905213,1.0517647824446
"66","ENSG00000237409","AL513302.1","1",160020300,160020727,"ribosomal protein L27a (RPL27A) pseudogene",0.207247751334742,15.9359043320694,4.30144382838461,3.70478029421439,0.00021157403702202,0.0379659042905213,1.04075564165001
"78","ENSG00000273999","RBM17P2","9",67211663,67213067,"RNA binding motif protein 17 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50367]",0.207247751334742,15.9359043320694,4.30144382838461,3.70478029421439,0.00021157403702202,0.0379659042905213,1.04075564165001
