"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"13","ENSG00000145808","ADAMTS19","5",129460281,129738683,"ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]",0.46812405340241,-27.2074374950917,4.31729034230639,-6.30197075894526,2.93884620989938e-10,4.82413766118402e-06,1.65341933802325
"76","ENSG00000272647","AC005020.2","7",99558695,99607810,"novel transcript",0.439581661071023,-25.8049487881544,4.30329637291868,-5.99655393259665,2.01548692932841e-09,1.65421830660037e-05,1.65341933802325
"50","ENSG00000237733","RNF39","CHR_HSCHR6_MHC_MANN_CTG1",30065423,30071044,"ring finger protein 39 [Source:HGNC Symbol;Acc:HGNC:18064]",1.5855507091487,-25.2047876380043,4.30436137749437,-5.85563929873294,4.75178539582371e-09,3.27311666902665e-05,0.775734878924512
"74","ENSG00000270987","AL133338.2","6",100889603,100890338,"mitogen-activated protein kinase 1 interacting protein 1-like (MAPK1IP1L) pseudogene",0.346778310591319,-24.8317784676263,4.30017621475339,-5.77459555783585,7.71381429606919e-09,3.2081161813141e-05,1.65341933802325
"38","ENSG00000225907","RPS27P16","7",30167804,30168004,"ribosomal protein S27 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36560]",0.320725153400223,-24.1542591925709,4.30924903674744,-5.60521310942898,2.07998881651105e-08,3.2081161813141e-05,4.3992309877788
"45","ENSG00000230796","AC064862.1","7",57650381,57651119,"family with sequence similarity 27 (FAM27) pseudogene",0.62736681639362,-22.586308191371,4.27323715401963,-5.28552649368528,1.25343729534268e-07,0.000296586594930731,1.63862244688441
"78","ENSG00000284218","NPIPB5","CHR_HG926_PATCH",21744964,21767544,"nuclear pore complex interacting protein family member B5 [Source:HGNC Symbol;Acc:HGNC:37233]",2.91971934188425,-21.575129810409,4.24025354741624,-5.08816974483888,3.61535704957622e-07,0.000976866156001503,1.11609064102827
"47","ENSG00000234196","ZBTB12","CHR_HSCHR6_MHC_MCF_CTG1",31976089,31978474,"zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]",2.02429262021054,-20.1198891135789,4.29629234552376,-4.68308194495691,2.82593472912658e-06,0.0267719048534931,0.0290719429758431
"63","ENSG00000254579","AC090720.1","11",40444371,40513269,"zinc finger protein pseudogene",0.567115669652488,-19.5959998604747,4.24854118200092,-4.61240671115388,3.98033202602807e-06,0.00458926182759236,1.65341933802325
"75","ENSG00000271499","AC011477.6","19",19750618,19752544,"sorting nexin 18 (SNX18) pseudogene",0.388136239857387,-19.5708342015221,4.27060161551168,-4.58268786543726,4.59036985775593e-06,0.00261029136319469,4.31140277029475
"68","ENSG00000261089","CDC37P2","16",28413703,28415018,"cell division cycle 37 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:35453]",0.350927518055063,-19.565685461013,4.27089589182364,-4.58116656471779,4.6238937483478e-06,0.00261029136319469,4.48530890313277
"79","ENSG00000284396","AC275455.2","CHR_HSCHR1_6_CTG3",108487922,108488296,"",0.525819059745175,-19.4792134615624,4.27297822528773,-4.55869710411424,5.14719434354523e-06,0.00261029136319469,4.31140277029475
"53","ENSG00000239732","TLR9","3",52221080,52226163,"toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]",0.681174762277404,-19.256138002892,4.27565840146643,-4.50366614795225,6.67911043758573e-06,0.00685238055682994,1.65341933802325
"43","ENSG00000229944","EIF4EP2","17",49424269,49424922,"eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]",1.9591294388432,-18.9325348561803,4.2697219191747,-4.43413768263385,9.24415383718491e-06,0.00864609881863673,1.11609064102827
"11","ENSG00000143001","TMEM61","1",54980628,54992288,"transmembrane protein 61 [Source:HGNC Symbol;Acc:HGNC:27296]",0.575437614866522,-18.7012885829062,4.30935974219042,-4.33969074334008,1.42683371972331e-05,0.00866025243652177,1.6059082545542
"32","ENSG00000214544","GTF2IRD2P1","7",73242751,73280119,"GTF2I repeat domain containing 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33127]",0.375381024892783,-18.6910040858594,4.25734599966693,-4.39029481919525,1.13197081970935e-05,0.00864609881863673,1.65341933802325
"55","ENSG00000249006","AL136360.1","4",2088718,2090617,"pseudogene similar to part of HBS1-like",0.400995468592621,-18.5697405821765,4.30938943910833,-4.30913493537005,1.63894353912896e-05,0.00891723112326513,1.65341933802325
"72","ENSG00000268133","AC003002.1","19",57363566,57398584,"novel protein",0.592355049186711,-18.5086530445624,4.27690827808845,-4.32757773632564,1.50758144429433e-05,0.00866025243652177,1.65341933802325
"48","ENSG00000235354","RPS29P16","7",103348601,103348771,"ribosomal protein S29 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:35560]",0.771469720183364,-18.2925066356186,4.29248242246342,-4.26152161739562,2.03039709425597e-05,0.00934168949181449,1.63862244688441
"18","ENSG00000175161","CADM2","3",84958981,86074429,"cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]",0.465927993822039,-18.1274018702431,4.28690689338142,-4.22855040267614,2.35201828844878e-05,0.00749066854121084,4.48530890313277
"80","ENSG00000284780","CADM2","CHR_HSCHR3_4_CTG1",84974171,86089619,"cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]",0.465927993822039,-18.1274018702431,4.28690689338142,-4.22855040267614,2.35201828844878e-05,0.00749066854121084,4.48530890313277
"25","ENSG00000196872","KIAA1211L","2",98793846,98936259,"KIAA1211 like [Source:HGNC Symbol;Acc:HGNC:33454]",0.36587542497529,-18.0221582763265,4.29808706395149,-4.19306496312749,2.75210588521022e-05,0.00864609881863673,3.88097221121257
"42","ENSG00000229221","HNRNPA1P66","2",63751697,63752630,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 66 [Source:HGNC Symbol;Acc:HGNC:48796]",0.339781730916414,-17.8906482930508,4.29919509649488,-4.16139484054515,3.16309647829361e-05,0.00864609881863673,4.31140277029475
"19","ENSG00000176134","AL445665.1","9",64637845,64652556,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (MTHFD1L) pseudogene",0.331159049455744,-17.7787103365395,4.2986264826811,-4.13590490082561,3.53558600312307e-05,0.00864609881863673,4.31140277029475
"31","ENSG00000214518","KRTAP2-2","17",41054498,41055230,"keratin associated protein 2-2 [Source:HGNC Symbol;Acc:HGNC:18905]",0.53651068149283,-17.5463271026499,4.31130052584877,-4.06984551354038,4.70443226611394e-05,0.00891723112326513,4.48530890313277
"77","ENSG00000281991","TMEM265","16",30740381,30744281,"transmembrane protein 265 [Source:HGNC Symbol;Acc:HGNC:51241]",0.275441135592861,-17.4936809753412,4.29919318157317,-4.06906138815094,4.72029103327765e-05,0.0148725787698561,1.53822659757003
"65","ENSG00000255641","AC068775.1","12",10412312,10436001,"novel protein",0.265273326457107,-17.4768991908123,4.31894692518828,-4.04656493667154,5.19747112317774e-05,0.0160887668427874,1.53822659757003
"62","ENSG00000254445","HSPB2-C11orf52","11",111912736,111926871,"HSPB2-C11orf52 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41996]",0.486573290946316,-17.4486478067922,4.2818984624657,-4.07497934846977,4.60184306732521e-05,0.00891723112326513,4.31140277029475
"21","ENSG00000180658","OR2A4","6",131699644,131701401,"olfactory receptor family 2 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:14729]",0.430329125553659,-17.3942589194173,4.28376135817695,-4.06051072061115,4.89654887282237e-05,0.00906605658077937,4.31140277029475
"49","ENSG00000236998","AL354794.2","9",68788307,68789670,"adaptor-related protein complex 3, mu 2 subunit (AP3M2) pseudogene",0.220352908474289,-17.3840670604571,4.30004291004703,-4.04276595004187,5.28243434080076e-05,0.0161954356419988,1.45123412822822
"22","ENSG00000181741","FDX1P1","20",34475924,34476474,"ferredoxin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3640]",0.374501414131961,-17.3270443317344,4.32794324796914,-4.00352854438769,6.24046676544347e-05,0.00993726713604957,4.48530890313277
"36","ENSG00000223131","RNA5SP304","10",22997255,22997358,"RNA, 5S ribosomal pseudogene 304 [Source:HGNC Symbol;Acc:HGNC:43204]",0.246057245871138,-17.3058463249431,4.30004814868651,-4.02457035980616,5.70794271716357e-05,0.0162440173650729,1.53822659757003
"66","ENSG00000259092","TRAV30","14",22168429,22168988,"T cell receptor alpha variable 30 [Source:HGNC Symbol;Acc:HGNC:12129]",0.246057245871138,-17.3058463249431,4.30004814868651,-4.02457035980616,5.70794271716357e-05,0.0163447800357806,1.48079743127021
"69","ENSG00000261375","AC135983.4","15",32489267,32491586,"golgin subfamily A member 6-like pseudogene",0.271825384733131,-17.2842094251287,4.30004527053292,-4.0195412693845,5.83115672631374e-05,0.0161954356419988,1.65341933802325
"28","ENSG00000204710","SPDYC","11",65170154,65173244,"speedy/RINGO cell cycle regulator family member C [Source:HGNC Symbol;Acc:HGNC:32681]",0.523992746263832,-17.2402182684449,4.28978246137568,-4.01890268881286,5.84698114587326e-05,0.0102224975240524,3.88097221121257
"59","ENSG00000251648","AC008958.1","5",65732973,65733654,"PRAME family pseudogene",0.411275362734663,-17.138904994107,4.28526391993464,-3.99949812061246,6.34769518525415e-05,0.0102224975240524,4.31140277029475
"41","ENSG00000226981","ABHD17AP6","17",20814620,20844257,"abhydrolase domain containing 17A pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:34044]",0.203869038549849,-17.0078230241328,4.3014523995457,-3.95397215738784,7.68643579279869e-05,0.0177709283972905,1.65341933802325
"60","ENSG00000251785","RNA5SP20","1",77614869,77614952,"RNA, 5S ribosomal pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:42588]",0.203869038549848,-17.0078215329503,4.30145239960992,-3.95397181065927,7.68644693760795e-05,0.0177709283972905,1.65341933802325
"35","ENSG00000222407","RNA5SP80","1",231281414,231281524,"RNA, 5S ribosomal pseudogene 80 [Source:HGNC Symbol;Acc:HGNC:42857]",0.203869038549848,-17.0078215329503,4.30145239960992,-3.95397181065927,7.68644693760795e-05,0.018429747824208,1.45123412822822
"9","ENSG00000138653","NDST4","4",114827763,115113876,"N-deacetylase and N-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:20779]",0.203869038549849,-17.007821322019,4.30145239943554,-3.95397176178234,7.68644850864826e-05,0.018429747824208,1.53822659757003
"51","ENSG00000238025","ZDHHC4P1","13",42933858,42934892,"zinc finger DHHC-type containing 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39443]",0.326226063597418,-16.9558427982577,4.28767029862883,-3.95455844720152,7.66761266656972e-05,0.0110394997984524,4.48530890313277
"40","ENSG00000226540","GAPDHP73","6",135619165,135620171,"glyceraldehyde-3-phosphate dehydrogenase pseudogene 73 [Source:HGNC Symbol;Acc:HGNC:22956]",0.473069777840079,-16.9542359570408,4.28511821090234,-3.95653868168799,7.60435795932142e-05,0.0177709283972905,1.65341933802325
"10","ENSG00000139155","SLCO1C1","12",20695355,20753386,"solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]",0.440699077670114,-16.8750161449138,4.32054225678069,-3.9057634764317,9.39283520933655e-05,0.0115897956313187,4.3992309877788
"57","ENSG00000250892","AC108475.1","4",201409,205009,"pseudogene similar to part of WEE1 homolog (WEE1)",0.361876332338185,-16.6834632166128,4.29835850833609,-3.88135684453902,0.000103875291157189,0.0128218096927137,4.31140277029475
"81","ENSG00000285708","AC097634.4","3",70959226,71754229,"novel protein",0.994779108308902,-16.6743499846381,4.15311857795639,-4.01489860490403,5.9471356101835e-05,0.0166654182249275,1.44558178433783
"46","ENSG00000233888","MTCO2P17","2",202614853,202615529,"MT-CO2 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:52033]",0.322183429778052,-16.6640563652787,4.28747852828506,-3.88667984115691,0.000101624644156646,0.0203436098256449,1.65341933802325
"58","ENSG00000251184","AL672142.1","9",128941478,128957021,"novel protein",0.366697651043222,-16.5898569388585,4.29872460409505,-3.85925093295221,0.000113735107170225,0.0132350225110688,4.48530890313277
"67","ENSG00000259738","ZNF444P1","15",58865006,58865303,"zinc finger protein 444 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35157]",0.388500628156968,-16.5815073182926,4.31986395961533,-3.83843275466693,0.000123822114052115,0.0230125576743195,1.65341933802325
"12","ENSG00000143107","FNDC7","1",108712908,108742742,"fibronectin type III domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26668]",0.34463730636485,-16.5053881343701,4.31939075725407,-3.82123059985963,0.000132787415699816,0.0234377977613132,1.65341933802325
"37","ENSG00000224569","AC095052.1","4",13977166,13978028,"chromosome 9 open reading frame 78 (C9orf78) pseudogene",0.296171774450469,-16.4896382625046,4.29568254525406,-3.83865383179272,0.000123710698349634,0.0230125576743195,1.65341933802325
