"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"68","ENSG00000259753","AC068234.1","17",47253897,47344292,"novel transcript",1.52463794173228,21.9764389987033,3.67831193222608,5.9745990562044,2.3065675067029e-09,1.2984326418246e-05,0.229590172918211
"36","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",5.97939393490148,20.6006220157574,4.23693929081791,4.86214708348596,1.16119286223821e-06,0.00105712817286115,0.608424194080079
"71","ENSG00000274985","PTCHD3P1","10",29421476,29422012,"patched domain containing 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44945]",6.28471015324067,19.7714937168777,4.21897761425629,4.68632344719444,2.78156552729242e-06,0.00206803276153926,0.608424194080079
"49","ENSG00000196433","ASMT","X",1615059,1643081,"acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750]",0.781570588991774,19.4597007208768,4.26051269225048,4.56745516948522,4.93681218669018e-06,0.00421878586504527,0.39700409029151
"76","ENSG00000284138","ATP6V0CP4","1",42952202,42952641,"ATPase H+ transporting V0 subunit c pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:40002]",0.367965755928861,18.8077118767472,4.26820149261345,4.40647235358869,1.05067711472147e-05,0.00433792356633138,0.792018142459994
"41","ENSG00000176595","KBTBD11","8",1973677,2006936,"kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]",1.81953754937979,18.0199399707279,4.29633860840368,4.19425506534347,2.73769790646166e-05,0.0192671276609107,0.229590172918211
"62","ENSG00000253934","MRPL49P2","8",16374618,16375082,"mitochondrial ribosomal protein L49 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:29718]",0.55951595893538,17.9815025397711,4.24790929063356,4.23302413246428,2.30569752946594e-05,0.0123146827579922,0.39700409029151
"57","ENSG00000234604","AL021068.2","1",169474060,169474159,"ATP synthase 6 (MTATP6) pseudogene",0.565428054319424,17.7487164149054,4.25474424572829,4.17151193816759,3.02585200882435e-05,0.0146709904514089,0.39700409029151
"53","ENSG00000215450","AL022342.1","20",47160838,47161700,"ribosomal protein S2 (RPS2) pseudogene",0.466062093218506,17.3189054203391,4.28255351215249,4.04406048195165,5.2533357677588e-05,0.0137061723368032,0.753816657625192
"78","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",4.19945495015987,17.1416814074497,4.28166682303332,4.00350660523971,6.2410457815219e-05,0.0176583010909566,0.626964375882284
