"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"45","ENSG00000259753","AC068234.1","17",47253897,47344292,"novel transcript",1.52463794173228,21.8969002287292,3.67831323523796,5.95297323212135,2.63314378192365e-09,5.91794699672374e-06,0.464468216016041
"22","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",5.97939393490148,20.5057740083163,4.2369386904052,4.83976179658979,1.29994844844559e-06,0.000820509321843294,1
"24","ENSG00000176595","KBTBD11","8",1973677,2006936,"kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]",1.81953754937979,19.1652684479273,4.29633870327251,4.46083741799248,8.16400097303561e-06,0.00617808483228633,0.465783714878211
"51","ENSG00000284138","ATP6V0CP4","1",42952202,42952641,"ATPase H+ transporting V0 subunit c pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:40002]",0.367965755928861,18.7514037014733,4.26819938717373,4.39328203781265,1.11652125486185e-05,0.00420881991363963,1
"29","ENSG00000206501","PPP1R11","CHR_HSCHR6_MHC_QBL_CTG1",30056276,30059900,"protein phosphatase 1 regulatory inhibitor subunit 11 [Source:HGNC Symbol;Acc:HGNC:9285]",0.471454556858897,18.3657131895857,4.2592249656121,4.31198477137644,1.61795580059367e-05,0.00577801820840959,1
"42","ENSG00000255524","NPIPB8","16",28637654,28658682,"nuclear pore complex interacting protein family member B8 [Source:HGNC Symbol;Acc:HGNC:37490]",0.302478752521457,16.860537400043,4.30423941650264,3.91719320616761,8.9585947767647e-05,0.0144538965823244,1.42628735242346
"25","ENSG00000182896","TMEM95","17",7355123,7357219,"transmembrane protein 95 [Source:HGNC Symbol;Acc:HGNC:27898]",0.303256258229965,16.8109411645218,4.29919077376307,3.91025708073131,9.21979412104835e-05,0.0146277929959638,1.42628735242346
"44","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",11.6264311532977,16.7614005592165,4.29682152761044,3.90088358371678,9.58422347749449e-05,0.0219959580530752,0.743777043136821
"2","ENSG00000082175","PGR","11",101029624,101130524,"progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]",0.307487954550095,16.6734984909149,4.27689259389055,3.89850764892545,9.67873440478663e-05,0.0159050198033966,1.30048839890097
"40","ENSG00000249141","AL159163.1","6",166858094,166956124,"novel protein",0.780633898547132,16.65975625146,4.27494669630781,3.89706759755594,9.73644495177734e-05,0.0211052846131677,0.813044514063265
"30","ENSG00000222383","RNA5SP203","6",10752791,10752926,"RNA, 5S ribosomal pseudogene 203 [Source:HGNC Symbol;Acc:HGNC:43103]",0.309440018481922,16.5857873259445,4.27698774121676,3.87791322526121,0.00010535627985115,0.0149336028577598,1.54418734686969
"18","ENSG00000141979","AC008764.1","19",16479067,16628204,"novel transcript",0.482909625042067,16.3252359444153,4.27319458542146,3.82038206266358,0.000133245108283884,0.0226025342745807,1
"31","ENSG00000225117","ARSDP1","Y",12354096,12387328,"arylsulfatase D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:718]",0.244510262518121,15.9348982258461,4.30004111501499,3.70575485201857,0.000210762082468673,0.04216664082169,0.674921501550547
"47","ENSG00000271949","AC093423.3","1",89633140,89933250,"novel transcript, LRRC8C-LRRC8D readthrough",0.244510262518121,15.9348982258461,4.30004111501499,3.70575485201857,0.000210762082468673,0.04216664082169,0.674921501550547
