"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"9","ENSG00000073734","ABCB11","2",168915498,169031324,"ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]",1.04300915981162,19.922356655693,4.0282781511671,4.94562587489669,7.58996064678388e-07,0.00201678313242612,0.189152640788927
"174","ENSG00000233924","RPSAP13","14",55004813,55005687,"ribosomal protein SA pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:6505]",0.578451753168975,18.9767981405366,4.259112835816,4.4555753444604,8.36685042142581e-06,0.0118586427288358,0.142551471398472
"147","ENSG00000179799","OR7E22P","3",75356437,75362268,"olfactory receptor family 7 subfamily E member 22 pseudogene [Source:HGNC Symbol;Acc:HGNC:8394]",0.529354541752148,17.9342698792503,4.27343410148261,4.1966880624246,2.7084656945318e-05,0.00429458437234507,2.19448917107888
"61","ENSG00000130283","GDF1","19",18868545,18896158,"growth differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:4214]",1.41717509125328,17.3536273235235,4.29651574462546,4.03900005376013,5.36795528795784e-05,0.0483542158777182,0.0986311857949553
"209","ENSG00000285708","AC097634.4","3",70959226,71754229,"novel protein",0.994779108308902,16.8512109949227,4.09911612619742,4.11093769391571,3.94055533833525e-05,0.0259664067249941,0.20091740459116
"208","ENSG00000283976","AC244216.3","CHR_HG1342_HG2282_PATCH",13185912,13187021,"",0.934489101809973,16.7307178222423,4.29698816319122,3.89359178728036,9.87708055424491e-05,0.0464245510931131,0.20091740459116
"202","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",0.478399986481554,16.4830683874545,4.29791309299933,3.8351330124155,0.000125496360300934,0.0116700278469397,2.19448917107888
"56","ENSG00000125820","NKX2-2","20",21511010,21514026,"NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]",0.418599988171359,16.3934521042042,4.29821898578294,3.81401044442551,0.000136729685568402,0.0172350226505627,1.37471845292604
"203","ENSG00000277322","GOLGA6L6","15",20531856,20541800,"golgin A6 family-like 6 [Source:HGNC Symbol;Acc:HGNC:37225]",0.369697849892158,16.3096759688895,4.29862385354452,3.79416216086016,0.00014814283638215,0.0130871482700433,2.19448917107888
"185","ENSG00000248128","AC114801.1","4",78003143,78003439,"transmembrane protein 128 (TMEM128) pseudogene",0.288002988937087,16.1795977269601,4.29919321937488,3.76340324832218,0.000167616593210467,0.0373117448319648,0.481338696921642
"200","ENSG00000274273","ATP9B","CHR_HSCHR18_2_CTG2_1",79074837,79074964,"ATPase phospholipid transporting 9B (putative) [Source:HGNC Symbol;Acc:HGNC:13541]",0.196035688083938,16.0645560823206,4.30144816276882,3.73468549995959,0.000187949914182382,0.0394735466318776,0.498462240597868
"205","ENSG00000278195","SSTR3","22",37204237,37212477,"somatostatin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11332]",0.196035688083938,16.0645505404254,4.30144816275732,3.73468421159067,0.000187950876323124,0.0394735466318776,0.499316324699572
"194","ENSG00000262539","AC005829.2","17",46259551,46260606,"dead end homolog 1 (zebrafish) (DND1) pseudogene",0.239199993240777,15.9868088151291,4.30004013904776,3.7178278104793,0.000200943152084321,0.0385020080977795,0.5554890393952
"181","ENSG00000239951","IGKV3-20","2",89142574,89143160,"immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]",0.250337504944689,15.9862075516016,4.30004027192795,3.71768786817293,0.000201054463575849,0.0419872516208614,0.481338696921642
"206","ENSG00000282402","IGKV3-20","CHR_HG2290_PATCH",89142574,89143160,"immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]",0.250337504944689,15.9862075516016,4.30004027192795,3.71768786817293,0.000201054463575849,0.0415649180452111,0.499316324699572
"105","ENSG00000152430","BOLL","2",197726879,197786762,"boule homolog, RNA binding protein [Source:HGNC Symbol;Acc:HGNC:14273]",0.230402391149669,15.8772981537216,4.30004024683471,3.69236035997779,0.000222182339719564,0.0444258242975491,0.481338696921642
"172","ENSG00000222740","RNA5SP328","10",126145474,126145582,"RNA, 5S ribosomal pseudogene 328 [Source:HGNC Symbol;Acc:HGNC:43228]",0.230402391149669,15.87729807894,4.30004024683564,3.6923603425861,0.000222182354918026,0.0434425039744168,0.499316324699572
"180","ENSG00000238199","UBE2V2P3","1",11278616,11279351,"ubiquitin conjugating enzyme E2 V2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44891]",0.184848924946079,15.6390886469846,4.30144018547962,3.63577963952107,0.000277141169409704,0.0483542158777182,0.498462240597868
"196","ENSG00000270434","AC012044.1","10",45812648,45812944,"ataxin 1-like (ATXN1L) pseudogene",0.184848924946079,15.6390886469846,4.30144018547962,3.63577963952107,0.000277141169409704,0.0483542158777182,0.499316324699572
"197","ENSG00000270495","AC008825.2","5",28808538,28809255,"PQ loop repeat containing 1 (PQLC1) pseudogene",0.184848924946079,15.6390880111732,4.30144018560413,3.63577949160223,0.00027714132845375,0.0483542158777182,0.499316324699572
"175","ENSG00000236430","KRT8P29","1",203872574,203874187,"keratin 8 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:33381]",0.184848924946079,15.6390875781289,4.30144018580654,3.63577939075689,0.000277141436883867,0.0483542158777182,0.498462240597868
"132","ENSG00000170786","SDR16C5","8",56300010,56320776,"short chain dehydrogenase/reductase family 16C member 5 [Source:HGNC Symbol;Acc:HGNC:30311]",0.184848924946079,15.6390875781289,4.30144018580654,3.63577939075689,0.000277141436883867,0.0464245510931131,0.5554890393952
"173","ENSG00000226540","GAPDHP73","6",135619165,135620171,"glyceraldehyde-3-phosphate dehydrogenase pseudogene 73 [Source:HGNC Symbol;Acc:HGNC:22956]",0.473069777840079,15.4834811646924,4.28075189569898,3.61700036394288,0.000298036884918116,0.0253141425232711,1.58190817410544
"158","ENSG00000186086","NBPF6","1",108450282,108471002,"NBPF member 6 [Source:HGNC Symbol;Acc:HGNC:31988]",0.307031060609599,15.3545595332334,4.28948158684754,3.57958397124579,0.000344141653072118,0.0299697402974619,1.38169528503278
