"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"40","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",5.97939393490148,-30,4.23693006318261,-7.08059834659277,1.43533358447095e-12,2.9057618343822e-08,0.0957614339973418
"97","ENSG00000270025","BMS1P7","10",48050282,48060016,"BMS1, ribosome biogenesis factor pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:23655]",1.05057932202328,-29.9980052234732,4.25955350847859,-7.0425233921261,1.88789127450762e-12,2.15788626358365e-08,0.182654729327995
"61","ENSG00000212932","RPL23AP4","21",46690764,46691226,"ribosomal protein L23a pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:10321]",1.56946868566814,-29.9783900482239,4.24980576692506,-7.05406121887653,1.73769867591821e-12,1.36408100529464e-08,0.288123649915429
"95","ENSG00000268869","ESPNP","1",16687339,16720157,"espin pseudogene [Source:HGNC Symbol;Acc:HGNC:23285]",0.358088860322377,-27.0418270281205,4.32594190031489,-6.25108419189636,4.0761305716281e-10,2.65330325239845e-07,2.19448917107888
"92","ENSG00000259753","AC068234.1","17",47253897,47344292,"novel transcript",1.52463794173228,-23.5702800434974,3.67832137095001,-6.40789035717393,1.47546949756275e-10,2.35355797869435e-06,0.0773407712451949
"63","ENSG00000215450","AL022342.1","20",47160838,47161700,"ribosomal protein S2 (RPS2) pseudogene",0.466062093218506,-23.4118268563682,4.28254873618771,-5.46679753076417,4.5823895900469e-08,3.02387083716386e-05,1.58190817410544
"96","ENSG00000269981","AL627309.7","1",137682,137965,"novel pseudogene",0.608870740549018,-22.6624553438641,4.30263015353721,-5.26711674839938,1.38583079105365e-07,0.000645703935802832,0.142551471398472
"54","ENSG00000196433","ASMT","X",1615059,1643081,"acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750]",0.781570588991774,-22.2432262949816,4.26051265140998,-5.22078635011689,1.78164989588578e-07,0.000645703935802832,0.182654729327995
"93","ENSG00000262304","AC027796.3","17",3585149,3636249,"novel readthrough SHPK-TRPV1 protein",2.28118609755304,-22.1382416020878,3.98224122225274,-5.5592417351263,2.70949206538956e-08,8.23328458260813e-05,0.288123649915429
"101","ENSG00000274985","PTCHD3P1","10",29421476,29422012,"patched domain containing 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44945]",6.28471015324067,-21.2233338905037,4.21901327736618,-5.03040225172101,4.89451871797437e-07,0.00211103320753893,0.105336110646902
"110","ENSG00000284138","ATP6V0CP4","1",42952202,42952641,"ATPase H+ transporting V0 subunit c pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:40002]",0.367965755928861,-20.2259989173904,4.26824502795376,-4.7387155106901,2.15077207631077e-06,0.000655871846796372,2.11910245548152
"113","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",4.19945495015987,-20.213231082783,4.28164819818737,-4.72089955717059,2.34803875092782e-06,0.00307198931573869,0.288123649915429
"31","ENSG00000147724","FAM135B","8",138130023,138497261,"family with sequence similarity 135 member B [Source:HGNC Symbol;Acc:HGNC:28029]",0.719103728673648,-20.1709198299846,4.26133679532236,-4.73347233481431,2.20711058702783e-06,0.00425920253545434,0.182654729327995
"45","ENSG00000176595","KBTBD11","8",1973677,2006936,"kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]",1.81953754937979,-19.895514109007,4.29634455802804,-4.63080040259591,3.6425488432276e-06,0.0087160383849248,0.0986311857949553
"74","ENSG00000234604","AL021068.2","1",169474060,169474159,"ATP synthase 6 (MTATP6) pseudogene",0.565428054319424,-19.4144758982514,4.25475779512817,-4.56300377908271,5.04269066522891e-06,0.00669039617976355,0.20091740459116
"56","ENSG00000196826","AC008758.1","19",12461559,12551474,"novel zinc finger protein",6.74481785414038,-19.346992465938,4.27331759270953,-4.52739400856721,5.97155358406543e-06,0.00604855065960312,0.288123649915429
"84","ENSG00000253934","MRPL49P2","8",16374618,16375082,"mitochondrial ribosomal protein L49 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:29718]",0.55951595893538,-19.2587718894018,4.24788187119087,-4.53373527640087,5.7949649982724e-06,0.00911841990090695,0.142551471398472
