"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"24","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",5.97939393490148,-29.7616632918126,4.23693006318261,-7.02434612986196,2.15071042811368e-12,4.8663797449979e-09,1.09045840660716
"65","ENSG00000259753","AC068234.1","17",47253897,47344292,"novel transcript",1.52463794173228,-23.5084532602685,3.67832137095001,-6.39108193371286,1.64716087437921e-10,2.15774022049385e-07,1.09045840660716
"71","ENSG00000269981","AL627309.7","1",137682,137965,"novel pseudogene",0.608870740549018,-22.6269247108815,4.30263015353721,-5.25885886154538,1.44952085490351e-07,0.000107829588013201,1.45939333527342
"80","ENSG00000283711","AC256236.1","CHR_HG926_PATCH",22820947,22825311,"",3.57713675925287,-22.3664670315737,4.29758224503791,-5.20443024851905,1.94592695302476e-07,0.000219764326965914,0.775235206192505
"2","ENSG00000082175","PGR","11",101029624,101130524,"progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]",0.307487954550095,-20.4445064561075,4.27689957441414,-4.7802166266455,1.75106412803809e-06,0.000653781555147477,2.07695548306153
"35","ENSG00000206501","PPP1R11","CHR_HSCHR6_MHC_QBL_CTG1",30056276,30059900,"protein phosphatase 1 regulatory inhibitor subunit 11 [Source:HGNC Symbol;Acc:HGNC:9285]",0.471454556858897,-20.2226868664048,4.25924206154522,-4.74795434825984,2.05484400888721e-06,0.00102521211241662,1.35997518390966
"81","ENSG00000284138","ATP6V0CP4","1",42952202,42952641,"ATPase H+ transporting V0 subunit c pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:40002]",0.367965755928861,-20.1598493418435,4.26824502795376,-4.72321743709928,2.32142418407751e-06,0.00100803793957483,1.60265065192711
"38","ENSG00000222383","RNA5SP203","6",10752791,10752926,"RNA, 5S ribosomal pseudogene 203 [Source:HGNC Symbol;Acc:HGNC:43103]",0.309440018481922,-19.9760529677209,4.27698549529274,-4.67059170289603,3.00333369573021e-06,0.00139389478881038,1.35997518390966
"26","ENSG00000176595","KBTBD11","8",1973677,2006936,"kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]",1.81953754937979,-19.8160461192639,4.29634455802804,-4.6123037506934,3.98230471699344e-06,0.00458942478622093,0.362317006725898
"46","ENSG00000230712","GGTLC4P","22",24248074,24249466,"gamma-glutamyltransferase light chain 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:33428]",0.493712075446774,-19.6707784343429,4.28344400243441,-4.59228098305089,4.38427525066619e-06,0.00168745467271597,1.60265065192711
"20","ENSG00000141979","AC008764.1","19",16479067,16628204,"novel transcript",0.482909625042067,-18.5592667022124,4.27320691014382,-4.34317061927334,1.4044097698319e-05,0.00380357832402234,1.67022920330358
"63","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",11.6264311532977,-18.463225497044,4.29682690743818,-4.29694420901214,1.73168756808229e-05,0.00697795449806163,0.888471021111508
"57","ENSG00000249141","AL159163.1","6",166858094,166956124,"novel protein",0.780633898547132,-18.0311681722722,4.2749877611525,-4.21782919149485,2.46665554386137e-05,0.00679039631744554,1.38861189331869
"34","ENSG00000206285","B3GALT4","CHR_HSCHR6_MHC_QBL_CTG1",33205959,33207652,"beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]",2.75360534840184,-17.712896287922,4.21585386761695,-4.20149674161605,2.65156064467838e-05,0.00804830548295537,1.09045840660716
"61","ENSG00000255524","NPIPB8","16",28637654,28658682,"nuclear pore complex interacting protein family member B8 [Source:HGNC Symbol;Acc:HGNC:37490]",0.302478752521457,-17.4683581208761,4.30425298270506,-4.05839484599669,4.94111734941017e-05,0.0104077094321528,1.43057366248071
"84","ENSG00000285404","Z82190.2","22",31754899,31956243,"novel protein, DEPDC5-YWHAH readthrough",0.815470327922803,-17.4330187373461,4.30058489377415,-4.05363902072563,5.04270096226999e-05,0.0104077094321528,1.43057366248071
"29","ENSG00000182896","TMEM95","17",7355123,7357219,"transmembrane protein 95 [Source:HGNC Symbol;Acc:HGNC:27898]",0.303256258229965,-17.4244762272748,4.29919857751438,-4.052959153459,5.05738351601329e-05,0.0107372458306371,1.35997518390966
"72","ENSG00000271949","AC093423.3","1",89633140,89933250,"novel transcript, LRRC8C-LRRC8D readthrough",0.244510262518121,-17.2876457439326,4.30004501596103,-4.02034064289183,5.8114049209777e-05,0.0183844753120284,0.703227606504172
"39","ENSG00000225117","ARSDP1","Y",12354096,12387328,"arylsulfatase D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:718]",0.244510262518121,-17.2876453785838,4.30004501595315,-4.02034055793524,5.81140701680839e-05,0.0179927071790244,0.724478090267469
"44","ENSG00000228522","AL845321.1","9",63330326,63343660,"monofunctional C1-tetrahydrofolate synthase, mitochondrial-like [Source:NCBI gene;Acc:100996643]",0.59974870145075,-17.2600550800615,4.2689640428003,-4.04314838612214,5.27382206052058e-05,0.0152388403136773,0.840183930828375
"62","ENSG00000256254","AP000619.3","11",102766801,102767927,"spastic ataxia of Charlevoix-Saguenay (SACS) pseudogene",0.190200371702808,-17.1704467804305,4.30145092571238,-3.99178023345387,6.55791330979576e-05,0.0191132078160624,0.739073089500706
"48","ENSG00000236930","AC099782.1","3",45883640,45884113,"succinate dehydrogenase complex, subunit D, integral membrane protein (SDHD) pseudogene",0.190200371702808,-17.1704467804305,4.30145092571238,-3.99178023345387,6.55791330979576e-05,0.0191935934135979,0.724478090267469
"69","ENSG00000266155","AC103810.4","17",64936485,64940229,"pleckstrin homology domain containing, family M (with RUN domain) member 1 pseudogene",0.190200371702808,-17.1704467094692,4.30145092571276,-3.99178021695646,6.55791376611074e-05,0.0199876184488086,0.65495025752367
"60","ENSG00000255432","AP001458.2","11",62649694,62665178,"novel protein",0.242605006583972,-17.1237349032014,4.30004812045868,-3.98221936673928,6.82747183468978e-05,0.0197283481168293,0.71157569948968
"85","ENSG00000285635","AC021660.3","3",98521133,98585498,"novel transcript",0.242605006583972,-17.1237349032014,4.30004812045868,-3.98221936673928,6.82747183468978e-05,0.0198061895253581,0.703227606504172
"73","ENSG00000273259","AL049839.2","14",94592058,94624646,"novel transcript",0.242605006583972,-17.1237346781346,4.3000481204608,-3.98221931439678,6.82747333872552e-05,0.0195249219393798,0.724478090267469
"32","ENSG00000198173","FAM47C","X",37008397,37011666,"family with sequence similarity 47 member C [Source:HGNC Symbol;Acc:HGNC:25301]",0.242605006583972,-17.1237345194145,4.3000481204623,-3.98221927748416,6.82747439939165e-05,0.0194360866109677,0.739073089500706
"49","ENSG00000237748","UQCRBP1","X",56737242,56737577,"ubiquinol-cytochrome c reductase binding protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12583]",0.253600495603744,-17.1043146619316,4.30004246178781,-3.97770831658722,6.95826544419171e-05,0.0198061895253581,0.71157569948968
"15","ENSG00000125695","AC046185.1","17",63702845,63752097,"novel transcript",0.253600495603743,-17.1043009712086,4.30004246255493,-3.97770513201998,6.95835860947236e-05,0.0208951382240696,0.65495025752367
"79","ENSG00000278673","AC136352.4","KI270727.1",20741,22392,"",0.458613228826526,-17.0771270592149,4.2845031063841,-3.98578939848806,6.72561471551866e-05,0.0134222970502393,1.35997518390966
"83","ENSG00000285269","AL160269.1","9",96235331,96352058,"solute carrier family 35 member D2 [Source:NCBI gene;Acc:11046]",0.491066883942693,-16.9876975493534,4.28411275888177,-3.96527787793042,7.33104927269521e-05,0.0137708384819797,1.43057366248071
"10","ENSG00000113889","KNG1","3",186717276,186744410,"kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383]",0.542235035501639,-16.9056418768065,4.30720864594135,-3.92496469673847,8.67424582218933e-05,0.0114497284816357,2.07695548306153
"55","ENSG00000244065","MARK2P17","3",128843564,128844404,"microtubule affinity regulating kinase 2 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:50318]",0.352455206143451,-16.8745524938825,4.2851610450295,-3.93790392392741,8.21964912236849e-05,0.0150494851353532,1.35997518390966
"40","ENSG00000225480","AC006548.1","22",16897445,16897546,"N-acetylated alpha-linked acidic dipeptidase 2 (NAALAD2) pseudogene",0.193479148122283,-16.7526411232788,4.30145327460424,-3.89464677489031,9.83419301581452e-05,0.0242510621789417,0.71157569948968
"52","ENSG00000242683","RPL12P21","5",139035148,139035987,"ribosomal protein L12 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:36845]",0.183580010494611,-16.7300762349308,4.30145233080364,-3.88940175278082,0.000100491640622723,0.0242510621789417,0.71157569948968
"45","ENSG00000229063","TRBV23OR9-2","9",33638035,33638494,"T cell receptor beta variable 23/OR9-2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12202]",0.183580010494611,-16.7299941449124,4.30145233947419,-3.88938266068467,0.000100499546073495,0.0242510621789417,0.739073089500706
"66","ENSG00000260459","FTLP14","16",68822587,68823070,"ferritin light chain pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:37964]",0.500442933227231,-16.7208052205902,4.29098725892494,-3.89672683968292,9.75014839472107e-05,0.0159466277423186,1.43057366248071
"53","ENSG00000243609","RPS2P44","16",48577524,48578369,"ribosomal protein S2 pseudogene 44 [Source:HGNC Symbol;Acc:HGNC:35811]",0.304842042580263,-16.6544074645563,4.28936037971813,-3.88272515951451,0.000103292295830589,0.0152388403136773,1.67022920330358
"37","ENSG00000213368","ST13P11","11",94913047,94913766,"ST13, Hsp70 interacting protein pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:38746]",0.430323458488491,-16.6298758146905,4.304154749542,-3.86367981226978,0.000111691606279393,0.0161667102798253,1.60265065192711
