"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"30","ENSG00000198822","GRM3","7",86643914,86864884,"glutamate metabotropic receptor 3 [Source:HGNC Symbol;Acc:HGNC:4595]",0.469368056387601,-26.5360251557998,4.32124437041316,-6.14082955768193,8.209163086924e-10,1.51786798475648e-06,3.59452539446123
"28","ENSG00000196993","NPIPB9","16",28751787,28772807,"nuclear pore complex interacting protein family member B9 [Source:HGNC Symbol;Acc:HGNC:41987]",0.390548432705039,-25.4953527816612,4.27075455778196,-5.96975369029457,2.37612028368146e-09,5.10011586814124e-06,2.47716559289441
"34","ENSG00000206181","ELOA2","18",47032572,47035621,"elongin A2 [Source:HGNC Symbol;Acc:HGNC:30771]",0.281499583370699,-24.4198465251054,4.32737198634285,-5.64311240220953,1.67003237745873e-08,3.28307379196691e-05,2.25387414193846
"36","ENSG00000223624","AL033528.1","1",25888970,25889109,"ribosomal protein L39 (RPL39) pseudogene",0.257032683183941,-23.7563663941329,4.32794324799017,-5.4890660604584,4.04064495351193e-08,6.80862875743659e-05,2.25387414193846
"71","ENSG00000256349","AP002748.4","11",66509079,66533613,"novel protein",4.55174379193116,-22.0423480503729,4.24023442164724,-5.19837958435561,2.01033287180261e-07,0.0011636644457256,0.30618620108908
"20","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,-21.9951407712768,4.3279432479452,-5.08212319598219,3.7323919900159e-07,0.0011636644457256,0.582743891041093
"81","ENSG00000275400","AC006001.4","7",66553805,66554199,"translocase of outer mitochondrial membrane 20 homolog (yeast) (TOMM20) pseudogene",1.88031747073459,-21.8449971189786,3.05468943690119,-7.15129887021808,8.59606018509035e-13,2.28228713609174e-08,1.00130372031962
"17","ENSG00000154269","ENPP3","6",131628442,131747418,"ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]",0.727396212228331,-21.5317685842443,4.28923840186434,-5.01995146151946,5.16845376829907e-07,0.00105557262413824,1.00130372031962
"57","ENSG00000237580","GCSHP3","2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-20.8531577428922,4.30434802866185,-4.84467278297084,1.26820512444276e-06,0.00105556661077356,3.5489347500089
"84","ENSG00000283168","GCSHP3","CHR_HSCHR2_6_CTG7_2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-20.8531577428922,4.30434802866185,-4.84467278297084,1.26820512444276e-06,0.00105557262413824,2.47716559289441
